Config: 
--------------------------------------------
leader L2 of team T0 discovered at 39768.000000 that M39 is in danger (after 16175ms proces-to-process, 13681ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 44064.000000 that M38 is in danger (after 18308ms proces-to-process, 18012ms node-to-node, 6hops, 4versions (11 first, 15 discovered)
leader L2 of team T0 discovered at 44064.000000 that M37 is in danger (after 21132ms proces-to-process, 19021ms node-to-node, 8hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 27651.000000 that M36 is in danger (after 12006ms proces-to-process, 9584ms node-to-node, 6hops, 2versions (7 first, 9 discovered)
leader L2 of team T0 discovered at 47550.000000 that M35 is in danger (after 19675ms proces-to-process, 15372ms node-to-node, 3hops, 4versions (14 first, 18 discovered)
leader L2 of team T0 discovered at 39074.000000 that M34 is in danger (after 8750ms proces-to-process, 7721ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 39768.000000 that M33 is in danger (after 12112ms proces-to-process, 10012ms node-to-node, 7hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 47550.000000 that M32 is in danger (after 26444ms proces-to-process, 25016ms node-to-node, 7hops, 4versions (10 first, 14 discovered)
leader L2 of team T0 discovered at 19056.000000 that M31 is in danger (after 1395ms proces-to-process, 167ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 29066.000000 that M30 is in danger (after 686ms proces-to-process, 7ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 44064.000000 that M5 is in danger (after 24507ms proces-to-process, 23742ms node-to-node, 9hops, 2versions (9 first, 11 discovered)
leader L2 of team T0 discovered at 42971.000000 that M4 is in danger (after 20839ms proces-to-process, 17713ms node-to-node, 4hops, 5versions (11 first, 16 discovered)
leader L2 of team T0 discovered at 41607.000000 that M7 is in danger (after 11784ms proces-to-process, 10325ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 38635.000000 that M6 is in danger (after 16164ms proces-to-process, 13803ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 44064.000000 that M1 is in danger (after 19220ms proces-to-process, 17866ms node-to-node, 8hops, 0versions (12 first, 12 discovered)
