Config: 
--------------------------------------------
leader L2 of team T0 discovered at 33914.000000 that M39 is in danger (after 10321ms proces-to-process, 8327ms node-to-node, 8hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 35041.000000 that M38 is in danger (after 9285ms proces-to-process, 8966ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 37020.000000 that M37 is in danger (after 14088ms proces-to-process, 12589ms node-to-node, 2hops, 3versions (11 first, 14 discovered)
leader L2 of team T0 discovered at 36113.000000 that M36 is in danger (after 20468ms proces-to-process, 17770ms node-to-node, 3hops, 3versions (7 first, 10 discovered)
leader L2 of team T0 never discovered that M35 is in danger from 27875.
leader L2 of team T0 discovered at 39768.000000 that M34 is in danger (after 9444ms proces-to-process, 8551ms node-to-node, 9hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 40461.000000 that M33 is in danger (after 12805ms proces-to-process, 10922ms node-to-node, 9hops, 3versions (13 first, 16 discovered)
leader L2 of team T0 discovered at 27651.000000 that M32 is in danger (after 6545ms proces-to-process, 5367ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L2 of team T0 discovered at 27651.000000 that M31 is in danger (after 9906ms proces-to-process, 7255ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 39768.000000 that M30 is in danger (after 11388ms proces-to-process, 10556ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 31981.000000 that M5 is in danger (after 12424ms proces-to-process, 11474ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 31981.000000 that M4 is in danger (after 9849ms proces-to-process, 6712ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 39768.000000 that M7 is in danger (after 9945ms proces-to-process, 7977ms node-to-node, 7hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 39768.000000 that M6 is in danger (after 17297ms proces-to-process, 15618ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 38635.000000 that M1 is in danger (after 13791ms proces-to-process, 12213ms node-to-node, 8hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 31124.000000 that M0 is in danger (after 10486ms proces-to-process, 9482ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 35538.000000 that M3 is in danger (after 16775ms proces-to-process, 14940ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L2 of team T0 discovered at 45039.000000 that M2 is in danger (after 17609ms proces-to-process, 15518ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 42971.000000 that M9 is in danger (after 12613ms proces-to-process, 12094ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
