Config: 
--------------------------------------------
leader L2 of team T0 discovered at 30001.000000 that M39 is in danger (after 6408ms proces-to-process, 4368ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 31124.000000 that M38 is in danger (after 5368ms proces-to-process, 4781ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 38635.000000 that M37 is in danger (after 15703ms proces-to-process, 13254ms node-to-node, 7hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 23545.000000 that M36 is in danger (after 7900ms proces-to-process, 5679ms node-to-node, 3hops, 2versions (7 first, 9 discovered)
leader L2 of team T0 discovered at 39768.000000 that M35 is in danger (after 11893ms proces-to-process, 8559ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 50156.000000 that M34 is in danger (after 19832ms proces-to-process, 18750ms node-to-node, 3hops, 7versions (14 first, 21 discovered)
leader L2 of team T0 discovered at 42971.000000 that M33 is in danger (after 15315ms proces-to-process, 13127ms node-to-node, 14hops, 3versions (13 first, 16 discovered)
leader L2 of team T0 discovered at 29867.000000 that M32 is in danger (after 8761ms proces-to-process, 7572ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
leader L2 of team T0 discovered at 38635.000000 that M31 is in danger (after 20974ms proces-to-process, 19385ms node-to-node, 6hops, 3versions (8 first, 11 discovered)
leader L2 of team T0 discovered at 39768.000000 that M30 is in danger (after 11388ms proces-to-process, 10744ms node-to-node, 6hops, 2versions (13 first, 15 discovered)
leader L2 of team T0 discovered at 25851.000000 that M5 is in danger (after 6294ms proces-to-process, 5667ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 35041.000000 that M4 is in danger (after 12909ms proces-to-process, 10264ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 36741.000000 that M7 is in danger (after 6918ms proces-to-process, 5403ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 27651.000000 that M6 is in danger (after 5180ms proces-to-process, 3671ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 41607.000000 that M1 is in danger (after 16763ms proces-to-process, 15843ms node-to-node, 9hops, 3versions (12 first, 15 discovered)
leader L2 of team T0 discovered at 32655.000000 that M0 is in danger (after 12017ms proces-to-process, 11499ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L2 of team T0 discovered at 42085.000000 that M3 is in danger (after 23322ms proces-to-process, 21666ms node-to-node, 4hops, 5versions (9 first, 14 discovered)
leader L2 of team T0 discovered at 44064.000000 that M2 is in danger (after 16634ms proces-to-process, 14447ms node-to-node, 8hops, 2versions (13 first, 15 discovered)
leader L2 of team T0 discovered at 45605.000000 that M9 is in danger (after 15247ms proces-to-process, 15022ms node-to-node, 6hops, 4versions (13 first, 17 discovered)
leader L2 of team T0 discovered at 24551.000000 that M8 is in danger (after 7171ms proces-to-process, 6459ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L2 of team T0 discovered at 48514.000000 that M42 is in danger (after 18663ms proces-to-process, 17029ms node-to-node, 5hops, 2versions (14 first, 16 discovered)
leader L2 of team T0 discovered at 40461.000000 that M43 is in danger (after 19326ms proces-to-process, 15931ms node-to-node, 5hops, 5versions (11 first, 16 discovered)
leader L2 of team T0 discovered at 33122.000000 that M40 is in danger (after 9857ms proces-to-process, 7507ms node-to-node, 1hops, 2versions (12 first, 14 discovered)
leader L2 of team T0 discovered at 36113.000000 that M41 is in danger (after 8886ms proces-to-process, 7536ms node-to-node, 1hops, 3versions (12 first, 15 discovered)
leader L2 of team T0 discovered at 33914.000000 that M28 is in danger (after 9099ms proces-to-process, 6149ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 40461.000000 that M29 is in danger (after 16389ms proces-to-process, 15818ms node-to-node, 9hops, 4versions (11 first, 15 discovered)
leader L2 of team T0 discovered at 38635.000000 that M24 is in danger (after 8424ms proces-to-process, 5343ms node-to-node, 5hops, 0versions (15 first, 15 discovered)
leader L2 of team T0 discovered at 38635.000000 that M25 is in danger (after 10549ms proces-to-process, 8238ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 44507.000000 that M26 is in danger (after 14188ms proces-to-process, 12135ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 41607.000000 that M27 is in danger (after 18781ms proces-to-process, 16819ms node-to-node, 6hops, 6versions (11 first, 17 discovered)
leader L2 of team T0 discovered at 47550.000000 that M20 is in danger (after 19312ms proces-to-process, 17113ms node-to-node, 7hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 31124.000000 that M21 is in danger (after 13477ms proces-to-process, 12382ms node-to-node, 8hops, 1versions (8 first, 9 discovered)
leader L2 of team T0 discovered at 28631.000000 that M22 is in danger (after 8641ms proces-to-process, 6629ms node-to-node, 4hops, 2versions (9 first, 11 discovered)
leader L2 of team T0 discovered at 31981.000000 that M23 is in danger (after 5254ms proces-to-process, 4606ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 33056.000000 that M44 is in danger (after 8641ms proces-to-process, 7107ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 34984.000000 that M45 is in danger (after 12596ms proces-to-process, 11643ms node-to-node, 1hops, 3versions (11 first, 14 discovered)
leader L2 of team T0 discovered at 29322.000000 that M11 is in danger (after 5909ms proces-to-process, 4448ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 35538.000000 that M10 is in danger (after 15820ms proces-to-process, 14513ms node-to-node, 5hops, 4versions (9 first, 13 discovered)
leader L2 of team T0 discovered at 35538.000000 that M13 is in danger (after 17897ms proces-to-process, 17225ms node-to-node, 11hops, 2versions (8 first, 10 discovered)
leader L2 of team T0 discovered at 43326.000000 that M12 is in danger (after 16989ms proces-to-process, 16436ms node-to-node, 5hops, 3versions (12 first, 15 discovered)
leader L2 of team T0 discovered at 33056.000000 that M15 is in danger (after 13986ms proces-to-process, 12282ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 32655.000000 that M14 is in danger (after 12196ms proces-to-process, 12083ms node-to-node, 5hops, 3versions (9 first, 12 discovered)
leader L2 of team T0 discovered at 51958.000000 that M17 is in danger (after 23546ms proces-to-process, 21388ms node-to-node, 7hops, 4versions (13 first, 17 discovered)
leader L2 of team T0 discovered at 34079.000000 that M16 is in danger (after 12647ms proces-to-process, 9009ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 53535.000000 that M19 is in danger (after 24374ms proces-to-process, 23002ms node-to-node, 10hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 25851.000000 that M18 is in danger (after 9599ms proces-to-process, 8610ms node-to-node, 6hops, 1versions (7 first, 8 discovered)
leader L3 of team T0 discovered at 30058.000000 that M39 is in danger (after 6465ms proces-to-process, 4523ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 44527.000000 that M38 is in danger (after 18771ms proces-to-process, 18351ms node-to-node, 3hops, 5versions (11 first, 16 discovered)
leader L3 of team T0 discovered at 39375.000000 that M37 is in danger (after 16443ms proces-to-process, 14569ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 28724.000000 that M36 is in danger (after 13079ms proces-to-process, 10361ms node-to-node, 3hops, 4versions (7 first, 11 discovered)
leader L3 of team T0 discovered at 49073.000000 that M35 is in danger (after 21198ms proces-to-process, 17587ms node-to-node, 11hops, 2versions (14 first, 16 discovered)
leader L3 of team T0 discovered at 56648.000000 that M34 is in danger (after 26324ms proces-to-process, 25262ms node-to-node, 7hops, 7versions (14 first, 21 discovered)
leader L3 of team T0 discovered at 46072.000000 that M33 is in danger (after 18416ms proces-to-process, 16213ms node-to-node, 12hops, 3versions (13 first, 16 discovered)
leader L3 of team T0 discovered at 29036.000000 that M32 is in danger (after 7930ms proces-to-process, 6956ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L3 of team T0 discovered at 42982.000000 that M31 is in danger (after 25321ms proces-to-process, 23589ms node-to-node, 6hops, 5versions (8 first, 13 discovered)
leader L3 of team T0 discovered at 42982.000000 that M30 is in danger (after 14602ms proces-to-process, 13358ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L3 of team T0 discovered at 28042.000000 that M5 is in danger (after 8485ms proces-to-process, 7767ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L3 of team T0 discovered at 32286.000000 that M4 is in danger (after 10154ms proces-to-process, 7355ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 39375.000000 that M7 is in danger (after 9552ms proces-to-process, 7616ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L3 of team T0 discovered at 36941.000000 that M6 is in danger (after 14470ms proces-to-process, 12183ms node-to-node, 5hops, 2versions (11 first, 13 discovered)
leader L3 of team T0 discovered at 38166.000000 that M1 is in danger (after 13322ms proces-to-process, 12365ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L3 of team T0 discovered at 27481.000000 that M0 is in danger (after 6843ms proces-to-process, 6229ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 50119.000000 that M3 is in danger (after 31356ms proces-to-process, 29860ms node-to-node, 6hops, 7versions (9 first, 16 discovered)
leader L3 of team T0 discovered at 45152.000000 that M2 is in danger (after 17722ms proces-to-process, 15425ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L3 of team T0 discovered at 50119.000000 that M9 is in danger (after 19761ms proces-to-process, 19453ms node-to-node, 5hops, 4versions (13 first, 17 discovered)
leader L3 of team T0 discovered at 28042.000000 that M8 is in danger (after 10662ms proces-to-process, 10506ms node-to-node, 4hops, 3versions (8 first, 11 discovered)
leader L3 of team T0 discovered at 50823.000000 that M42 is in danger (after 20972ms proces-to-process, 20060ms node-to-node, 6hops, 2versions (14 first, 16 discovered)
leader L3 of team T0 discovered at 40408.000000 that M43 is in danger (after 19273ms proces-to-process, 16048ms node-to-node, 6hops, 3versions (11 first, 14 discovered)
leader L3 of team T0 discovered at 29664.000000 that M40 is in danger (after 6399ms proces-to-process, 3751ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 41518.000000 that M41 is in danger (after 14291ms proces-to-process, 13150ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 30058.000000 that M28 is in danger (after 5243ms proces-to-process, 2724ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 54756.000000 that M29 is in danger (after 30684ms proces-to-process, 30047ms node-to-node, 7hops, 9versions (11 first, 20 discovered)
leader L3 of team T0 discovered at 34281.000000 that M24 is in danger (after 4070ms proces-to-process, 868ms node-to-node, 1hops, 0versions (15 first, 15 discovered)
leader L3 of team T0 discovered at 49073.000000 that M25 is in danger (after 20987ms proces-to-process, 18720ms node-to-node, 8hops, 2versions (14 first, 16 discovered)
leader L3 of team T0 discovered at 51363.000000 that M26 is in danger (after 21044ms proces-to-process, 18701ms node-to-node, 7hops, 2versions (14 first, 16 discovered)
leader L3 of team T0 discovered at 44527.000000 that M27 is in danger (after 21701ms proces-to-process, 19626ms node-to-node, 6hops, 6versions (11 first, 17 discovered)
leader L3 of team T0 never discovered that M20 is in danger from 28238.
leader L3 of team T0 discovered at 29664.000000 that M21 is in danger (after 12017ms proces-to-process, 10916ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L3 of team T0 discovered at 27481.000000 that M22 is in danger (after 7491ms proces-to-process, 6132ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L3 of team T0 discovered at 38166.000000 that M23 is in danger (after 11439ms proces-to-process, 10949ms node-to-node, 1hops, 2versions (12 first, 14 discovered)
leader L3 of team T0 discovered at 34671.000000 that M44 is in danger (after 10256ms proces-to-process, 8605ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 37342.000000 that M45 is in danger (after 14954ms proces-to-process, 14559ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 28724.000000 that M11 is in danger (after 5311ms proces-to-process, 3342ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 29036.000000 that M10 is in danger (after 9318ms proces-to-process, 8035ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 34671.000000 that M13 is in danger (after 17030ms proces-to-process, 16474ms node-to-node, 8hops, 0versions (8 first, 8 discovered)
leader L3 of team T0 never discovered that M12 is in danger from 26337.
leader L3 of team T0 discovered at 39375.000000 that M15 is in danger (after 20305ms proces-to-process, 18413ms node-to-node, 5hops, 3versions (9 first, 12 discovered)
leader L3 of team T0 discovered at 34671.000000 that M14 is in danger (after 14212ms proces-to-process, 13895ms node-to-node, 6hops, 3versions (9 first, 12 discovered)
leader L3 of team T0 discovered at 47034.000000 that M17 is in danger (after 18622ms proces-to-process, 16019ms node-to-node, 3hops, 2versions (13 first, 15 discovered)
leader L3 of team T0 discovered at 38820.000000 that M16 is in danger (after 17388ms proces-to-process, 13604ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 57582.000000 that M19 is in danger (after 28421ms proces-to-process, 26927ms node-to-node, 8hops, 5versions (14 first, 19 discovered)
leader L3 of team T0 discovered at 25912.000000 that M18 is in danger (after 9660ms proces-to-process, 8838ms node-to-node, 5hops, 1versions (7 first, 8 discovered)
leader L0 of team T0 discovered at 36352.000000 that M39 is in danger (after 12759ms proces-to-process, 10808ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 37231.000000 that M38 is in danger (after 11475ms proces-to-process, 11061ms node-to-node, 8hops, 0versions (11 first, 11 discovered)
