Config: 
--------------------------------------------
leader L2 of team T0 discovered at 29867.000000 that M39 is in danger (after 6274ms proces-to-process, 3833ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 28631.000000 that M38 is in danger (after 2875ms proces-to-process, 2572ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 26233.000000 that M37 is in danger (after 3301ms proces-to-process, 1612ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 19880.000000 that M36 is in danger (after 4235ms proces-to-process, 1928ms node-to-node, 4hops, 0versions (7 first, 7 discovered)
leader L2 of team T0 discovered at 40461.000000 that M35 is in danger (after 12586ms proces-to-process, 8926ms node-to-node, 6hops, 2versions (14 first, 16 discovered)
leader L2 of team T0 discovered at 42971.000000 that M34 is in danger (after 12647ms proces-to-process, 11611ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 31124.000000 that M33 is in danger (after 3468ms proces-to-process, 1315ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 23340.000000 that M32 is in danger (after 2234ms proces-to-process, 834ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L2 of team T0 discovered at 25851.000000 that M31 is in danger (after 8106ms proces-to-process, 5318ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L2 of team T0 discovered at 31981.000000 that M30 is in danger (after 3601ms proces-to-process, 2957ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 24551.000000 that M5 is in danger (after 4994ms proces-to-process, 4014ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 31124.000000 that M4 is in danger (after 8992ms proces-to-process, 5769ms node-to-node, 3hops, 3versions (11 first, 14 discovered)
leader L2 of team T0 discovered at 34984.000000 that M7 is in danger (after 5161ms proces-to-process, 3010ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
