Config: 
--------------------------------------------
leader L2 of team T0 discovered at 35538.000000 that M39 is in danger (after 11945ms proces-to-process, 9620ms node-to-node, 4hops, 3versions (12 first, 15 discovered)
leader L2 of team T0 discovered at 31981.000000 that M38 is in danger (after 6225ms proces-to-process, 5817ms node-to-node, 1hops, 2versions (11 first, 13 discovered)
leader L2 of team T0 discovered at 31124.000000 that M37 is in danger (after 8192ms proces-to-process, 6571ms node-to-node, 2hops, 3versions (11 first, 14 discovered)
leader L2 of team T0 discovered at 25094.000000 that M36 is in danger (after 9449ms proces-to-process, 6975ms node-to-node, 4hops, 3versions (7 first, 10 discovered)
leader L2 of team T0 discovered at 36741.000000 that M35 is in danger (after 8866ms proces-to-process, 5312ms node-to-node, 5hops, 2versions (14 first, 16 discovered)
leader L2 of team T0 discovered at 34079.000000 that M34 is in danger (after 3755ms proces-to-process, 2837ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 31981.000000 that M33 is in danger (after 4325ms proces-to-process, 2329ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 35538.000000 that M32 is in danger (after 14432ms proces-to-process, 13152ms node-to-node, 6hops, 1versions (10 first, 11 discovered)
leader L2 of team T0 discovered at 27651.000000 that M31 is in danger (after 9906ms proces-to-process, 7043ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L2 of team T0 discovered at 34984.000000 that M30 is in danger (after 6604ms proces-to-process, 5424ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 40461.000000 that M5 is in danger (after 20904ms proces-to-process, 20157ms node-to-node, 6hops, 6versions (9 first, 15 discovered)
leader L2 of team T0 discovered at 42971.000000 that M4 is in danger (after 20839ms proces-to-process, 20813ms node-to-node, 6hops, 4versions (10 first, 14 discovered)
leader L2 of team T0 discovered at 33914.000000 that M7 is in danger (after 4091ms proces-to-process, 2088ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 40461.000000 that M6 is in danger (after 17990ms proces-to-process, 16453ms node-to-node, 6hops, 2versions (11 first, 13 discovered)
leader L2 of team T0 discovered at 31124.000000 that M1 is in danger (after 6280ms proces-to-process, 5438ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 25851.000000 that M0 is in danger (after 5213ms proces-to-process, 4494ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L2 of team T0 discovered at 25094.000000 that M3 is in danger (after 6331ms proces-to-process, 4757ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L2 of team T0 discovered at 34984.000000 that M2 is in danger (after 7554ms proces-to-process, 5451ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 37555.000000 that M9 is in danger (after 7197ms proces-to-process, 6577ms node-to-node, 3hops, 3versions (13 first, 16 discovered)
leader L2 of team T0 discovered at 26233.000000 that M8 is in danger (after 8853ms proces-to-process, 8774ms node-to-node, 8hops, 2versions (8 first, 10 discovered)
leader L2 of team T0 discovered at 39768.000000 that M42 is in danger (after 9917ms proces-to-process, 8815ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 25094.000000 that M43 is in danger (after 3959ms proces-to-process, 1017ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 36741.000000 that M40 is in danger (after 13476ms proces-to-process, 10831ms node-to-node, 5hops, 2versions (12 first, 14 discovered)
leader L2 of team T0 discovered at 31124.000000 that M41 is in danger (after 3897ms proces-to-process, 2745ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 31981.000000 that M28 is in danger (after 7166ms proces-to-process, 4555ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 29867.000000 that M29 is in danger (after 5795ms proces-to-process, 5233ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 41607.000000 that M24 is in danger (after 11396ms proces-to-process, 8430ms node-to-node, 5hops, 0versions (15 first, 15 discovered)
leader L2 of team T0 discovered at 39074.000000 that M25 is in danger (after 10988ms proces-to-process, 8871ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 42085.000000 that M26 is in danger (after 11766ms proces-to-process, 9453ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 28631.000000 that M27 is in danger (after 5805ms proces-to-process, 3361ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 36741.000000 that M20 is in danger (after 8503ms proces-to-process, 6318ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
