Config: 
--------------------------------------------
leader L2 of team T0 discovered at 28631.000000 that M39 is in danger (after 5038ms proces-to-process, 2417ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 28631.000000 that M38 is in danger (after 2875ms proces-to-process, 2015ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 28631.000000 that M37 is in danger (after 5699ms proces-to-process, 3501ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 24551.000000 that M36 is in danger (after 8906ms proces-to-process, 6184ms node-to-node, 1hops, 2versions (7 first, 9 discovered)
leader L2 of team T0 discovered at 36113.000000 that M35 is in danger (after 8238ms proces-to-process, 4620ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 33914.000000 that M34 is in danger (after 3590ms proces-to-process, 2012ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 32655.000000 that M33 is in danger (after 4999ms proces-to-process, 3071ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 32655.000000 that M32 is in danger (after 11549ms proces-to-process, 10027ms node-to-node, 9hops, 1versions (10 first, 11 discovered)
leader L2 of team T0 discovered at 24551.000000 that M31 is in danger (after 6806ms proces-to-process, 4138ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L2 of team T0 discovered at 35538.000000 that M30 is in danger (after 7158ms proces-to-process, 6406ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 31981.000000 that M5 is in danger (after 12424ms proces-to-process, 11622ms node-to-node, 5hops, 2versions (9 first, 11 discovered)
leader L2 of team T0 discovered at 31981.000000 that M4 is in danger (after 9849ms proces-to-process, 9203ms node-to-node, 3hops, 2versions (10 first, 12 discovered)
leader L2 of team T0 discovered at 38635.000000 that M7 is in danger (after 8812ms proces-to-process, 6878ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 38635.000000 that M6 is in danger (after 16164ms proces-to-process, 14070ms node-to-node, 4hops, 3versions (11 first, 14 discovered)
leader L2 of team T0 discovered at 37020.000000 that M1 is in danger (after 12176ms proces-to-process, 11138ms node-to-node, 6hops, 2versions (12 first, 14 discovered)
leader L2 of team T0 discovered at 35538.000000 that M0 is in danger (after 14900ms proces-to-process, 14203ms node-to-node, 8hops, 2versions (9 first, 11 discovered)
leader L2 of team T0 discovered at 21055.000000 that M3 is in danger (after 2292ms proces-to-process, 806ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 31981.000000 that M2 is in danger (after 4551ms proces-to-process, 2614ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 36113.000000 that M9 is in danger (after 5755ms proces-to-process, 5231ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 22369.000000 that M8 is in danger (after 4989ms proces-to-process, 4699ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 39768.000000 that M42 is in danger (after 9917ms proces-to-process, 8955ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 29322.000000 that M43 is in danger (after 8187ms proces-to-process, 5315ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 31124.000000 that M40 is in danger (after 7859ms proces-to-process, 4887ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 36113.000000 that M41 is in danger (after 8886ms proces-to-process, 7367ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 29066.000000 that M28 is in danger (after 4251ms proces-to-process, 2010ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 29066.000000 that M29 is in danger (after 4994ms proces-to-process, 4380ms node-to-node, 3hops, 2versions (11 first, 13 discovered)
leader L2 of team T0 discovered at 39074.000000 that M24 is in danger (after 8863ms proces-to-process, 5505ms node-to-node, 4hops, 0versions (15 first, 15 discovered)
leader L2 of team T0 discovered at 36741.000000 that M25 is in danger (after 8655ms proces-to-process, 6053ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 42971.000000 that M26 is in danger (after 12652ms proces-to-process, 10532ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 27651.000000 that M27 is in danger (after 4825ms proces-to-process, 2887ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 40461.000000 that M20 is in danger (after 12223ms proces-to-process, 10358ms node-to-node, 6hops, 2versions (13 first, 15 discovered)
leader L2 of team T0 discovered at 20575.000000 that M21 is in danger (after 2928ms proces-to-process, 2008ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 23340.000000 that M22 is in danger (after 3350ms proces-to-process, 2011ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 37555.000000 that M23 is in danger (after 10828ms proces-to-process, 10012ms node-to-node, 3hops, 2versions (12 first, 14 discovered)
leader L2 of team T0 discovered at 35538.000000 that M44 is in danger (after 11123ms proces-to-process, 9317ms node-to-node, 4hops, 2versions (11 first, 13 discovered)
leader L2 of team T0 discovered at 36741.000000 that M45 is in danger (after 14353ms proces-to-process, 13647ms node-to-node, 6hops, 4versions (11 first, 15 discovered)
