Config: 
--------------------------------------------
leader L2 of team T0 discovered at 34984.000000 that M39 is in danger (after 11391ms proces-to-process, 8880ms node-to-node, 2hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 42971.000000 that M38 is in danger (after 17215ms proces-to-process, 16425ms node-to-node, 2hops, 5versions (11 first, 16 discovered)
leader L2 of team T0 discovered at 38635.000000 that M37 is in danger (after 15703ms proces-to-process, 13348ms node-to-node, 4hops, 3versions (11 first, 14 discovered)
leader L2 of team T0 discovered at 36741.000000 that M36 is in danger (after 21096ms proces-to-process, 18526ms node-to-node, 5hops, 3versions (7 first, 10 discovered)
leader L2 of team T0 discovered at 59596.000000 that M35 is in danger (after 31721ms proces-to-process, 28179ms node-to-node, 8hops, 4versions (14 first, 18 discovered)
leader L2 of team T0 discovered at 42450.000000 that M34 is in danger (after 12126ms proces-to-process, 11035ms node-to-node, 1hops, 3versions (14 first, 17 discovered)
leader L2 of team T0 discovered at 33056.000000 that M33 is in danger (after 5400ms proces-to-process, 3467ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 37555.000000 that M32 is in danger (after 16449ms proces-to-process, 15510ms node-to-node, 3hops, 4versions (10 first, 14 discovered)
leader L2 of team T0 discovered at 31981.000000 that M31 is in danger (after 14320ms proces-to-process, 13000ms node-to-node, 7hops, 1versions (8 first, 9 discovered)
leader L2 of team T0 discovered at 42085.000000 that M30 is in danger (after 13705ms proces-to-process, 13120ms node-to-node, 2hops, 3versions (13 first, 16 discovered)
leader L2 of team T0 discovered at 36113.000000 that M5 is in danger (after 16556ms proces-to-process, 15871ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 31124.000000 that M4 is in danger (after 8992ms proces-to-process, 5884ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 47550.000000 that M7 is in danger (after 17727ms proces-to-process, 15766ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 39768.000000 that M6 is in danger (after 17297ms proces-to-process, 15763ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 36113.000000 that M1 is in danger (after 11269ms proces-to-process, 9937ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 31124.000000 that M0 is in danger (after 10486ms proces-to-process, 9821ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L2 of team T0 discovered at 47550.000000 that M3 is in danger (after 28787ms proces-to-process, 26623ms node-to-node, 6hops, 8versions (9 first, 17 discovered)
leader L2 of team T0 discovered at 40461.000000 that M2 is in danger (after 13031ms proces-to-process, 10726ms node-to-node, 3hops, 2versions (13 first, 15 discovered)
leader L2 of team T0 discovered at 45605.000000 that M9 is in danger (after 15247ms proces-to-process, 14929ms node-to-node, 8hops, 4versions (13 first, 17 discovered)
leader L2 of team T0 discovered at 36113.000000 that M8 is in danger (after 18733ms proces-to-process, 18419ms node-to-node, 8hops, 3versions (8 first, 11 discovered)
leader L2 of team T0 discovered at 45605.000000 that M42 is in danger (after 15754ms proces-to-process, 14821ms node-to-node, 5hops, 2versions (14 first, 16 discovered)
leader L2 of team T0 never discovered that M43 is in danger from 21135.
leader L2 of team T0 discovered at 39074.000000 that M40 is in danger (after 15809ms proces-to-process, 13317ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 45039.000000 that M41 is in danger (after 17812ms proces-to-process, 16500ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 36113.000000 that M28 is in danger (after 11298ms proces-to-process, 8810ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 39768.000000 that M29 is in danger (after 15696ms proces-to-process, 15107ms node-to-node, 7hops, 2versions (11 first, 13 discovered)
leader L2 of team T0 discovered at 52388.000000 that M24 is in danger (after 22177ms proces-to-process, 18899ms node-to-node, 5hops, 2versions (15 first, 17 discovered)
leader L2 of team T0 discovered at 43326.000000 that M25 is in danger (after 15240ms proces-to-process, 13132ms node-to-node, 2hops, 3versions (14 first, 17 discovered)
leader L2 of team T0 discovered at 40461.000000 that M26 is in danger (after 10142ms proces-to-process, 7500ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 58160.000000 that M27 is in danger (after 35334ms proces-to-process, 33341ms node-to-node, 7hops, 10versions (11 first, 21 discovered)
leader L2 of team T0 discovered at 47550.000000 that M20 is in danger (after 19312ms proces-to-process, 16619ms node-to-node, 7hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 45605.000000 that M21 is in danger (after 27958ms proces-to-process, 26659ms node-to-node, 10hops, 2versions (8 first, 10 discovered)
leader L2 of team T0 discovered at 44064.000000 that M22 is in danger (after 24074ms proces-to-process, 22795ms node-to-node, 6hops, 6versions (9 first, 15 discovered)
leader L2 of team T0 discovered at 38635.000000 that M23 is in danger (after 11908ms proces-to-process, 11350ms node-to-node, 4hops, 2versions (12 first, 14 discovered)
leader L2 of team T0 discovered at 49027.000000 that M44 is in danger (after 24612ms proces-to-process, 23016ms node-to-node, 6hops, 2versions (11 first, 13 discovered)
leader L2 of team T0 discovered at 33056.000000 that M45 is in danger (after 10668ms proces-to-process, 10231ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 44064.000000 that M11 is in danger (after 20651ms proces-to-process, 19157ms node-to-node, 6hops, 5versions (12 first, 17 discovered)
leader L2 of team T0 discovered at 42971.000000 that M10 is in danger (after 23253ms proces-to-process, 21842ms node-to-node, 7hops, 2versions (9 first, 11 discovered)
leader L2 of team T0 discovered at 39768.000000 that M13 is in danger (after 21526ms proces-to-process, 18863ms node-to-node, 10hops, 3versions (9 first, 12 discovered)
leader L2 of team T0 discovered at 45605.000000 that M12 is in danger (after 19268ms proces-to-process, 18783ms node-to-node, 4hops, 4versions (12 first, 16 discovered)
leader L2 of team T0 discovered at 44064.000000 that M15 is in danger (after 24994ms proces-to-process, 23457ms node-to-node, 7hops, 4versions (9 first, 13 discovered)
leader L2 of team T0 discovered at 33914.000000 that M14 is in danger (after 13455ms proces-to-process, 13339ms node-to-node, 10hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 51059.000000 that M17 is in danger (after 22647ms proces-to-process, 20713ms node-to-node, 7hops, 5versions (13 first, 18 discovered)
leader L2 of team T0 discovered at 53535.000000 that M16 is in danger (after 32103ms proces-to-process, 28014ms node-to-node, 10hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 41607.000000 that M19 is in danger (after 12446ms proces-to-process, 11138ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 46054.000000 that M18 is in danger (after 29802ms proces-to-process, 28888ms node-to-node, 8hops, 7versions (7 first, 14 discovered)
leader L3 of team T0 discovered at 34281.000000 that M39 is in danger (after 10688ms proces-to-process, 8356ms node-to-node, 2hops, 1versions (12 first, 13 discovered)
leader L3 of team T0 discovered at 31541.000000 that M38 is in danger (after 5785ms proces-to-process, 5049ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 32793.000000 that M37 is in danger (after 9861ms proces-to-process, 7985ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 26873.000000 that M36 is in danger (after 11228ms proces-to-process, 8700ms node-to-node, 6hops, 1versions (7 first, 8 discovered)
leader L3 of team T0 discovered at 48256.000000 that M35 is in danger (after 20381ms proces-to-process, 16799ms node-to-node, 8hops, 2versions (14 first, 16 discovered)
leader L3 of team T0 discovered at 54426.000000 that M34 is in danger (after 24102ms proces-to-process, 22781ms node-to-node, 6hops, 7versions (14 first, 21 discovered)
leader L3 of team T0 never discovered that M33 is in danger from 27656.
leader L3 of team T0 discovered at 33545.000000 that M32 is in danger (after 12439ms proces-to-process, 11411ms node-to-node, 6hops, 1versions (10 first, 11 discovered)
leader L3 of team T0 discovered at 33545.000000 that M31 is in danger (after 15884ms proces-to-process, 14602ms node-to-node, 7hops, 1versions (8 first, 9 discovered)
leader L3 of team T0 discovered at 51363.000000 that M30 is in danger (after 22983ms proces-to-process, 21988ms node-to-node, 4hops, 8versions (13 first, 21 discovered)
leader L3 of team T0 discovered at 30900.000000 that M5 is in danger (after 11343ms proces-to-process, 10772ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 42029.000000 that M4 is in danger (after 19897ms proces-to-process, 17087ms node-to-node, 5hops, 5versions (11 first, 16 discovered)
leader L3 of team T0 discovered at 46072.000000 that M7 is in danger (after 16249ms proces-to-process, 14187ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 41470.000000 that M6 is in danger (after 18999ms proces-to-process, 17392ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 39375.000000 that M1 is in danger (after 14531ms proces-to-process, 13269ms node-to-node, 5hops, 4versions (12 first, 16 discovered)
leader L3 of team T0 discovered at 30900.000000 that M0 is in danger (after 10262ms proces-to-process, 9466ms node-to-node, 4hops, 2versions (9 first, 11 discovered)
leader L3 of team T0 discovered at 44527.000000 that M3 is in danger (after 25764ms proces-to-process, 23962ms node-to-node, 8hops, 5versions (9 first, 14 discovered)
leader L3 of team T0 discovered at 39375.000000 that M2 is in danger (after 11945ms proces-to-process, 9807ms node-to-node, 5hops, 3versions (13 first, 16 discovered)
leader L3 of team T0 discovered at 42982.000000 that M9 is in danger (after 12624ms proces-to-process, 11977ms node-to-node, 5hops, 4versions (13 first, 17 discovered)
leader L3 of team T0 discovered at 23477.000000 that M8 is in danger (after 6097ms proces-to-process, 5471ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
