Config: 
--------------------------------------------
leader L2 of team T0 discovered at 32655.000000 that M39 is in danger (after 9062ms proces-to-process, 7073ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 34984.000000 that M38 is in danger (after 9228ms proces-to-process, 8511ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 31124.000000 that M37 is in danger (after 8192ms proces-to-process, 5904ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 28631.000000 that M36 is in danger (after 12986ms proces-to-process, 10135ms node-to-node, 5hops, 1versions (7 first, 8 discovered)
leader L2 of team T0 discovered at 44064.000000 that M35 is in danger (after 16189ms proces-to-process, 12833ms node-to-node, 2hops, 3versions (14 first, 17 discovered)
leader L2 of team T0 discovered at 36741.000000 that M34 is in danger (after 6417ms proces-to-process, 5043ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 31981.000000 that M33 is in danger (after 4325ms proces-to-process, 1717ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 41607.000000 that M32 is in danger (after 20501ms proces-to-process, 18772ms node-to-node, 4hops, 5versions (10 first, 15 discovered)
leader L2 of team T0 discovered at 29322.000000 that M31 is in danger (after 11661ms proces-to-process, 10443ms node-to-node, 1hops, 4versions (8 first, 12 discovered)
leader L2 of team T0 discovered at 34984.000000 that M30 is in danger (after 6604ms proces-to-process, 6003ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 24551.000000 that M5 is in danger (after 4994ms proces-to-process, 4683ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 26233.000000 that M4 is in danger (after 4101ms proces-to-process, 1273ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 32655.000000 that M7 is in danger (after 2832ms proces-to-process, 1413ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 27314.000000 that M6 is in danger (after 4843ms proces-to-process, 3301ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 29066.000000 that M1 is in danger (after 4222ms proces-to-process, 3247ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 24551.000000 that M0 is in danger (after 3913ms proces-to-process, 3328ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L2 of team T0 discovered at 28631.000000 that M3 is in danger (after 9868ms proces-to-process, 8365ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 36741.000000 that M2 is in danger (after 9311ms proces-to-process, 6970ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 39074.000000 that M9 is in danger (after 8716ms proces-to-process, 8155ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 19056.000000 that M8 is in danger (after 1676ms proces-to-process, 1562ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 39768.000000 that M42 is in danger (after 9917ms proces-to-process, 8680ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 26233.000000 that M43 is in danger (after 5098ms proces-to-process, 2012ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 27651.000000 that M40 is in danger (after 4386ms proces-to-process, 2009ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 34079.000000 that M41 is in danger (after 6852ms proces-to-process, 5596ms node-to-node, 3hops, 1versions (12 first, 13 discovered)
