Config: 
--------------------------------------------
leader L16 of team T8 discovered at 37030.000000 that M151 is in danger (after 11217ms proces-to-process, 10684ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 24790.000000 that M150 is in danger (after 3601ms proces-to-process, 3037ms node-to-node, 6hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 never discovered that M153 is in danger from 20405.
leader L16 of team T8 discovered at 32745.000000 that M152 is in danger (after 4257ms proces-to-process, 3421ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 26757.000000 that M155 is in danger (after 5522ms proces-to-process, 4965ms node-to-node, 5hops, 1versions (10 first, 11 discovered)
leader L16 of team T8 discovered at 26200.000000 that M154 is in danger (after 3311ms proces-to-process, 1278ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 35430.000000 that M156 is in danger (after 11823ms proces-to-process, 10656ms node-to-node, 9hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 20199.000000 that M159 is in danger (after 3470ms proces-to-process, 323ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 25269.000000 that M158 is in danger (after 6649ms proces-to-process, 5657ms node-to-node, 3hops, 2versions (9 first, 11 discovered)
leader L16 of team T8 discovered at 36318.000000 that M146 is in danger (after 6515ms proces-to-process, 3828ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L16 of team T8 discovered at 27369.000000 that M147 is in danger (after 5374ms proces-to-process, 2612ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 36318.000000 that M144 is in danger (after 7744ms proces-to-process, 5303ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L16 of team T8 discovered at 40795.000000 that M145 is in danger (after 13672ms proces-to-process, 10998ms node-to-node, 8hops, 1versions (13 first, 14 discovered)
leader L16 of team T8 never discovered that M148 is in danger from 24342.
leader L16 of team T8 discovered at 27369.000000 that M149 is in danger (after 4338ms proces-to-process, 4010ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
