Config: 
--------------------------------------------
leader L16 of team T8 discovered at 37030.000000 that M151 is in danger (after 11217ms proces-to-process, 10758ms node-to-node, 12hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 33638.000000 that M150 is in danger (after 12449ms proces-to-process, 11588ms node-to-node, 6hops, 2versions (10 first, 12 discovered)
leader L16 of team T8 discovered at 31784.000000 that M160 is in danger (after 16136ms proces-to-process, 13421ms node-to-node, 6hops, 3versions (7 first, 10 discovered)
leader L16 of team T8 discovered at 37030.000000 that M161 is in danger (after 17310ms proces-to-process, 15396ms node-to-node, 11hops, 3versions (10 first, 13 discovered)
leader L16 of team T8 discovered at 33638.000000 that M162 is in danger (after 11595ms proces-to-process, 10777ms node-to-node, 8hops, 1versions (10 first, 11 discovered)
leader L16 of team T8 discovered at 42897.000000 that M146 is in danger (after 13094ms proces-to-process, 10684ms node-to-node, 8hops, 0versions (14 first, 14 discovered)
leader L16 of team T8 discovered at 43246.000000 that M147 is in danger (after 21251ms proces-to-process, 18445ms node-to-node, 8hops, 3versions (11 first, 14 discovered)
leader L16 of team T8 discovered at 20900.000000 that M153 is in danger (after 495ms proces-to-process, 185ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 37801.000000 that M152 is in danger (after 9313ms proces-to-process, 8080ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L16 of team T8 discovered at 30203.000000 that M155 is in danger (after 8968ms proces-to-process, 8188ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 28079.000000 that M154 is in danger (after 5190ms proces-to-process, 3380ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 42897.000000 that M156 is in danger (after 19290ms proces-to-process, 17790ms node-to-node, 7hops, 6versions (11 first, 17 discovered)
leader L16 of team T8 discovered at 24790.000000 that M159 is in danger (after 8061ms proces-to-process, 4868ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 37030.000000 that M158 is in danger (after 18410ms proces-to-process, 17669ms node-to-node, 1hops, 7versions (9 first, 16 discovered)
leader L16 of team T8 discovered at 49737.000000 that M148 is in danger (after 25395ms proces-to-process, 25026ms node-to-node, 9hops, 8versions (11 first, 19 discovered)
leader L16 of team T8 discovered at 45322.000000 that M149 is in danger (after 22291ms proces-to-process, 21723ms node-to-node, 11hops, 6versions (11 first, 17 discovered)
leader L17 of team T8 discovered at 33234.000000 that M151 is in danger (after 7421ms proces-to-process, 7174ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L17 of team T8 discovered at 29618.000000 that M150 is in danger (after 8429ms proces-to-process, 8068ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 48463.000000 that M160 is in danger (after 32815ms proces-to-process, 29926ms node-to-node, 9hops, 10versions (7 first, 17 discovered)
leader L17 of team T8 discovered at 39559.000000 that M161 is in danger (after 19839ms proces-to-process, 17662ms node-to-node, 6hops, 3versions (10 first, 13 discovered)
leader L17 of team T8 never discovered that M162 is in danger from 22043.
leader L17 of team T8 discovered at 44125.000000 that M146 is in danger (after 14322ms proces-to-process, 12407ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L17 of team T8 discovered at 31667.000000 that M147 is in danger (after 9672ms proces-to-process, 6728ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 31150.000000 that M153 is in danger (after 10745ms proces-to-process, 10303ms node-to-node, 9hops, 0versions (9 first, 9 discovered)
leader L17 of team T8 never discovered that M152 is in danger from 28488.
leader L17 of team T8 discovered at 47816.000000 that M155 is in danger (after 26581ms proces-to-process, 25712ms node-to-node, 5hops, 4versions (10 first, 14 discovered)
leader L17 of team T8 never discovered that M154 is in danger from 22889.
leader L17 of team T8 discovered at 34167.000000 that M156 is in danger (after 10560ms proces-to-process, 9340ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 28137.000000 that M159 is in danger (after 11408ms proces-to-process, 8864ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L17 of team T8 never discovered that M158 is in danger from 18620.
leader L17 of team T8 never discovered that M148 is in danger from 24342.
leader L17 of team T8 discovered at 42216.000000 that M149 is in danger (after 19185ms proces-to-process, 18093ms node-to-node, 3hops, 6versions (11 first, 17 discovered)
leader L18 of team T9 discovered at 35633.000000 that M168 is in danger (after 7871ms proces-to-process, 6904ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L18 of team T9 discovered at 38108.000000 that M169 is in danger (after 12422ms proces-to-process, 11455ms node-to-node, 4hops, 3versions (12 first, 15 discovered)
leader L18 of team T9 discovered at 30779.000000 that M179 is in danger (after 7827ms proces-to-process, 5926ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L18 of team T9 discovered at 38108.000000 that M170 is in danger (after 10582ms proces-to-process, 7680ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L18 of team T9 discovered at 31970.000000 that M173 is in danger (after 5599ms proces-to-process, 3870ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L18 of team T9 discovered at 24060.000000 that M172 is in danger (after 5075ms proces-to-process, 3896ms node-to-node, 3hops, 1versions (8 first, 9 discovered)
leader L18 of team T9 discovered at 24985.000000 that M171 is in danger (after 8326ms proces-to-process, 7318ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L18 of team T9 discovered at 42950.000000 that M163 is in danger (after 13344ms proces-to-process, 12138ms node-to-node, 7hops, 3versions (14 first, 17 discovered)
leader L18 of team T9 discovered at 26434.000000 that M164 is in danger (after 9495ms proces-to-process, 8500ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L18 of team T9 discovered at 40015.000000 that M165 is in danger (after 9593ms proces-to-process, 7357ms node-to-node, 10hops, 1versions (14 first, 15 discovered)
leader L18 of team T9 discovered at 26434.000000 that M166 is in danger (after 8468ms proces-to-process, 6453ms node-to-node, 8hops, 0versions (8 first, 8 discovered)
leader L18 of team T9 discovered at 34051.000000 that M167 is in danger (after 8861ms proces-to-process, 7199ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L18 of team T9 discovered at 30779.000000 that M178 is in danger (after 6742ms proces-to-process, 6394ms node-to-node, 1hops, 3versions (11 first, 14 discovered)
leader L18 of team T9 discovered at 37205.000000 that M175 is in danger (after 10138ms proces-to-process, 6015ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L18 of team T9 discovered at 43805.000000 that M176 is in danger (after 13972ms proces-to-process, 12220ms node-to-node, 6hops, 3versions (14 first, 17 discovered)
leader L18 of team T9 discovered at 24784.000000 that M177 is in danger (after 2981ms proces-to-process, 2012ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L18 of team T9 discovered at 55794.000000 that M174 is in danger (after 27048ms proces-to-process, 26181ms node-to-node, 3hops, 8versions (13 first, 21 discovered)
leader L18 of team T9 discovered at 31970.000000 that M180 is in danger (after 10612ms proces-to-process, 10431ms node-to-node, 7hops, 2versions (9 first, 11 discovered)
leader L19 of team T9 discovered at 31440.000000 that M168 is in danger (after 3678ms proces-to-process, 2395ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L19 of team T9 discovered at 28604.000000 that M169 is in danger (after 2918ms proces-to-process, 2613ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L19 of team T9 discovered at 32443.000000 that M179 is in danger (after 9491ms proces-to-process, 7874ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L19 of team T9 discovered at 36613.000000 that M170 is in danger (after 9087ms proces-to-process, 6505ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L19 of team T9 discovered at 37470.000000 that M173 is in danger (after 11099ms proces-to-process, 9309ms node-to-node, 4hops, 2versions (12 first, 14 discovered)
leader L19 of team T9 discovered at 22689.000000 that M172 is in danger (after 3704ms proces-to-process, 2738ms node-to-node, 2hops, 2versions (8 first, 10 discovered)
leader L19 of team T9 discovered at 19664.000000 that M171 is in danger (after 3005ms proces-to-process, 1962ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L19 of team T9 discovered at 34197.000000 that M163 is in danger (after 4591ms proces-to-process, 3820ms node-to-node, 7hops, 0versions (14 first, 14 discovered)
leader L19 of team T9 discovered at 25681.000000 that M164 is in danger (after 8742ms proces-to-process, 7673ms node-to-node, 1hops, 2versions (8 first, 10 discovered)
leader L19 of team T9 discovered at 33677.000000 that M165 is in danger (after 3255ms proces-to-process, 843ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L19 of team T9 discovered at 24786.000000 that M166 is in danger (after 6820ms proces-to-process, 4494ms node-to-node, 5hops, 1versions (8 first, 9 discovered)
leader L19 of team T9 discovered at 28604.000000 that M167 is in danger (after 3414ms proces-to-process, 1575ms node-to-node, 1hops, 1versions (12 first, 13 discovered)
leader L19 of team T9 discovered at 35257.000000 that M178 is in danger (after 11220ms proces-to-process, 10671ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L19 of team T9 discovered at 35257.000000 that M175 is in danger (after 8190ms proces-to-process, 3818ms node-to-node, 7hops, 0versions (14 first, 14 discovered)
leader L19 of team T9 discovered at 38310.000000 that M176 is in danger (after 8477ms proces-to-process, 7411ms node-to-node, 6hops, 2versions (14 first, 16 discovered)
leader L19 of team T9 discovered at 26265.000000 that M177 is in danger (after 4462ms proces-to-process, 3263ms node-to-node, 5hops, 1versions (10 first, 11 discovered)
leader L19 of team T9 discovered at 46135.000000 that M174 is in danger (after 17389ms proces-to-process, 16252ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L19 of team T9 discovered at 25681.000000 that M180 is in danger (after 4323ms proces-to-process, 4199ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L12 of team T6 discovered at 50020.000000 that M124 is in danger (after 24016ms proces-to-process, 22185ms node-to-node, 11hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 never discovered that M125 is in danger from 23634.
leader L12 of team T6 never discovered that M126 is in danger from 26409.
leader L12 of team T6 discovered at 56789.000000 that M119 is in danger (after 30743ms proces-to-process, 27001ms node-to-node, 7hops, 9versions (13 first, 22 discovered)
leader L12 of team T6 discovered at 44626.000000 that M118 is in danger (after 17336ms proces-to-process, 14491ms node-to-node, 9hops, 1versions (14 first, 15 discovered)
leader L12 of team T6 discovered at 38417.000000 that M122 is in danger (after 22370ms proces-to-process, 20193ms node-to-node, 10hops, 2versions (7 first, 9 discovered)
leader L12 of team T6 discovered at 57578.000000 that M123 is in danger (after 34324ms proces-to-process, 31984ms node-to-node, 7hops, 11versions (11 first, 22 discovered)
leader L12 of team T6 discovered at 57578.000000 that M115 is in danger (after 27546ms proces-to-process, 26902ms node-to-node, 12hops, 8versions (13 first, 21 discovered)
leader L12 of team T6 discovered at 34552.000000 that M114 is in danger (after 17208ms proces-to-process, 15736ms node-to-node, 3hops, 1versions (8 first, 9 discovered)
leader L12 of team T6 discovered at 54611.000000 that M117 is in danger (after 30062ms proces-to-process, 26431ms node-to-node, 3hops, 3versions (13 first, 16 discovered)
leader L12 of team T6 discovered at 28381.000000 that M116 is in danger (after 10453ms proces-to-process, 9514ms node-to-node, 3hops, 2versions (8 first, 10 discovered)
leader L12 of team T6 discovered at 28381.000000 that M111 is in danger (after 8817ms proces-to-process, 6110ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L12 of team T6 discovered at 45685.000000 that M110 is in danger (after 15109ms proces-to-process, 14460ms node-to-node, 7hops, 2versions (14 first, 16 discovered)
leader L12 of team T6 discovered at 53769.000000 that M113 is in danger (after 24614ms proces-to-process, 22780ms node-to-node, 2hops, 7versions (14 first, 21 discovered)
leader L12 of team T6 discovered at 43107.000000 that M112 is in danger (after 20764ms proces-to-process, 17759ms node-to-node, 2hops, 5versions (11 first, 16 discovered)
leader L12 of team T6 discovered at 47111.000000 that M128 is in danger (after 26081ms proces-to-process, 24972ms node-to-node, 4hops, 2versions (10 first, 12 discovered)
leader L12 of team T6 never discovered that M120 is in danger from 24111.
leader L12 of team T6 discovered at 43107.000000 that M129 is in danger (after 23641ms proces-to-process, 22501ms node-to-node, 9hops, 2versions (8 first, 10 discovered)
leader L12 of team T6 discovered at 34077.000000 that M121 is in danger (after 5432ms proces-to-process, 4928ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 42776.000000 that M124 is in danger (after 16772ms proces-to-process, 15150ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 never discovered that M125 is in danger from 23634.
leader L13 of team T6 discovered at 38895.000000 that M126 is in danger (after 12486ms proces-to-process, 10644ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 50367.000000 that M119 is in danger (after 24321ms proces-to-process, 20695ms node-to-node, 10hops, 5versions (13 first, 18 discovered)
leader L13 of team T6 discovered at 39998.000000 that M118 is in danger (after 12708ms proces-to-process, 9676ms node-to-node, 8hops, 1versions (14 first, 15 discovered)
leader L13 of team T6 discovered at 31164.000000 that M122 is in danger (after 15117ms proces-to-process, 13464ms node-to-node, 3hops, 0versions (7 first, 7 discovered)
leader L13 of team T6 discovered at 42776.000000 that M123 is in danger (after 19522ms proces-to-process, 17207ms node-to-node, 14hops, 0versions (11 first, 11 discovered)
leader L13 of team T6 discovered at 47495.000000 that M115 is in danger (after 17463ms proces-to-process, 17255ms node-to-node, 10hops, 2versions (13 first, 15 discovered)
