Config: 
--------------------------------------------
leader L16 of team T8 discovered at 39753.000000 that M152 is in danger (after 10765ms proces-to-process, 9338ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 19717.000000 that M160 is in danger (after 4013ms proces-to-process, 1992ms node-to-node, 3hops, 0versions (5 first, 5 discovered)
leader L16 of team T8 discovered at 27257.000000 that M161 is in danger (after 7607ms proces-to-process, 7359ms node-to-node, 5hops, 3versions (6 first, 9 discovered)
leader L16 of team T8 discovered at 29514.000000 that M162 is in danger (after 7401ms proces-to-process, 4466ms node-to-node, 5hops, 1versions (8 first, 9 discovered)
leader L16 of team T8 discovered at 33745.000000 that M163 is in danger (after 4553ms proces-to-process, 2439ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 18798.000000 that M164 is in danger (after 1679ms proces-to-process, 102ms node-to-node, 2hops, 0versions (6 first, 6 discovered)
leader L16 of team T8 discovered at 23958.000000 that M166 is in danger (after 5978ms proces-to-process, 932ms node-to-node, 4hops, 0versions (7 first, 7 discovered)
leader L16 of team T8 discovered at 32784.000000 that M151 is in danger (after 6877ms proces-to-process, 5331ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L16 of team T8 discovered at 29862.000000 that M150 is in danger (after 8626ms proces-to-process, 7796ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 43065.000000 that M153 is in danger (after 22761ms proces-to-process, 20600ms node-to-node, 6hops, 6versions (7 first, 13 discovered)
leader L16 of team T8 discovered at 31423.000000 that M145 is in danger (after 4134ms proces-to-process, 2610ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 23958.000000 that M155 is in danger (after 3032ms proces-to-process, 282ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 25290.000000 that M154 is in danger (after 2394ms proces-to-process, 176ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 25769.000000 that M156 is in danger (after 2350ms proces-to-process, 1802ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 23958.000000 that M159 is in danger (after 7247ms proces-to-process, 3057ms node-to-node, 3hops, 1versions (7 first, 8 discovered)
