Config: 
--------------------------------------------
leader L4 of team T2 discovered at 27632.000000 that M52 is in danger (after 4273ms proces-to-process, 2171ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 26687.000000 that M48 is in danger (after 6894ms proces-to-process, 5384ms node-to-node, 3hops, 2versions (9 first, 11 discovered)
leader L4 of team T2 discovered at 25449.000000 that M49 is in danger (after 6850ms proces-to-process, 3593ms node-to-node, 3hops, 2versions (9 first, 11 discovered)
leader L4 of team T2 discovered at 25449.000000 that M51 is in danger (after 4780ms proces-to-process, 2204ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L4 of team T2 discovered at 18610.000000 that M50 is in danger (after 1609ms proces-to-process, 112ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 26013.000000 that M53 is in danger (after 10339ms proces-to-process, 9151ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L4 of team T2 discovered at 27632.000000 that M38 is in danger (after 1876ms proces-to-process, 1283ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 37563.000000 that M42 is in danger (after 7712ms proces-to-process, 6430ms node-to-node, 5hops, 2versions (14 first, 16 discovered)
leader L4 of team T2 discovered at 20077.000000 that M36 is in danger (after 4432ms proces-to-process, 1938ms node-to-node, 3hops, 2versions (7 first, 9 discovered)
leader L4 of team T2 discovered at 32520.000000 that M40 is in danger (after 9255ms proces-to-process, 6629ms node-to-node, 5hops, 2versions (12 first, 14 discovered)
leader L4 of team T2 discovered at 29734.000000 that M41 is in danger (after 2507ms proces-to-process, 1144ms node-to-node, 1hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 27632.000000 that M46 is in danger (after 2129ms proces-to-process, 1897ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 30535.000000 that M47 is in danger (after 13112ms proces-to-process, 11125ms node-to-node, 3hops, 1versions (8 first, 9 discovered)
leader L4 of team T2 discovered at 31665.000000 that M44 is in danger (after 7250ms proces-to-process, 5034ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 26013.000000 that M45 is in danger (after 3625ms proces-to-process, 3136ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 25449.000000 that M56 is in danger (after 6327ms proces-to-process, 4748ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L4 of team T2 discovered at 20077.000000 that M54 is in danger (after 1564ms proces-to-process, 199ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 31994.000000 that M43 is in danger (after 10859ms proces-to-process, 7830ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 27136.000000 that M52 is in danger (after 3777ms proces-to-process, 1664ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L5 of team T2 discovered at 26267.000000 that M48 is in danger (after 6474ms proces-to-process, 4940ms node-to-node, 2hops, 2versions (9 first, 11 discovered)
leader L5 of team T2 discovered at 25789.000000 that M49 is in danger (after 7190ms proces-to-process, 3706ms node-to-node, 4hops, 2versions (9 first, 11 discovered)
leader L5 of team T2 discovered at 24748.000000 that M51 is in danger (after 4079ms proces-to-process, 1736ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L5 of team T2 discovered at 18935.000000 that M50 is in danger (after 1934ms proces-to-process, 425ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 18090.000000 that M53 is in danger (after 2416ms proces-to-process, 805ms node-to-node, 2hops, 0versions (7 first, 7 discovered)
leader L5 of team T2 discovered at 27136.000000 that M38 is in danger (after 1380ms proces-to-process, 805ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 34577.000000 that M42 is in danger (after 4726ms proces-to-process, 3650ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L5 of team T2 discovered at 20627.000000 that M36 is in danger (after 4982ms proces-to-process, 2480ms node-to-node, 4hops, 2versions (7 first, 9 discovered)
leader L5 of team T2 discovered at 27136.000000 that M40 is in danger (after 3871ms proces-to-process, 806ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 30069.000000 that M41 is in danger (after 2842ms proces-to-process, 1596ms node-to-node, 2hops, 1versions (12 first, 13 discovered)
leader L5 of team T2 discovered at 27136.000000 that M46 is in danger (after 1633ms proces-to-process, 1407ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 27136.000000 that M47 is in danger (after 9713ms proces-to-process, 7186ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 30663.000000 that M44 is in danger (after 6248ms proces-to-process, 4585ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 26267.000000 that M45 is in danger (after 3879ms proces-to-process, 3297ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 25174.000000 that M56 is in danger (after 6052ms proces-to-process, 4321ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L5 of team T2 discovered at 20627.000000 that M54 is in danger (after 2114ms proces-to-process, 736ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 32174.000000 that M43 is in danger (after 11039ms proces-to-process, 7391ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L6 of team T3 discovered at 16712.000000 that M55 is in danger (after 457ms proces-to-process, 27ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L6 of team T3 discovered at 29275.000000 that M60 is in danger (after 3839ms proces-to-process, 3674ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 39318.000000 that M57 is in danger (after 13436ms proces-to-process, 12927ms node-to-node, 8hops, 1versions (12 first, 13 discovered)
leader L6 of team T3 discovered at 34830.000000 that M63 is in danger (after 10327ms proces-to-process, 8742ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 35201.000000 that M64 is in danger (after 8191ms proces-to-process, 7724ms node-to-node, 8hops, 0versions (13 first, 13 discovered)
leader L6 of team T3 discovered at 29589.000000 that M65 is in danger (after 4281ms proces-to-process, 3575ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 36817.000000 that M66 is in danger (after 8599ms proces-to-process, 7029ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L6 of team T3 discovered at 39424.000000 that M61 is in danger (after 9422ms proces-to-process, 8146ms node-to-node, 5hops, 2versions (14 first, 16 discovered)
leader L6 of team T3 discovered at 28525.000000 that M62 is in danger (after 10444ms proces-to-process, 7945ms node-to-node, 7hops, 1versions (8 first, 9 discovered)
leader L6 of team T3 discovered at 34030.000000 that M69 is in danger (after 13537ms proces-to-process, 11043ms node-to-node, 10hops, 0versions (10 first, 10 discovered)
leader L6 of team T3 discovered at 27130.000000 that M67 is in danger (after 7528ms proces-to-process, 7083ms node-to-node, 8hops, 0versions (8 first, 8 discovered)
leader L6 of team T3 discovered at 29275.000000 that M59 is in danger (after 2225ms proces-to-process, 330ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L6 of team T3 discovered at 38232.000000 that M58 is in danger (after 9271ms proces-to-process, 8665ms node-to-node, 10hops, 0versions (13 first, 13 discovered)
leader L6 of team T3 discovered at 34251.000000 that M71 is in danger (after 7178ms proces-to-process, 5304ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L6 of team T3 discovered at 41429.000000 that M72 is in danger (after 11845ms proces-to-process, 9727ms node-to-node, 9hops, 2versions (14 first, 16 discovered)
leader L6 of team T3 discovered at 31234.000000 that M68 is in danger (after 8510ms proces-to-process, 8305ms node-to-node, 4hops, 1versions (10 first, 11 discovered)
leader L6 of team T3 discovered at 32297.000000 that M73 is in danger (after 10393ms proces-to-process, 8213ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L6 of team T3 discovered at 31234.000000 that M70 is in danger (after 8923ms proces-to-process, 7592ms node-to-node, 5hops, 1versions (10 first, 11 discovered)
leader L6 of team T3 discovered at 32794.000000 that M75 is in danger (after 10826ms proces-to-process, 8889ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L6 of team T3 discovered at 36817.000000 that M74 is in danger (after 13170ms proces-to-process, 11441ms node-to-node, 9hops, 1versions (12 first, 13 discovered)
leader L6 of team T3 discovered at 42687.000000 that M76 is in danger (after 17407ms proces-to-process, 13657ms node-to-node, 9hops, 4versions (13 first, 17 discovered)
leader L7 of team T3 discovered at 26736.000000 that M55 is in danger (after 10481ms proces-to-process, 9922ms node-to-node, 3hops, 3versions (7 first, 10 discovered)
leader L7 of team T3 discovered at 35108.000000 that M60 is in danger (after 9672ms proces-to-process, 9395ms node-to-node, 1hops, 2versions (12 first, 14 discovered)
leader L7 of team T3 discovered at 31240.000000 that M57 is in danger (after 5358ms proces-to-process, 4901ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L7 of team T3 discovered at 29483.000000 that M63 is in danger (after 4980ms proces-to-process, 3143ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L7 of team T3 discovered at 29483.000000 that M64 is in danger (after 2473ms proces-to-process, 1829ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L7 of team T3 discovered at 30351.000000 that M65 is in danger (after 5043ms proces-to-process, 4390ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L7 of team T3 discovered at 34351.000000 that M66 is in danger (after 6133ms proces-to-process, 4374ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L7 of team T3 discovered at 37728.000000 that M61 is in danger (after 7726ms proces-to-process, 6037ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L7 of team T3 discovered at 23612.000000 that M62 is in danger (after 5531ms proces-to-process, 3163ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L7 of team T3 discovered at 28098.000000 that M69 is in danger (after 7605ms proces-to-process, 4816ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L7 of team T3 discovered at 22221.000000 that M67 is in danger (after 2619ms proces-to-process, 2268ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L7 of team T3 discovered at 36888.000000 that M59 is in danger (after 9838ms proces-to-process, 7529ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L7 of team T3 discovered at 31240.000000 that M58 is in danger (after 2279ms proces-to-process, 1325ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L7 of team T3 discovered at 34351.000000 that M71 is in danger (after 7278ms proces-to-process, 5225ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
