Config: 
--------------------------------------------
leader L16 of team T8 discovered at 30203.000000 that M152 is in danger (after 1715ms proces-to-process, 990ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 24016.000000 that M150 is in danger (after 2827ms proces-to-process, 2583ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 34900.000000 that M160 is in danger (after 19252ms proces-to-process, 16247ms node-to-node, 4hops, 2versions (7 first, 9 discovered)
leader L16 of team T8 discovered at 31784.000000 that M161 is in danger (after 12064ms proces-to-process, 9748ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 45322.000000 that M162 is in danger (after 23279ms proces-to-process, 22852ms node-to-node, 10hops, 7versions (10 first, 17 discovered)
leader L16 of team T8 discovered at 38791.000000 that M163 is in danger (after 9639ms proces-to-process, 8700ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L16 of team T8 discovered at 24790.000000 that M153 is in danger (after 4385ms proces-to-process, 3881ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L16 of team T8 discovered at 20900.000000 that M166 is in danger (after 2934ms proces-to-process, 1009ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 48669.000000 that M165 is in danger (after 18247ms proces-to-process, 15596ms node-to-node, 5hops, 4versions (14 first, 18 discovered)
leader L16 of team T8 discovered at 34900.000000 that M151 is in danger (after 9087ms proces-to-process, 8654ms node-to-node, 1hops, 2versions (11 first, 13 discovered)
leader L16 of team T8 discovered at 29377.000000 that M147 is in danger (after 7382ms proces-to-process, 4518ms node-to-node, 2hops, 2versions (11 first, 13 discovered)
leader L16 of team T8 discovered at 40795.000000 that M144 is in danger (after 12221ms proces-to-process, 9910ms node-to-node, 4hops, 5versions (14 first, 19 discovered)
leader L16 of team T8 discovered at 31784.000000 that M145 is in danger (after 4661ms proces-to-process, 2108ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L16 of team T8 discovered at 31784.000000 that M155 is in danger (after 10549ms proces-to-process, 9036ms node-to-node, 5hops, 1versions (10 first, 11 discovered)
leader L16 of team T8 discovered at 32313.000000 that M154 is in danger (after 9424ms proces-to-process, 7499ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 37801.000000 that M156 is in danger (after 14194ms proces-to-process, 13238ms node-to-node, 4hops, 3versions (11 first, 14 discovered)
leader L16 of team T8 discovered at 28079.000000 that M159 is in danger (after 11350ms proces-to-process, 8388ms node-to-node, 10hops, 1versions (8 first, 9 discovered)
leader L16 of team T8 discovered at 32745.000000 that M158 is in danger (after 14125ms proces-to-process, 13007ms node-to-node, 8hops, 2versions (9 first, 11 discovered)
leader L16 of team T8 discovered at 27369.000000 that M148 is in danger (after 3027ms proces-to-process, 2840ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 24790.000000 that M149 is in danger (after 1759ms proces-to-process, 1012ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 42216.000000 that M152 is in danger (after 13728ms proces-to-process, 12554ms node-to-node, 6hops, 3versions (13 first, 16 discovered)
leader L17 of team T8 discovered at 34604.000000 that M150 is in danger (after 13415ms proces-to-process, 12902ms node-to-node, 5hops, 4versions (10 first, 14 discovered)
leader L17 of team T8 discovered at 35910.000000 that M160 is in danger (after 20262ms proces-to-process, 17685ms node-to-node, 7hops, 2versions (7 first, 9 discovered)
leader L17 of team T8 never discovered that M161 is in danger from 19720.
leader L17 of team T8 never discovered that M162 is in danger from 22043.
leader L17 of team T8 discovered at 43224.000000 that M163 is in danger (after 14072ms proces-to-process, 12904ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L17 of team T8 discovered at 20637.000000 that M153 is in danger (after 232ms proces-to-process, 51ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L17 of team T8 discovered at 25602.000000 that M166 is in danger (after 7636ms proces-to-process, 5690ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L17 of team T8 discovered at 53670.000000 that M165 is in danger (after 23248ms proces-to-process, 21229ms node-to-node, 5hops, 5versions (14 first, 19 discovered)
leader L17 of team T8 never discovered that M151 is in danger from 25813.
leader L17 of team T8 never discovered that M147 is in danger from 21995.
leader L17 of team T8 never discovered that M144 is in danger from 28574.
leader L17 of team T8 discovered at 34604.000000 that M145 is in danger (after 7481ms proces-to-process, 5316ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L17 of team T8 discovered at 37467.000000 that M155 is in danger (after 16232ms proces-to-process, 15697ms node-to-node, 6hops, 2versions (10 first, 12 discovered)
leader L17 of team T8 discovered at 57134.000000 that M154 is in danger (after 34245ms proces-to-process, 32091ms node-to-node, 8hops, 11versions (11 first, 22 discovered)
leader L17 of team T8 discovered at 43224.000000 that M156 is in danger (after 19617ms proces-to-process, 18648ms node-to-node, 7hops, 3versions (11 first, 14 discovered)
leader L17 of team T8 discovered at 30518.000000 that M159 is in danger (after 13789ms proces-to-process, 11015ms node-to-node, 6hops, 1versions (8 first, 9 discovered)
leader L17 of team T8 discovered at 45033.000000 that M158 is in danger (after 26413ms proces-to-process, 25470ms node-to-node, 8hops, 7versions (9 first, 16 discovered)
leader L17 of team T8 discovered at 25952.000000 that M148 is in danger (after 1610ms proces-to-process, 1228ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 35708.000000 that M149 is in danger (after 12677ms proces-to-process, 11958ms node-to-node, 1hops, 3versions (11 first, 14 discovered)
leader L18 of team T9 never discovered that M168 is in danger from 27762.
leader L18 of team T9 discovered at 35224.000000 that M169 is in danger (after 9538ms proces-to-process, 9263ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L18 of team T9 discovered at 29108.000000 that M179 is in danger (after 6156ms proces-to-process, 4421ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
