Config: 
--------------------------------------------
leader L4 of team T2 discovered at 29734.000000 that M52 is in danger (after 6021ms proces-to-process, 4783ms node-to-node, 8hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 24538.000000 that M48 is in danger (after 4745ms proces-to-process, 3441ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L4 of team T2 discovered at 22810.000000 that M49 is in danger (after 4211ms proces-to-process, 1222ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L4 of team T2 discovered at 29734.000000 that M51 is in danger (after 9065ms proces-to-process, 6548ms node-to-node, 9hops, 2versions (10 first, 12 discovered)
leader L4 of team T2 discovered at 19629.000000 that M50 is in danger (after 2628ms proces-to-process, 1211ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 28754.000000 that M39 is in danger (after 5161ms proces-to-process, 3122ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 29734.000000 that M38 is in danger (after 3978ms proces-to-process, 3627ms node-to-node, 9hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 29734.000000 that M37 is in danger (after 6802ms proces-to-process, 5143ms node-to-node, 5hops, 2versions (11 first, 13 discovered)
leader L4 of team T2 discovered at 19629.000000 that M36 is in danger (after 3984ms proces-to-process, 1274ms node-to-node, 3hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 32727.000000 that M40 is in danger (after 9462ms proces-to-process, 7028ms node-to-node, 5hops, 3versions (12 first, 15 discovered)
leader L4 of team T2 discovered at 31665.000000 that M41 is in danger (after 4438ms proces-to-process, 3139ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 31665.000000 that M46 is in danger (after 6162ms proces-to-process, 5937ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 29734.000000 that M47 is in danger (after 12311ms proces-to-process, 10002ms node-to-node, 6hops, 2versions (8 first, 10 discovered)
leader L4 of team T2 discovered at 29734.000000 that M44 is in danger (after 5319ms proces-to-process, 3247ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 28754.000000 that M45 is in danger (after 6366ms proces-to-process, 5981ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 34474.000000 that M42 is in danger (after 4623ms proces-to-process, 3550ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L4 of team T2 discovered at 27632.000000 that M57 is in danger (after 1750ms proces-to-process, 1343ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 20077.000000 that M53 is in danger (after 4403ms proces-to-process, 3034ms node-to-node, 5hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 24538.000000 that M54 is in danger (after 6025ms proces-to-process, 4857ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 26687.000000 that M43 is in danger (after 5552ms proces-to-process, 2136ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 29081.000000 that M52 is in danger (after 5368ms proces-to-process, 4388ms node-to-node, 7hops, 1versions (11 first, 12 discovered)
leader L5 of team T2 discovered at 23942.000000 that M48 is in danger (after 4149ms proces-to-process, 2996ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L5 of team T2 discovered at 22866.000000 that M49 is in danger (after 4267ms proces-to-process, 1222ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L5 of team T2 discovered at 29081.000000 that M51 is in danger (after 8412ms proces-to-process, 6089ms node-to-node, 9hops, 1versions (10 first, 11 discovered)
