Config: 
--------------------------------------------
leader L16 of team T8 discovered at 40795.000000 that M152 is in danger (after 12307ms proces-to-process, 11280ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 47046.000000 that M150 is in danger (after 25857ms proces-to-process, 25523ms node-to-node, 7hops, 4versions (10 first, 14 discovered)
leader L16 of team T8 discovered at 25269.000000 that M160 is in danger (after 9621ms proces-to-process, 7104ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L16 of team T8 discovered at 21730.000000 that M161 is in danger (after 2010ms proces-to-process, 377ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 48669.000000 that M162 is in danger (after 26626ms proces-to-process, 26157ms node-to-node, 7hops, 4versions (10 first, 14 discovered)
leader L16 of team T8 discovered at 54101.000000 that M163 is in danger (after 24949ms proces-to-process, 23924ms node-to-node, 3hops, 6versions (14 first, 20 discovered)
leader L16 of team T8 discovered at 20199.000000 that M164 is in danger (after 3260ms proces-to-process, 1871ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 34317.000000 that M153 is in danger (after 13912ms proces-to-process, 13711ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 20199.000000 that M166 is in danger (after 2233ms proces-to-process, 258ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 47046.000000 that M151 is in danger (after 21173ms proces-to-process, 20755ms node-to-node, 8hops, 2versions (11 first, 13 discovered)
leader L16 of team T8 discovered at 50763.000000 that M147 is in danger (after 28768ms proces-to-process, 25923ms node-to-node, 10hops, 4versions (11 first, 15 discovered)
leader L16 of team T8 never discovered that M144 is in danger from 28574.
leader L16 of team T8 discovered at 53769.000000 that M145 is in danger (after 26646ms proces-to-process, 24266ms node-to-node, 9hops, 5versions (13 first, 18 discovered)
leader L16 of team T8 discovered at 42065.000000 that M155 is in danger (after 20830ms proces-to-process, 20020ms node-to-node, 3hops, 4versions (10 first, 14 discovered)
leader L16 of team T8 discovered at 37801.000000 that M154 is in danger (after 14912ms proces-to-process, 12452ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 43246.000000 that M156 is in danger (after 19639ms proces-to-process, 18384ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 29690.000000 that M159 is in danger (after 12961ms proces-to-process, 10337ms node-to-node, 2hops, 2versions (8 first, 10 discovered)
leader L16 of team T8 discovered at 50763.000000 that M158 is in danger (after 32143ms proces-to-process, 31080ms node-to-node, 4hops, 7versions (9 first, 16 discovered)
leader L16 of team T8 discovered at 53144.000000 that M148 is in danger (after 28802ms proces-to-process, 28544ms node-to-node, 7hops, 6versions (11 first, 17 discovered)
leader L16 of team T8 discovered at 42254.000000 that M149 is in danger (after 19223ms proces-to-process, 18820ms node-to-node, 3hops, 2versions (11 first, 13 discovered)
leader L17 of team T8 discovered at 43224.000000 that M152 is in danger (after 14736ms proces-to-process, 13740ms node-to-node, 8hops, 0versions (13 first, 13 discovered)
leader L17 of team T8 discovered at 44125.000000 that M150 is in danger (after 22936ms proces-to-process, 22473ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 45033.000000 that M160 is in danger (after 29385ms proces-to-process, 26616ms node-to-node, 6hops, 7versions (7 first, 14 discovered)
leader L17 of team T8 discovered at 49241.000000 that M161 is in danger (after 29521ms proces-to-process, 27717ms node-to-node, 6hops, 3versions (10 first, 13 discovered)
leader L17 of team T8 discovered at 50428.000000 that M162 is in danger (after 28385ms proces-to-process, 27781ms node-to-node, 7hops, 7versions (10 first, 17 discovered)
