Config: 
--------------------------------------------
leader L4 of team T2 discovered at 20077.000000 that M54 is in danger (after 1564ms proces-to-process, 470ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 26687.000000 that M48 is in danger (after 6894ms proces-to-process, 5442ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L4 of team T2 discovered at 22673.000000 that M49 is in danger (after 4074ms proces-to-process, 683ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L4 of team T2 discovered at 27632.000000 that M51 is in danger (after 6963ms proces-to-process, 4408ms node-to-node, 6hops, 0versions (10 first, 10 discovered)
leader L4 of team T2 discovered at 21132.000000 that M50 is in danger (after 4131ms proces-to-process, 2518ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 33581.000000 that M39 is in danger (after 9988ms proces-to-process, 7831ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 25449.000000 that M52 is in danger (after 1736ms proces-to-process, 706ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 26687.000000 that M37 is in danger (after 3755ms proces-to-process, 1808ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 36683.000000 that M43 is in danger (after 15548ms proces-to-process, 12338ms node-to-node, 6hops, 2versions (11 first, 13 discovered)
leader L4 of team T2 discovered at 17532.000000 that M53 is in danger (after 1858ms proces-to-process, 739ms node-to-node, 2hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 38573.000000 that M41 is in danger (after 11346ms proces-to-process, 10231ms node-to-node, 4hops, 3versions (12 first, 15 discovered)
leader L4 of team T2 discovered at 35712.000000 that M46 is in danger (after 10209ms proces-to-process, 9906ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 22673.000000 that M47 is in danger (after 5250ms proces-to-process, 3134ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 40123.000000 that M44 is in danger (after 15708ms proces-to-process, 14107ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 26013.000000 that M45 is in danger (after 3625ms proces-to-process, 2813ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 48640.000000 that M42 is in danger (after 18789ms proces-to-process, 17699ms node-to-node, 6hops, 5versions (14 first, 19 discovered)
leader L4 of team T2 discovered at 27632.000000 that M57 is in danger (after 1750ms proces-to-process, 1405ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 24538.000000 that M56 is in danger (after 5416ms proces-to-process, 3854ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L5 of team T2 discovered at 22678.000000 that M54 is in danger (after 4165ms proces-to-process, 2654ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 23149.000000 that M48 is in danger (after 3356ms proces-to-process, 1994ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L5 of team T2 discovered at 25174.000000 that M49 is in danger (after 6575ms proces-to-process, 3449ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L5 of team T2 discovered at 26267.000000 that M51 is in danger (after 5598ms proces-to-process, 3036ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L5 of team T2 discovered at 19207.000000 that M50 is in danger (after 2206ms proces-to-process, 805ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 30663.000000 that M39 is in danger (after 7070ms proces-to-process, 4832ms node-to-node, 3hops, 1versions (12 first, 13 discovered)
