Config: 
--------------------------------------------
leader L16 of team T8 discovered at 29377.000000 that M152 is in danger (after 889ms proces-to-process, 229ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 42897.000000 that M150 is in danger (after 21708ms proces-to-process, 21370ms node-to-node, 2hops, 6versions (10 first, 16 discovered)
leader L16 of team T8 discovered at 31784.000000 that M160 is in danger (after 16136ms proces-to-process, 12999ms node-to-node, 6hops, 3versions (7 first, 10 discovered)
leader L16 of team T8 discovered at 30694.000000 that M161 is in danger (after 10974ms proces-to-process, 8896ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 35430.000000 that M162 is in danger (after 13387ms proces-to-process, 13116ms node-to-node, 2hops, 2versions (10 first, 12 discovered)
leader L16 of team T8 discovered at 44701.000000 that M163 is in danger (after 15095ms proces-to-process, 14096ms node-to-node, 12hops, 0versions (14 first, 14 discovered)
leader L16 of team T8 discovered at 42065.000000 that M164 is in danger (after 25126ms proces-to-process, 24099ms node-to-node, 9hops, 3versions (8 first, 11 discovered)
leader L16 of team T8 discovered at 28079.000000 that M153 is in danger (after 7674ms proces-to-process, 7276ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 31784.000000 that M151 is in danger (after 5911ms proces-to-process, 5897ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 42897.000000 that M147 is in danger (after 20902ms proces-to-process, 18040ms node-to-node, 9hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 never discovered that M144 is in danger from 28574.
leader L16 of team T8 discovered at 40795.000000 that M145 is in danger (after 13672ms proces-to-process, 11276ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 35430.000000 that M155 is in danger (after 14195ms proces-to-process, 13399ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 47046.000000 that M154 is in danger (after 24157ms proces-to-process, 22022ms node-to-node, 3hops, 3versions (11 first, 14 discovered)
leader L16 of team T8 discovered at 35430.000000 that M156 is in danger (after 11823ms proces-to-process, 10834ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
