Config: 
--------------------------------------------
leader L16 of team T8 discovered at 57247.000000 that M150 is in danger (after 36058ms proces-to-process, 35774ms node-to-node, 2hops, 11versions (10 first, 21 discovered)
leader L16 of team T8 discovered at 28599.000000 that M160 is in danger (after 12951ms proces-to-process, 10111ms node-to-node, 3hops, 3versions (7 first, 10 discovered)
leader L16 of team T8 discovered at 42065.000000 that M161 is in danger (after 22345ms proces-to-process, 20522ms node-to-node, 11hops, 2versions (10 first, 12 discovered)
leader L16 of team T8 discovered at 38753.000000 that M162 is in danger (after 16710ms proces-to-process, 16306ms node-to-node, 2hops, 4versions (10 first, 14 discovered)
leader L16 of team T8 discovered at 47046.000000 that M163 is in danger (after 17440ms proces-to-process, 16057ms node-to-node, 2hops, 2versions (14 first, 16 discovered)
leader L16 of team T8 discovered at 31784.000000 that M153 is in danger (after 11379ms proces-to-process, 11298ms node-to-node, 10hops, 2versions (9 first, 11 discovered)
leader L16 of team T8 discovered at 38753.000000 that M166 is in danger (after 20787ms proces-to-process, 18556ms node-to-node, 5hops, 6versions (8 first, 14 discovered)
leader L16 of team T8 discovered at 47730.000000 that M165 is in danger (after 17308ms proces-to-process, 15326ms node-to-node, 4hops, 5versions (14 first, 19 discovered)
leader L16 of team T8 discovered at 40026.000000 that M151 is in danger (after 14153ms proces-to-process, 14099ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 53769.000000 that M147 is in danger (after 31774ms proces-to-process, 28778ms node-to-node, 11hops, 5versions (11 first, 16 discovered)
leader L16 of team T8 discovered at 43770.000000 that M144 is in danger (after 15196ms proces-to-process, 13054ms node-to-node, 8hops, 2versions (14 first, 16 discovered)
leader L16 of team T8 discovered at 40795.000000 that M152 is in danger (after 12307ms proces-to-process, 11682ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 38753.000000 that M155 is in danger (after 17518ms proces-to-process, 16941ms node-to-node, 6hops, 4versions (10 first, 14 discovered)
leader L16 of team T8 discovered at 26200.000000 that M154 is in danger (after 3311ms proces-to-process, 1081ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 52030.000000 that M156 is in danger (after 28423ms proces-to-process, 27201ms node-to-node, 10hops, 9versions (11 first, 20 discovered)
leader L16 of team T8 discovered at 25638.000000 that M159 is in danger (after 8909ms proces-to-process, 6291ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 33638.000000 that M158 is in danger (after 15018ms proces-to-process, 13557ms node-to-node, 1hops, 2versions (9 first, 11 discovered)
leader L16 of team T8 discovered at 49737.000000 that M149 is in danger (after 26706ms proces-to-process, 25994ms node-to-node, 1hops, 9versions (11 first, 20 discovered)
leader L17 of team T8 discovered at 34167.000000 that M150 is in danger (after 12978ms proces-to-process, 12649ms node-to-node, 7hops, 1versions (10 first, 11 discovered)
leader L17 of team T8 discovered at 23067.000000 that M160 is in danger (after 7419ms proces-to-process, 4498ms node-to-node, 7hops, 1versions (7 first, 8 discovered)
leader L17 of team T8 discovered at 31150.000000 that M161 is in danger (after 11430ms proces-to-process, 9449ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 57918.000000 that M162 is in danger (after 35875ms proces-to-process, 35727ms node-to-node, 3hops, 15versions (10 first, 25 discovered)
leader L17 of team T8 discovered at 32568.000000 that M163 is in danger (after 2962ms proces-to-process, 2010ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L17 of team T8 discovered at 28137.000000 that M153 is in danger (after 7732ms proces-to-process, 7032ms node-to-node, 3hops, 3versions (9 first, 12 discovered)
leader L17 of team T8 discovered at 29094.000000 that M166 is in danger (after 11128ms proces-to-process, 8913ms node-to-node, 9hops, 3versions (8 first, 11 discovered)
leader L17 of team T8 discovered at 34167.000000 that M165 is in danger (after 3745ms proces-to-process, 1726ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L17 of team T8 discovered at 28137.000000 that M151 is in danger (after 2264ms proces-to-process, 2010ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 36738.000000 that M147 is in danger (after 14743ms proces-to-process, 11965ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 34167.000000 that M144 is in danger (after 5593ms proces-to-process, 3288ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L17 of team T8 discovered at 30518.000000 that M152 is in danger (after 2030ms proces-to-process, 1407ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L17 of team T8 discovered at 26673.000000 that M155 is in danger (after 5438ms proces-to-process, 4883ms node-to-node, 6hops, 1versions (10 first, 11 discovered)
leader L17 of team T8 discovered at 29094.000000 that M154 is in danger (after 6205ms proces-to-process, 3821ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 34604.000000 that M156 is in danger (after 10997ms proces-to-process, 9725ms node-to-node, 12hops, 2versions (11 first, 13 discovered)
leader L17 of team T8 discovered at 22461.000000 that M159 is in danger (after 5732ms proces-to-process, 3307ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L17 of team T8 discovered at 40618.000000 that M158 is in danger (after 21998ms proces-to-process, 21257ms node-to-node, 8hops, 4versions (9 first, 13 discovered)
leader L17 of team T8 discovered at 46037.000000 that M149 is in danger (after 23006ms proces-to-process, 22168ms node-to-node, 1hops, 8versions (11 first, 19 discovered)
leader L18 of team T9 discovered at 49584.000000 that M168 is in danger (after 21822ms proces-to-process, 20632ms node-to-node, 10hops, 1versions (14 first, 15 discovered)
leader L18 of team T9 discovered at 31970.000000 that M169 is in danger (after 6284ms proces-to-process, 6038ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L18 of team T9 discovered at 40015.000000 that M179 is in danger (after 17063ms proces-to-process, 15444ms node-to-node, 10hops, 5versions (11 first, 16 discovered)
leader L18 of team T9 discovered at 31520.000000 that M178 is in danger (after 7483ms proces-to-process, 6885ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L18 of team T9 discovered at 38535.000000 that M173 is in danger (after 12164ms proces-to-process, 10377ms node-to-node, 6hops, 3versions (12 first, 15 discovered)
leader L18 of team T9 discovered at 36340.000000 that M172 is in danger (after 17355ms proces-to-process, 16557ms node-to-node, 6hops, 4versions (8 first, 12 discovered)
leader L18 of team T9 discovered at 28095.000000 that M171 is in danger (after 11436ms proces-to-process, 9644ms node-to-node, 7hops, 1versions (8 first, 9 discovered)
leader L18 of team T9 discovered at 33455.000000 that M170 is in danger (after 5929ms proces-to-process, 3366ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L18 of team T9 discovered at 28095.000000 that M164 is in danger (after 11156ms proces-to-process, 9744ms node-to-node, 7hops, 1versions (8 first, 9 discovered)
leader L18 of team T9 discovered at 42950.000000 that M176 is in danger (after 13117ms proces-to-process, 11988ms node-to-node, 6hops, 2versions (14 first, 16 discovered)
leader L18 of team T9 discovered at 32374.000000 that M175 is in danger (after 5307ms proces-to-process, 1596ms node-to-node, 1hops, 1versions (14 first, 15 discovered)
leader L18 of team T9 never discovered that M167 is in danger from 25190.
leader L18 of team T9 discovered at 43805.000000 that M181 is in danger (after 18468ms proces-to-process, 16231ms node-to-node, 7hops, 4versions (13 first, 17 discovered)
leader L18 of team T9 discovered at 31970.000000 that M182 is in danger (after 3996ms proces-to-process, 3214ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L18 of team T9 discovered at 29933.000000 that M177 is in danger (after 8130ms proces-to-process, 6524ms node-to-node, 8hops, 0versions (10 first, 10 discovered)
leader L18 of team T9 discovered at 30078.000000 that M174 is in danger (after 1332ms proces-to-process, 642ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L19 of team T9 discovered at 41511.000000 that M168 is in danger (after 13749ms proces-to-process, 12826ms node-to-node, 8hops, 1versions (14 first, 15 discovered)
leader L19 of team T9 discovered at 30252.000000 that M169 is in danger (after 4566ms proces-to-process, 4229ms node-to-node, 1hops, 1versions (12 first, 13 discovered)
leader L19 of team T9 discovered at 37321.000000 that M179 is in danger (after 14369ms proces-to-process, 12432ms node-to-node, 5hops, 5versions (11 first, 16 discovered)
leader L19 of team T9 discovered at 32227.000000 that M178 is in danger (after 8190ms proces-to-process, 7485ms node-to-node, 8hops, 0versions (11 first, 11 discovered)
leader L19 of team T9 discovered at 35766.000000 that M173 is in danger (after 9395ms proces-to-process, 7365ms node-to-node, 1hops, 3versions (12 first, 15 discovered)
leader L19 of team T9 discovered at 35257.000000 that M172 is in danger (after 16272ms proces-to-process, 15407ms node-to-node, 2hops, 5versions (8 first, 13 discovered)
leader L19 of team T9 discovered at 24880.000000 that M171 is in danger (after 8221ms proces-to-process, 7234ms node-to-node, 3hops, 1versions (8 first, 9 discovered)
leader L19 of team T9 discovered at 34345.000000 that M170 is in danger (after 6819ms proces-to-process, 4571ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L19 of team T9 discovered at 28604.000000 that M164 is in danger (after 11665ms proces-to-process, 10691ms node-to-node, 2hops, 1versions (8 first, 9 discovered)
leader L19 of team T9 discovered at 41236.000000 that M176 is in danger (after 11403ms proces-to-process, 10162ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
