Config: 
--------------------------------------------
leader L16 of team T8 discovered at 40026.000000 that M160 is in danger (after 24378ms proces-to-process, 21319ms node-to-node, 5hops, 2versions (7 first, 9 discovered)
leader L16 of team T8 never discovered that M161 is in danger from 19720.
leader L16 of team T8 discovered at 30694.000000 that M163 is in danger (after 1418ms proces-to-process, 152ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L16 of team T8 discovered at 42065.000000 that M151 is in danger (after 16252ms proces-to-process, 15782ms node-to-node, 8hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 31784.000000 that M150 is in danger (after 10595ms proces-to-process, 9608ms node-to-node, 3hops, 2versions (10 first, 12 discovered)
leader L16 of team T8 discovered at 28079.000000 that M153 is in danger (after 7674ms proces-to-process, 7567ms node-to-node, 2hops, 2versions (9 first, 11 discovered)
leader L16 of team T8 never discovered that M152 is in danger from 28488.
leader L16 of team T8 discovered at 42065.000000 that M155 is in danger (after 20830ms proces-to-process, 20187ms node-to-node, 7hops, 3versions (10 first, 13 discovered)
leader L16 of team T8 discovered at 28079.000000 that M154 is in danger (after 5190ms proces-to-process, 3372ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 50117.000000 that M156 is in danger (after 26510ms proces-to-process, 25475ms node-to-node, 9hops, 5versions (11 first, 16 discovered)
leader L16 of team T8 discovered at 20199.000000 that M159 is in danger (after 3470ms proces-to-process, 27ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 23458.000000 that M158 is in danger (after 4838ms proces-to-process, 4094ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 42065.000000 that M148 is in danger (after 17723ms proces-to-process, 17563ms node-to-node, 9hops, 2versions (11 first, 13 discovered)
leader L16 of team T8 discovered at 28079.000000 that M149 is in danger (after 5048ms proces-to-process, 4217ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 32568.000000 that M160 is in danger (after 16920ms proces-to-process, 14332ms node-to-node, 8hops, 3versions (7 first, 10 discovered)
leader L17 of team T8 never discovered that M161 is in danger from 19720.
leader L17 of team T8 never discovered that M163 is in danger from 29276.
leader L17 of team T8 discovered at 35910.000000 that M151 is in danger (after 10097ms proces-to-process, 9841ms node-to-node, 9hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 36738.000000 that M150 is in danger (after 15549ms proces-to-process, 15094ms node-to-node, 5hops, 1versions (10 first, 11 discovered)
leader L17 of team T8 discovered at 46748.000000 that M153 is in danger (after 26343ms proces-to-process, 25881ms node-to-node, 6hops, 9versions (9 first, 18 discovered)
leader L17 of team T8 discovered at 44125.000000 that M152 is in danger (after 15637ms proces-to-process, 14590ms node-to-node, 7hops, 4versions (13 first, 17 discovered)
