Config: 
--------------------------------------------
leader L4 of team T2 discovered at 19629.000000 that M55 is in danger (after 3374ms proces-to-process, 2422ms node-to-node, 4hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 27042.000000 that M52 is in danger (after 3683ms proces-to-process, 1815ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 22673.000000 that M48 is in danger (after 2880ms proces-to-process, 1299ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L4 of team T2 discovered at 22673.000000 that M49 is in danger (after 4074ms proces-to-process, 1097ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L4 of team T2 discovered at 23975.000000 that M51 is in danger (after 3306ms proces-to-process, 1008ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L4 of team T2 discovered at 22673.000000 that M50 is in danger (after 5672ms proces-to-process, 4133ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L4 of team T2 discovered at 19629.000000 that M53 is in danger (after 3955ms proces-to-process, 2689ms node-to-node, 1hops, 1versions (7 first, 8 discovered)
leader L4 of team T2 discovered at 30863.000000 that M38 is in danger (after 5107ms proces-to-process, 4762ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 30535.000000 that M37 is in danger (after 7603ms proces-to-process, 5764ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 28514.000000 that M43 is in danger (after 7379ms proces-to-process, 3833ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 29734.000000 that M40 is in danger (after 6469ms proces-to-process, 3455ms node-to-node, 3hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 29057.000000 that M41 is in danger (after 1830ms proces-to-process, 695ms node-to-node, 1hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 29057.000000 that M46 is in danger (after 3554ms proces-to-process, 3359ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 20587.000000 that M47 is in danger (after 3164ms proces-to-process, 1008ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 29734.000000 that M44 is in danger (after 5319ms proces-to-process, 3255ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 30535.000000 that M45 is in danger (after 8147ms proces-to-process, 7244ms node-to-node, 3hops, 2versions (11 first, 13 discovered)
leader L4 of team T2 discovered at 34474.000000 that M42 is in danger (after 4623ms proces-to-process, 3350ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L4 of team T2 discovered at 21568.000000 that M54 is in danger (after 3055ms proces-to-process, 1761ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 20038.000000 that M55 is in danger (after 3783ms proces-to-process, 2859ms node-to-node, 5hops, 0versions (7 first, 7 discovered)
leader L5 of team T2 discovered at 25789.000000 that M52 is in danger (after 2430ms proces-to-process, 580ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 27136.000000 that M48 is in danger (after 7343ms proces-to-process, 6147ms node-to-node, 4hops, 2versions (9 first, 11 discovered)
leader L5 of team T2 discovered at 23942.000000 that M49 is in danger (after 5343ms proces-to-process, 2217ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L5 of team T2 discovered at 27136.000000 that M51 is in danger (after 6467ms proces-to-process, 3527ms node-to-node, 4hops, 2versions (10 first, 12 discovered)
leader L5 of team T2 discovered at 22678.000000 that M50 is in danger (after 5677ms proces-to-process, 3730ms node-to-node, 3hops, 1versions (8 first, 9 discovered)
leader L5 of team T2 discovered at 20627.000000 that M53 is in danger (after 4953ms proces-to-process, 3767ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L5 of team T2 discovered at 31057.000000 that M38 is in danger (after 5301ms proces-to-process, 4654ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L5 of team T2 discovered at 34577.000000 that M37 is in danger (after 11645ms proces-to-process, 9742ms node-to-node, 3hops, 2versions (11 first, 13 discovered)
leader L5 of team T2 discovered at 28202.000000 that M43 is in danger (after 7067ms proces-to-process, 4061ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 27315.000000 that M40 is in danger (after 4050ms proces-to-process, 1543ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 28733.000000 that M41 is in danger (after 1506ms proces-to-process, 197ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 30069.000000 that M46 is in danger (after 4566ms proces-to-process, 3836ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 20038.000000 that M47 is in danger (after 2615ms proces-to-process, 875ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 30663.000000 that M44 is in danger (after 6248ms proces-to-process, 4545ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 28210.000000 that M45 is in danger (after 5822ms proces-to-process, 5558ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L5 of team T2 discovered at 33604.000000 that M42 is in danger (after 3753ms proces-to-process, 2831ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L5 of team T2 discovered at 20627.000000 that M54 is in danger (after 2114ms proces-to-process, 956ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L6 of team T3 discovered at 36817.000000 that M60 is in danger (after 11381ms proces-to-process, 10627ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 40160.000000 that M61 is in danger (after 10158ms proces-to-process, 8607ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L6 of team T3 discovered at 32794.000000 that M57 is in danger (after 6912ms proces-to-process, 6760ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 29589.000000 that M56 is in danger (after 10467ms proces-to-process, 8831ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L6 of team T3 discovered at 32297.000000 that M64 is in danger (after 5287ms proces-to-process, 4830ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L6 of team T3 discovered at 29275.000000 that M65 is in danger (after 3967ms proces-to-process, 2789ms node-to-node, 9hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 34030.000000 that M66 is in danger (after 5812ms proces-to-process, 3531ms node-to-node, 8hops, 1versions (14 first, 15 discovered)
leader L6 of team T3 discovered at 20347.000000 that M67 is in danger (after 745ms proces-to-process, 27ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L6 of team T3 discovered at 26297.000000 that M62 is in danger (after 8216ms proces-to-process, 5980ms node-to-node, 7hops, 3versions (8 first, 11 discovered)
leader L6 of team T3 discovered at 30839.000000 that M69 is in danger (after 10346ms proces-to-process, 7546ms node-to-node, 2hops, 1versions (10 first, 11 discovered)
leader L6 of team T3 discovered at 26297.000000 that M74 is in danger (after 2650ms proces-to-process, 813ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 39318.000000 that M59 is in danger (after 12268ms proces-to-process, 9724ms node-to-node, 2hops, 2versions (14 first, 16 discovered)
leader L6 of team T3 discovered at 40160.000000 that M58 is in danger (after 11199ms proces-to-process, 10724ms node-to-node, 14hops, 2versions (13 first, 15 discovered)
leader L6 of team T3 discovered at 34830.000000 that M71 is in danger (after 7757ms proces-to-process, 5979ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L6 of team T3 discovered at 32297.000000 that M72 is in danger (after 2713ms proces-to-process, 360ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L6 of team T3 discovered at 23399.000000 that M68 is in danger (after 675ms proces-to-process, 446ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L6 of team T3 discovered at 26297.000000 that M73 is in danger (after 4393ms proces-to-process, 2841ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
leader L6 of team T3 discovered at 31234.000000 that M63 is in danger (after 6731ms proces-to-process, 5366ms node-to-node, 1hops, 1versions (12 first, 13 discovered)
leader L6 of team T3 discovered at 48568.000000 that M70 is in danger (after 26257ms proces-to-process, 25071ms node-to-node, 10hops, 0versions (10 first, 10 discovered)
leader L6 of team T3 discovered at 28525.000000 that M75 is in danger (after 6557ms proces-to-process, 4954ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L6 of team T3 discovered at 31234.000000 that M76 is in danger (after 5954ms proces-to-process, 2126ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L7 of team T3 discovered at 31240.000000 that M60 is in danger (after 5804ms proces-to-process, 5653ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L7 of team T3 discovered at 36185.000000 that M61 is in danger (after 6183ms proces-to-process, 4611ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L7 of team T3 discovered at 32446.000000 that M57 is in danger (after 6564ms proces-to-process, 6248ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L7 of team T3 discovered at 25198.000000 that M56 is in danger (after 6076ms proces-to-process, 3596ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L7 of team T3 discovered at 35481.000000 that M64 is in danger (after 8471ms proces-to-process, 7949ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L7 of team T3 discovered at 34351.000000 that M65 is in danger (after 9043ms proces-to-process, 8032ms node-to-node, 4hops, 2versions (12 first, 14 discovered)
leader L7 of team T3 discovered at 36185.000000 that M66 is in danger (after 7967ms proces-to-process, 6374ms node-to-node, 7hops, 0versions (14 first, 14 discovered)
leader L7 of team T3 discovered at 26736.000000 that M67 is in danger (after 7134ms proces-to-process, 6479ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L7 of team T3 discovered at 24186.000000 that M62 is in danger (after 6105ms proces-to-process, 3755ms node-to-node, 3hops, 2versions (8 first, 10 discovered)
leader L7 of team T3 discovered at 30055.000000 that M69 is in danger (after 9562ms proces-to-process, 6663ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L7 of team T3 discovered at 32446.000000 that M74 is in danger (after 8799ms proces-to-process, 6861ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L7 of team T3 discovered at 31619.000000 that M59 is in danger (after 4569ms proces-to-process, 2475ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L7 of team T3 discovered at 35108.000000 that M58 is in danger (after 6147ms proces-to-process, 5436ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L7 of team T3 discovered at 39734.000000 that M71 is in danger (after 12661ms proces-to-process, 10656ms node-to-node, 8hops, 2versions (13 first, 15 discovered)
leader L7 of team T3 discovered at 38517.000000 that M72 is in danger (after 8933ms proces-to-process, 6407ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L7 of team T3 discovered at 31619.000000 that M68 is in danger (after 8895ms proces-to-process, 8483ms node-to-node, 9hops, 2versions (10 first, 12 discovered)
leader L7 of team T3 discovered at 28098.000000 that M73 is in danger (after 6194ms proces-to-process, 4218ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L7 of team T3 discovered at 33673.000000 that M63 is in danger (after 9170ms proces-to-process, 7795ms node-to-node, 2hops, 1versions (12 first, 13 discovered)
leader L7 of team T3 discovered at 39734.000000 that M70 is in danger (after 17423ms proces-to-process, 15929ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L7 of team T3 discovered at 31240.000000 that M75 is in danger (after 9272ms proces-to-process, 7374ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L7 of team T3 discovered at 32446.000000 that M76 is in danger (after 7166ms proces-to-process, 2996ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 29195.000000 that M11 is in danger (after 5782ms proces-to-process, 3779ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 34944.000000 that M21 is in danger (after 17297ms proces-to-process, 16299ms node-to-node, 3hops, 7versions (8 first, 15 discovered)
leader L0 of team T0 discovered at 35278.000000 that M17 is in danger (after 6866ms proces-to-process, 4842ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L0 of team T0 discovered at 25671.000000 that M10 is in danger (after 5953ms proces-to-process, 4694ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 25361.000000 that M16 is in danger (after 3929ms proces-to-process, 165ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 24646.000000 that M13 is in danger (after 6404ms proces-to-process, 3545ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
