Config: 
--------------------------------------------
leader L12 of team T6 discovered at 44626.000000 that M124 is in danger (after 18622ms proces-to-process, 17265ms node-to-node, 7hops, 4versions (13 first, 17 discovered)
leader L12 of team T6 discovered at 43107.000000 that M125 is in danger (after 19473ms proces-to-process, 17295ms node-to-node, 5hops, 5versions (11 first, 16 discovered)
leader L12 of team T6 discovered at 38417.000000 that M126 is in danger (after 12008ms proces-to-process, 9900ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 never discovered that M116 is in danger from 17928.
leader L12 of team T6 discovered at 39500.000000 that M119 is in danger (after 13454ms proces-to-process, 10100ms node-to-node, 3hops, 3versions (13 first, 16 discovered)
leader L12 of team T6 discovered at 34552.000000 that M118 is in danger (after 7262ms proces-to-process, 4434ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 44626.000000 that M122 is in danger (after 28579ms proces-to-process, 26938ms node-to-node, 7hops, 9versions (7 first, 16 discovered)
leader L12 of team T6 discovered at 39500.000000 that M123 is in danger (after 16246ms proces-to-process, 13946ms node-to-node, 7hops, 2versions (11 first, 13 discovered)
leader L12 of team T6 discovered at 38417.000000 that M115 is in danger (after 8385ms proces-to-process, 7377ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 35271.000000 that M114 is in danger (after 17927ms proces-to-process, 16753ms node-to-node, 4hops, 4versions (8 first, 12 discovered)
leader L12 of team T6 discovered at 21133.000000 that M108 is in danger (after 2539ms proces-to-process, 128ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L12 of team T6 discovered at 26476.000000 that M109 is in danger (after 10137ms proces-to-process, 8430ms node-to-node, 1hops, 3versions (7 first, 10 discovered)
leader L12 of team T6 discovered at 35271.000000 that M128 is in danger (after 14241ms proces-to-process, 13132ms node-to-node, 6hops, 1versions (10 first, 11 discovered)
leader L12 of team T6 discovered at 38417.000000 that M110 is in danger (after 7841ms proces-to-process, 7073ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 38417.000000 that M113 is in danger (after 9262ms proces-to-process, 6905ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L12 of team T6 discovered at 25148.000000 that M112 is in danger (after 2805ms proces-to-process, 95ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L12 of team T6 discovered at 32397.000000 that M127 is in danger (after 13229ms proces-to-process, 11912ms node-to-node, 9hops, 0versions (9 first, 9 discovered)
leader L12 of team T6 discovered at 41368.000000 that M120 is in danger (after 17257ms proces-to-process, 14533ms node-to-node, 4hops, 2versions (12 first, 14 discovered)
leader L12 of team T6 discovered at 31925.000000 that M129 is in danger (after 12459ms proces-to-process, 11701ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 34077.000000 that M117 is in danger (after 9528ms proces-to-process, 6178ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 38741.000000 that M121 is in danger (after 10096ms proces-to-process, 9838ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 35740.000000 that M124 is in danger (after 9736ms proces-to-process, 8101ms node-to-node, 2hops, 2versions (13 first, 15 discovered)
leader L13 of team T6 discovered at 31893.000000 that M125 is in danger (after 8259ms proces-to-process, 5828ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 discovered at 30655.000000 that M126 is in danger (after 4246ms proces-to-process, 2612ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 never discovered that M116 is in danger from 17928.
leader L13 of team T6 discovered at 44570.000000 that M119 is in danger (after 18524ms proces-to-process, 14883ms node-to-node, 4hops, 5versions (13 first, 18 discovered)
leader L13 of team T6 discovered at 39998.000000 that M118 is in danger (after 12708ms proces-to-process, 9833ms node-to-node, 10hops, 0versions (14 first, 14 discovered)
leader L13 of team T6 discovered at 18839.000000 that M122 is in danger (after 2792ms proces-to-process, 1406ms node-to-node, 3hops, 0versions (7 first, 7 discovered)
leader L13 of team T6 discovered at 29273.000000 that M123 is in danger (after 6019ms proces-to-process, 4106ms node-to-node, 2hops, 2versions (11 first, 13 discovered)
leader L13 of team T6 discovered at 33440.000000 that M115 is in danger (after 3408ms proces-to-process, 2867ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 27770.000000 that M114 is in danger (after 10426ms proces-to-process, 8947ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L13 of team T6 discovered at 30061.000000 that M108 is in danger (after 11467ms proces-to-process, 8992ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L13 of team T6 discovered at 33043.000000 that M109 is in danger (after 16704ms proces-to-process, 14707ms node-to-node, 5hops, 5versions (7 first, 12 discovered)
leader L13 of team T6 discovered at 23910.000000 that M128 is in danger (after 2880ms proces-to-process, 2012ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L13 of team T6 discovered at 31893.000000 that M110 is in danger (after 1317ms proces-to-process, 573ms node-to-node, 1hops, 1versions (14 first, 15 discovered)
leader L13 of team T6 discovered at 38895.000000 that M113 is in danger (after 9740ms proces-to-process, 8000ms node-to-node, 7hops, 0versions (14 first, 14 discovered)
leader L13 of team T6 discovered at 34738.000000 that M112 is in danger (after 12395ms proces-to-process, 9852ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L13 of team T6 discovered at 24285.000000 that M127 is in danger (after 5117ms proces-to-process, 3916ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L13 of team T6 discovered at 39508.000000 that M120 is in danger (after 15397ms proces-to-process, 12519ms node-to-node, 6hops, 3versions (12 first, 15 discovered)
leader L13 of team T6 discovered at 22669.000000 that M129 is in danger (after 3203ms proces-to-process, 2358ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 30655.000000 that M117 is in danger (after 6106ms proces-to-process, 2885ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 42776.000000 that M121 is in danger (after 14131ms proces-to-process, 13213ms node-to-node, 4hops, 5versions (13 first, 18 discovered)
leader L14 of team T7 discovered at 34145.000000 that M137 is in danger (after 6266ms proces-to-process, 4832ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
