Config: 
--------------------------------------------
leader L4 of team T2 discovered at 18235.000000 that M55 is in danger (after 1980ms proces-to-process, 910ms node-to-node, 2hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 28514.000000 that M52 is in danger (after 5155ms proces-to-process, 2809ms node-to-node, 7hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 23975.000000 that M48 is in danger (after 4182ms proces-to-process, 3025ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L4 of team T2 discovered at 24538.000000 that M49 is in danger (after 5939ms proces-to-process, 2810ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L4 of team T2 discovered at 26013.000000 that M51 is in danger (after 5344ms proces-to-process, 3184ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L4 of team T2 discovered at 19629.000000 that M50 is in danger (after 2628ms proces-to-process, 806ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 19629.000000 that M53 is in danger (after 3955ms proces-to-process, 2613ms node-to-node, 5hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 36683.000000 that M38 is in danger (after 10927ms proces-to-process, 9899ms node-to-node, 6hops, 4versions (11 first, 15 discovered)
leader L4 of team T2 discovered at 31994.000000 that M37 is in danger (after 9062ms proces-to-process, 7472ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 31665.000000 that M43 is in danger (after 10530ms proces-to-process, 7342ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 42054.000000 that M40 is in danger (after 18789ms proces-to-process, 16056ms node-to-node, 4hops, 4versions (12 first, 16 discovered)
leader L4 of team T2 discovered at 34474.000000 that M41 is in danger (after 7247ms proces-to-process, 5313ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 27632.000000 that M46 is in danger (after 2129ms proces-to-process, 1574ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 21132.000000 that M47 is in danger (after 3709ms proces-to-process, 1861ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 26687.000000 that M44 is in danger (after 2272ms proces-to-process, 202ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 23657.000000 that M45 is in danger (after 1269ms proces-to-process, 203ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 32520.000000 that M42 is in danger (after 2669ms proces-to-process, 1321ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L4 of team T2 discovered at 23657.000000 that M54 is in danger (after 5144ms proces-to-process, 3587ms node-to-node, 3hops, 2versions (8 first, 10 discovered)
leader L4 of team T2 discovered at 33581.000000 that M58 is in danger (after 4620ms proces-to-process, 4438ms node-to-node, 7hops, 1versions (13 first, 14 discovered)
