Config: 
--------------------------------------------
leader L12 of team T6 discovered at 34077.000000 that M124 is in danger (after 8073ms proces-to-process, 6277ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 29947.000000 that M125 is in danger (after 6313ms proces-to-process, 3884ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L12 of team T6 discovered at 24610.000000 that M116 is in danger (after 6682ms proces-to-process, 5758ms node-to-node, 1hops, 1versions (8 first, 9 discovered)
leader L12 of team T6 discovered at 35666.000000 that M119 is in danger (after 9620ms proces-to-process, 6377ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 37209.000000 that M118 is in danger (after 9919ms proces-to-process, 7307ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L12 of team T6 discovered at 26587.000000 that M122 is in danger (after 10540ms proces-to-process, 9172ms node-to-node, 5hops, 2versions (7 first, 9 discovered)
leader L12 of team T6 discovered at 36306.000000 that M123 is in danger (after 13052ms proces-to-process, 11055ms node-to-node, 4hops, 3versions (11 first, 14 discovered)
leader L12 of team T6 discovered at 43107.000000 that M115 is in danger (after 13075ms proces-to-process, 12128ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 27496.000000 that M114 is in danger (after 10152ms proces-to-process, 8680ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 32739.000000 that M108 is in danger (after 14145ms proces-to-process, 11711ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L12 of team T6 discovered at 30757.000000 that M109 is in danger (after 14418ms proces-to-process, 12870ms node-to-node, 6hops, 0versions (7 first, 7 discovered)
leader L12 of team T6 discovered at 29947.000000 that M111 is in danger (after 10383ms proces-to-process, 7778ms node-to-node, 2hops, 1versions (10 first, 11 discovered)
leader L12 of team T6 discovered at 32739.000000 that M129 is in danger (after 13273ms proces-to-process, 12462ms node-to-node, 2hops, 5versions (8 first, 13 discovered)
leader L12 of team T6 discovered at 40445.000000 that M113 is in danger (after 11290ms proces-to-process, 9147ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L12 of team T6 discovered at 34552.000000 that M120 is in danger (after 10441ms proces-to-process, 7394ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L12 of team T6 discovered at 38417.000000 that M117 is in danger (after 13868ms proces-to-process, 10438ms node-to-node, 6hops, 2versions (13 first, 15 discovered)
leader L12 of team T6 discovered at 35666.000000 that M121 is in danger (after 7021ms proces-to-process, 6699ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 39508.000000 that M124 is in danger (after 13504ms proces-to-process, 12249ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L13 of team T6 discovered at 35740.000000 that M125 is in danger (after 12106ms proces-to-process, 9983ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L13 of team T6 discovered at 22669.000000 that M116 is in danger (after 4741ms proces-to-process, 3393ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 35740.000000 that M119 is in danger (after 9694ms proces-to-process, 6377ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 41090.000000 that M118 is in danger (after 13800ms proces-to-process, 10647ms node-to-node, 3hops, 3versions (14 first, 17 discovered)
leader L13 of team T6 discovered at 26944.000000 that M122 is in danger (after 10897ms proces-to-process, 9436ms node-to-node, 5hops, 0versions (7 first, 7 discovered)
leader L13 of team T6 discovered at 39998.000000 that M123 is in danger (after 16744ms proces-to-process, 14791ms node-to-node, 8hops, 2versions (11 first, 13 discovered)
