Config: 
--------------------------------------------
leader L12 of team T6 discovered at 58522.000000 that M124 is in danger (after 32518ms proces-to-process, 31054ms node-to-node, 3hops, 7versions (13 first, 20 discovered)
leader L12 of team T6 discovered at 48546.000000 that M125 is in danger (after 24912ms proces-to-process, 22712ms node-to-node, 8hops, 4versions (11 first, 15 discovered)
leader L12 of team T6 discovered at 53769.000000 that M126 is in danger (after 27360ms proces-to-process, 25288ms node-to-node, 6hops, 7versions (13 first, 20 discovered)
leader L12 of team T6 discovered at 27496.000000 that M127 is in danger (after 8328ms proces-to-process, 7446ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L12 of team T6 discovered at 40445.000000 that M119 is in danger (after 14399ms proces-to-process, 10929ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 58522.000000 that M118 is in danger (after 31232ms proces-to-process, 28402ms node-to-node, 5hops, 11versions (14 first, 25 discovered)
leader L12 of team T6 discovered at 29947.000000 that M122 is in danger (after 13900ms proces-to-process, 12258ms node-to-node, 7hops, 2versions (7 first, 9 discovered)
leader L12 of team T6 discovered at 31925.000000 that M123 is in danger (after 8671ms proces-to-process, 6693ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L12 of team T6 discovered at 41368.000000 that M115 is in danger (after 11336ms proces-to-process, 10964ms node-to-node, 7hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 24610.000000 that M114 is in danger (after 7266ms proces-to-process, 6083ms node-to-node, 6hops, 1versions (8 first, 9 discovered)
leader L12 of team T6 discovered at 30757.000000 that M117 is in danger (after 6208ms proces-to-process, 2856ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 20253.000000 that M116 is in danger (after 2325ms proces-to-process, 1320ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 never discovered that M110 is in danger from 30576.
leader L12 of team T6 discovered at 37524.000000 that M113 is in danger (after 8369ms proces-to-process, 6552ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 29947.000000 that M112 is in danger (after 7604ms proces-to-process, 4973ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L12 of team T6 discovered at 43107.000000 that M120 is in danger (after 18996ms proces-to-process, 16089ms node-to-node, 9hops, 4versions (12 first, 16 discovered)
leader L12 of team T6 discovered at 23014.000000 that M130 is in danger (after 4657ms proces-to-process, 4029ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 29947.000000 that M121 is in danger (after 1302ms proces-to-process, 1017ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 never discovered that M124 is in danger from 26004.
leader L13 of team T6 discovered at 44819.000000 that M125 is in danger (after 21185ms proces-to-process, 19277ms node-to-node, 5hops, 4versions (11 first, 15 discovered)
leader L13 of team T6 discovered at 43346.000000 that M126 is in danger (after 16937ms proces-to-process, 15115ms node-to-node, 4hops, 2versions (13 first, 15 discovered)
leader L13 of team T6 discovered at 30061.000000 that M127 is in danger (after 10893ms proces-to-process, 9513ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L13 of team T6 discovered at 47495.000000 that M119 is in danger (after 21449ms proces-to-process, 17936ms node-to-node, 4hops, 6versions (13 first, 19 discovered)
leader L13 of team T6 discovered at 51207.000000 that M118 is in danger (after 23917ms proces-to-process, 21251ms node-to-node, 3hops, 7versions (14 first, 21 discovered)
leader L13 of team T6 discovered at 33440.000000 that M122 is in danger (after 17393ms proces-to-process, 16017ms node-to-node, 6hops, 5versions (7 first, 12 discovered)
leader L13 of team T6 discovered at 31893.000000 that M123 is in danger (after 8639ms proces-to-process, 6476ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 discovered at 41939.000000 that M115 is in danger (after 11907ms proces-to-process, 11715ms node-to-node, 9hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 25537.000000 that M114 is in danger (after 8193ms proces-to-process, 6753ms node-to-node, 5hops, 1versions (8 first, 9 discovered)
leader L13 of team T6 discovered at 37691.000000 that M117 is in danger (after 13142ms proces-to-process, 9825ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 31164.000000 that M116 is in danger (after 13236ms proces-to-process, 12237ms node-to-node, 4hops, 3versions (8 first, 11 discovered)
leader L13 of team T6 discovered at 41939.000000 that M110 is in danger (after 11363ms proces-to-process, 10415ms node-to-node, 1hops, 2versions (14 first, 16 discovered)
leader L13 of team T6 discovered at 38322.000000 that M113 is in danger (after 9167ms proces-to-process, 7239ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L13 of team T6 discovered at 35740.000000 that M112 is in danger (after 13397ms proces-to-process, 10985ms node-to-node, 4hops, 3versions (11 first, 14 discovered)
leader L13 of team T6 discovered at 39508.000000 that M120 is in danger (after 15397ms proces-to-process, 12670ms node-to-node, 11hops, 1versions (12 first, 13 discovered)
leader L13 of team T6 discovered at 23910.000000 that M130 is in danger (after 5553ms proces-to-process, 4788ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 41090.000000 that M121 is in danger (after 12445ms proces-to-process, 11999ms node-to-node, 9hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 47076.000000 that M137 is in danger (after 19197ms proces-to-process, 17829ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L14 of team T7 discovered at 31550.000000 that M136 is in danger (after 10506ms proces-to-process, 9707ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L14 of team T7 discovered at 29089.000000 that M135 is in danger (after 11194ms proces-to-process, 9079ms node-to-node, 2hops, 2versions (9 first, 11 discovered)
leader L14 of team T7 discovered at 34961.000000 that M134 is in danger (after 14541ms proces-to-process, 11621ms node-to-node, 4hops, 2versions (10 first, 12 discovered)
leader L14 of team T7 discovered at 41960.000000 that M133 is in danger (after 24447ms proces-to-process, 22437ms node-to-node, 4hops, 4versions (9 first, 13 discovered)
leader L14 of team T7 discovered at 44154.000000 that M132 is in danger (after 18910ms proces-to-process, 16782ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L14 of team T7 discovered at 44154.000000 that M131 is in danger (after 21919ms proces-to-process, 20453ms node-to-node, 8hops, 4versions (10 first, 14 discovered)
leader L14 of team T7 discovered at 48631.000000 that M128 is in danger (after 27601ms proces-to-process, 26660ms node-to-node, 6hops, 5versions (10 first, 15 discovered)
leader L14 of team T7 discovered at 31550.000000 that M129 is in danger (after 12084ms proces-to-process, 10682ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L14 of team T7 discovered at 41245.000000 that M139 is in danger (after 12739ms proces-to-process, 12269ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 39568.000000 that M138 is in danger (after 9251ms proces-to-process, 8872ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L14 of team T7 discovered at 41960.000000 that M146 is in danger (after 12157ms proces-to-process, 10022ms node-to-node, 3hops, 2versions (14 first, 16 discovered)
leader L14 of team T7 discovered at 25076.000000 that M147 is in danger (after 3081ms proces-to-process, 51ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L14 of team T7 discovered at 31550.000000 that M144 is in danger (after 2976ms proces-to-process, 136ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L14 of team T7 discovered at 43239.000000 that M145 is in danger (after 16116ms proces-to-process, 13914ms node-to-node, 7hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 55428.000000 that M142 is in danger (after 35820ms proces-to-process, 34082ms node-to-node, 9hops, 7versions (9 first, 16 discovered)
leader L14 of team T7 discovered at 34961.000000 that M143 is in danger (after 8683ms proces-to-process, 6451ms node-to-node, 1hops, 4versions (12 first, 16 discovered)
