Config: 
--------------------------------------------
leader L4 of team T2 discovered at 34474.000000 that M52 is in danger (after 11115ms proces-to-process, 8759ms node-to-node, 6hops, 2versions (11 first, 13 discovered)
leader L4 of team T2 discovered at 27632.000000 that M48 is in danger (after 7839ms proces-to-process, 6394ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L4 of team T2 discovered at 33581.000000 that M49 is in danger (after 14982ms proces-to-process, 12098ms node-to-node, 8hops, 2versions (9 first, 11 discovered)
leader L4 of team T2 discovered at 28514.000000 that M51 is in danger (after 7845ms proces-to-process, 5331ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L4 of team T2 discovered at 23657.000000 that M50 is in danger (after 6656ms proces-to-process, 4856ms node-to-node, 2hops, 1versions (8 first, 9 discovered)
leader L4 of team T2 discovered at 29057.000000 that M39 is in danger (after 5464ms proces-to-process, 3325ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 41153.000000 that M38 is in danger (after 15397ms proces-to-process, 14478ms node-to-node, 8hops, 4versions (11 first, 15 discovered)
leader L4 of team T2 discovered at 36683.000000 that M42 is in danger (after 6832ms proces-to-process, 5640ms node-to-node, 4hops, 2versions (14 first, 16 discovered)
leader L4 of team T2 discovered at 20587.000000 that M36 is in danger (after 4942ms proces-to-process, 2387ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L4 of team T2 discovered at 33332.000000 that M40 is in danger (after 10067ms proces-to-process, 7678ms node-to-node, 7hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 34474.000000 that M41 is in danger (after 7247ms proces-to-process, 5844ms node-to-node, 2hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 28514.000000 that M46 is in danger (after 3011ms proces-to-process, 2368ms node-to-node, 1hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 26013.000000 that M47 is in danger (after 8590ms proces-to-process, 6686ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 33332.000000 that M44 is in danger (after 8917ms proces-to-process, 7052ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 28514.000000 that M45 is in danger (after 6126ms proces-to-process, 5106ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 23657.000000 that M53 is in danger (after 7983ms proces-to-process, 6878ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L4 of team T2 discovered at 27632.000000 that M43 is in danger (after 6497ms proces-to-process, 3359ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L5 of team T2 discovered at 27136.000000 that M52 is in danger (after 3777ms proces-to-process, 1259ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L5 of team T2 discovered at 27136.000000 that M48 is in danger (after 7343ms proces-to-process, 6161ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L5 of team T2 discovered at 32174.000000 that M49 is in danger (after 13575ms proces-to-process, 9921ms node-to-node, 7hops, 2versions (9 first, 11 discovered)
leader L5 of team T2 discovered at 33065.000000 that M51 is in danger (after 12396ms proces-to-process, 10069ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
