Config: 
--------------------------------------------
leader L4 of team T2 discovered at 20077.000000 that M55 is in danger (after 3822ms proces-to-process, 3113ms node-to-node, 3hops, 1versions (7 first, 8 discovered)
leader L4 of team T2 discovered at 28514.000000 that M52 is in danger (after 4801ms proces-to-process, 3489ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 28514.000000 that M48 is in danger (after 8721ms proces-to-process, 7364ms node-to-node, 5hops, 2versions (9 first, 11 discovered)
leader L4 of team T2 discovered at 26804.000000 that M49 is in danger (after 8205ms proces-to-process, 5243ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L4 of team T2 discovered at 34474.000000 that M51 is in danger (after 13805ms proces-to-process, 11247ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
leader L4 of team T2 discovered at 26013.000000 that M50 is in danger (after 9012ms proces-to-process, 7725ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 22673.000000 that M53 is in danger (after 6999ms proces-to-process, 4999ms node-to-node, 6hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 27632.000000 that M38 is in danger (after 1876ms proces-to-process, 1589ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 31665.000000 that M42 is in danger (after 1814ms proces-to-process, 889ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L4 of team T2 discovered at 22673.000000 that M36 is in danger (after 7028ms proces-to-process, 4061ms node-to-node, 6hops, 1versions (7 first, 8 discovered)
leader L4 of team T2 discovered at 34474.000000 that M40 is in danger (after 11209ms proces-to-process, 8201ms node-to-node, 5hops, 2versions (12 first, 14 discovered)
leader L4 of team T2 discovered at 30863.000000 that M41 is in danger (after 3636ms proces-to-process, 2383ms node-to-node, 1hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 31665.000000 that M46 is in danger (after 6162ms proces-to-process, 5362ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 26013.000000 that M47 is in danger (after 8590ms proces-to-process, 6385ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 29734.000000 that M44 is in danger (after 5319ms proces-to-process, 3235ms node-to-node, 8hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 29734.000000 that M45 is in danger (after 7346ms proces-to-process, 6428ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 26687.000000 that M43 is in danger (after 5552ms proces-to-process, 2347ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 19207.000000 that M55 is in danger (after 2952ms proces-to-process, 2415ms node-to-node, 5hops, 0versions (7 first, 7 discovered)
leader L5 of team T2 discovered at 26267.000000 that M52 is in danger (after 2554ms proces-to-process, 1615ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 22678.000000 that M48 is in danger (after 2885ms proces-to-process, 1578ms node-to-node, 1hops, 1versions (9 first, 10 discovered)
leader L5 of team T2 discovered at 25174.000000 that M49 is in danger (after 6575ms proces-to-process, 3553ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L5 of team T2 discovered at 32174.000000 that M51 is in danger (after 11505ms proces-to-process, 8493ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
leader L5 of team T2 discovered at 21202.000000 that M50 is in danger (after 4201ms proces-to-process, 2810ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 18935.000000 that M53 is in danger (after 3261ms proces-to-process, 1720ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L5 of team T2 discovered at 33604.000000 that M38 is in danger (after 7848ms proces-to-process, 7521ms node-to-node, 5hops, 2versions (11 first, 13 discovered)
leader L5 of team T2 discovered at 33604.000000 that M42 is in danger (after 3753ms proces-to-process, 2813ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L5 of team T2 discovered at 20627.000000 that M36 is in danger (after 4982ms proces-to-process, 2701ms node-to-node, 6hops, 1versions (7 first, 8 discovered)
leader L5 of team T2 discovered at 30069.000000 that M40 is in danger (after 6804ms proces-to-process, 3959ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
leader L5 of team T2 discovered at 30069.000000 that M41 is in danger (after 2842ms proces-to-process, 1277ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 30663.000000 that M46 is in danger (after 5160ms proces-to-process, 5042ms node-to-node, 10hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 22678.000000 that M47 is in danger (after 5255ms proces-to-process, 3211ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 28202.000000 that M44 is in danger (after 3787ms proces-to-process, 1610ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 28202.000000 that M45 is in danger (after 5814ms proces-to-process, 4750ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 25789.000000 that M43 is in danger (after 4654ms proces-to-process, 1338ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L6 of team T3 discovered at 36817.000000 that M73 is in danger (after 14913ms proces-to-process, 13199ms node-to-node, 6hops, 3versions (10 first, 13 discovered)
leader L6 of team T3 discovered at 27688.000000 that M54 is in danger (after 9175ms proces-to-process, 7855ms node-to-node, 9hops, 0versions (8 first, 8 discovered)
leader L6 of team T3 discovered at 27688.000000 that M57 is in danger (after 1806ms proces-to-process, 1459ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 28027.000000 that M56 is in danger (after 8905ms proces-to-process, 7162ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L6 of team T3 discovered at 37358.000000 that M76 is in danger (after 12078ms proces-to-process, 8073ms node-to-node, 7hops, 1versions (13 first, 14 discovered)
leader L6 of team T3 discovered at 29589.000000 that M75 is in danger (after 7621ms proces-to-process, 5883ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L6 of team T3 discovered at 40460.000000 that M72 is in danger (after 10876ms proces-to-process, 8462ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L6 of team T3 discovered at 36817.000000 that M59 is in danger (after 9767ms proces-to-process, 7418ms node-to-node, 9hops, 0versions (14 first, 14 discovered)
leader L6 of team T3 discovered at 40460.000000 that M58 is in danger (after 11499ms proces-to-process, 11223ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L6 of team T3 discovered at 36817.000000 that M70 is in danger (after 14506ms proces-to-process, 13016ms node-to-node, 4hops, 1versions (10 first, 11 discovered)
leader L6 of team T3 discovered at 40160.000000 that M74 is in danger (after 16513ms proces-to-process, 14554ms node-to-node, 5hops, 3versions (12 first, 15 discovered)
leader L6 of team T3 discovered at 40460.000000 that M71 is in danger (after 13387ms proces-to-process, 11551ms node-to-node, 5hops, 3versions (13 first, 16 discovered)
leader L6 of team T3 discovered at 34030.000000 that M60 is in danger (after 8594ms proces-to-process, 8280ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 36817.000000 that M61 is in danger (after 6815ms proces-to-process, 5221ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L6 of team T3 discovered at 34830.000000 that M62 is in danger (after 16749ms proces-to-process, 14519ms node-to-node, 8hops, 2versions (8 first, 10 discovered)
leader L6 of team T3 discovered at 34030.000000 that M63 is in danger (after 9527ms proces-to-process, 7573ms node-to-node, 9hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 34030.000000 that M64 is in danger (after 7020ms proces-to-process, 6317ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L6 of team T3 discovered at 30839.000000 that M65 is in danger (after 5531ms proces-to-process, 4377ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 45605.000000 that M66 is in danger (after 17387ms proces-to-process, 15215ms node-to-node, 9hops, 2versions (14 first, 16 discovered)
leader L6 of team T3 discovered at 27688.000000 that M67 is in danger (after 8086ms proces-to-process, 7540ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L6 of team T3 discovered at 34030.000000 that M68 is in danger (after 11306ms proces-to-process, 10895ms node-to-node, 8hops, 2versions (10 first, 12 discovered)
leader L6 of team T3 discovered at 29275.000000 that M69 is in danger (after 8782ms proces-to-process, 5749ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L7 of team T3 discovered at 36888.000000 that M73 is in danger (after 14984ms proces-to-process, 13199ms node-to-node, 6hops, 3versions (10 first, 13 discovered)
leader L7 of team T3 discovered at 28098.000000 that M54 is in danger (after 9585ms proces-to-process, 7855ms node-to-node, 9hops, 0versions (8 first, 8 discovered)
leader L7 of team T3 discovered at 28098.000000 that M57 is in danger (after 2216ms proces-to-process, 1459ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L7 of team T3 discovered at 28098.000000 that M56 is in danger (after 8976ms proces-to-process, 7162ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L7 of team T3 discovered at 37728.000000 that M76 is in danger (after 12448ms proces-to-process, 8073ms node-to-node, 7hops, 1versions (13 first, 14 discovered)
leader L7 of team T3 discovered at 29483.000000 that M75 is in danger (after 7515ms proces-to-process, 5883ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L7 of team T3 discovered at 40890.000000 that M72 is in danger (after 11306ms proces-to-process, 8462ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L7 of team T3 discovered at 36888.000000 that M59 is in danger (after 9838ms proces-to-process, 7418ms node-to-node, 9hops, 0versions (14 first, 14 discovered)
leader L7 of team T3 discovered at 40890.000000 that M58 is in danger (after 11929ms proces-to-process, 11223ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L7 of team T3 discovered at 36185.000000 that M70 is in danger (after 13874ms proces-to-process, 12799ms node-to-node, 9hops, 0versions (10 first, 10 discovered)
leader L7 of team T3 discovered at 39734.000000 that M74 is in danger (after 16087ms proces-to-process, 14554ms node-to-node, 5hops, 3versions (12 first, 15 discovered)
leader L7 of team T3 discovered at 40890.000000 that M71 is in danger (after 13817ms proces-to-process, 11551ms node-to-node, 5hops, 3versions (13 first, 16 discovered)
leader L7 of team T3 discovered at 34351.000000 that M60 is in danger (after 8915ms proces-to-process, 8280ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L7 of team T3 discovered at 36888.000000 that M61 is in danger (after 6886ms proces-to-process, 5221ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L7 of team T3 discovered at 35108.000000 that M62 is in danger (after 17027ms proces-to-process, 14519ms node-to-node, 8hops, 2versions (8 first, 10 discovered)
leader L7 of team T3 discovered at 33673.000000 that M63 is in danger (after 9170ms proces-to-process, 7573ms node-to-node, 9hops, 0versions (12 first, 12 discovered)
leader L7 of team T3 discovered at 33673.000000 that M64 is in danger (after 6663ms proces-to-process, 6317ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L7 of team T3 discovered at 30351.000000 that M65 is in danger (after 5043ms proces-to-process, 4377ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L7 of team T3 discovered at 45033.000000 that M66 is in danger (after 16815ms proces-to-process, 15215ms node-to-node, 9hops, 2versions (14 first, 16 discovered)
leader L7 of team T3 discovered at 28098.000000 that M67 is in danger (after 8496ms proces-to-process, 7540ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L7 of team T3 discovered at 34351.000000 that M68 is in danger (after 11627ms proces-to-process, 10895ms node-to-node, 8hops, 2versions (10 first, 12 discovered)
leader L7 of team T3 discovered at 29483.000000 that M69 is in danger (after 8990ms proces-to-process, 5749ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L0 of team T0 discovered at 29823.000000 that M11 is in danger (after 6410ms proces-to-process, 4966ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 30730.000000 that M17 is in danger (after 2318ms proces-to-process, 607ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 24240.000000 that M10 is in danger (after 4522ms proces-to-process, 2928ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 31697.000000 that M16 is in danger (after 10265ms proces-to-process, 6556ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L0 of team T0 never discovered that M13 is in danger from 17641.
leader L0 of team T0 discovered at 21050.000000 that M21 is in danger (after 3403ms proces-to-process, 1947ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L0 of team T0 discovered at 22026.000000 that M5 is in danger (after 2469ms proces-to-process, 1959ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 33176.000000 that M4 is in danger (after 11044ms proces-to-process, 7724ms node-to-node, 4hops, 4versions (11 first, 15 discovered)
leader L0 of team T0 discovered at 34418.000000 that M7 is in danger (after 4595ms proces-to-process, 2703ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 36352.000000 that M6 is in danger (after 13881ms proces-to-process, 12225ms node-to-node, 6hops, 5versions (11 first, 16 discovered)
leader L0 of team T0 discovered at 29823.000000 that M1 is in danger (after 4979ms proces-to-process, 3988ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 25361.000000 that M0 is in danger (after 4723ms proces-to-process, 3964ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 22648.000000 that M3 is in danger (after 3885ms proces-to-process, 2200ms node-to-node, 9hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 30441.000000 that M2 is in danger (after 3011ms proces-to-process, 702ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 34418.000000 that M15 is in danger (after 15348ms proces-to-process, 13283ms node-to-node, 7hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 27456.000000 that M12 is in danger (after 1119ms proces-to-process, 613ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 never discovered that M9 is in danger from 30358.
leader L0 of team T0 discovered at 18462.000000 that M8 is in danger (after 1082ms proces-to-process, 556ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L0 of team T0 discovered at 23509.000000 that M14 is in danger (after 3050ms proces-to-process, 2401ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 30195.000000 that M11 is in danger (after 6782ms proces-to-process, 5075ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
leader L1 of team T0 discovered at 33220.000000 that M17 is in danger (after 4808ms proces-to-process, 2616ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L1 of team T0 discovered at 24969.000000 that M10 is in danger (after 5251ms proces-to-process, 3938ms node-to-node, 4hops, 2versions (9 first, 11 discovered)
leader L1 of team T0 discovered at 37851.000000 that M16 is in danger (after 16419ms proces-to-process, 12765ms node-to-node, 5hops, 3versions (11 first, 14 discovered)
leader L1 of team T0 never discovered that M13 is in danger from 17641.
leader L1 of team T0 discovered at 25751.000000 that M21 is in danger (after 8104ms proces-to-process, 6568ms node-to-node, 5hops, 2versions (8 first, 10 discovered)
leader L1 of team T0 discovered at 20576.000000 that M5 is in danger (after 1019ms proces-to-process, 679ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 30722.000000 that M4 is in danger (after 8590ms proces-to-process, 5864ms node-to-node, 4hops, 3versions (11 first, 14 discovered)
leader L1 of team T0 discovered at 32080.000000 that M7 is in danger (after 2257ms proces-to-process, 716ms node-to-node, 1hops, 1versions (14 first, 15 discovered)
leader L1 of team T0 discovered at 25751.000000 that M6 is in danger (after 3280ms proces-to-process, 1810ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 27002.000000 that M1 is in danger (after 2158ms proces-to-process, 1316ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 discovered at 24329.000000 that M0 is in danger (after 3691ms proces-to-process, 3045ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L1 of team T0 discovered at 20576.000000 that M3 is in danger (after 1813ms proces-to-process, 7ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L1 of team T0 discovered at 32080.000000 that M2 is in danger (after 4650ms proces-to-process, 2522ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L1 of team T0 discovered at 33220.000000 that M15 is in danger (after 14150ms proces-to-process, 11919ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L1 of team T0 discovered at 29745.000000 that M12 is in danger (after 3408ms proces-to-process, 2541ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L1 of team T0 never discovered that M9 is in danger from 30358.
leader L1 of team T0 discovered at 25751.000000 that M8 is in danger (after 8371ms proces-to-process, 8061ms node-to-node, 5hops, 3versions (8 first, 11 discovered)
leader L1 of team T0 discovered at 21883.000000 that M14 is in danger (after 1424ms proces-to-process, 1274ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L2 of team T1 discovered at 31124.000000 that M33 is in danger (after 3468ms proces-to-process, 938ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L2 of team T1 discovered at 33914.000000 that M34 is in danger (after 3590ms proces-to-process, 2348ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L2 of team T1 discovered at 28631.000000 that M28 is in danger (after 3816ms proces-to-process, 1570ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L2 of team T1 discovered at 28631.000000 that M29 is in danger (after 4559ms proces-to-process, 3279ms node-to-node, 1hops, 2versions (11 first, 13 discovered)
leader L2 of team T1 discovered at 37555.000000 that M39 is in danger (after 13962ms proces-to-process, 11984ms node-to-node, 6hops, 4versions (12 first, 16 discovered)
leader L2 of team T1 discovered at 34079.000000 that M24 is in danger (after 3868ms proces-to-process, 886ms node-to-node, 1hops, 0versions (15 first, 15 discovered)
leader L2 of team T1 discovered at 31124.000000 that M25 is in danger (after 3038ms proces-to-process, 67ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L2 of team T1 never discovered that M26 is in danger from 30319.
leader L2 of team T1 discovered at 29322.000000 that M27 is in danger (after 6496ms proces-to-process, 4678ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L2 of team T1 discovered at 33914.000000 that M20 is in danger (after 5676ms proces-to-process, 3216ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L2 of team T1 discovered at 26233.000000 that M32 is in danger (after 5127ms proces-to-process, 4051ms node-to-node, 6hops, 0versions (10 first, 10 discovered)
leader L2 of team T1 never discovered that M22 is in danger from 19990.
leader L2 of team T1 discovered at 33914.000000 that M23 is in danger (after 7187ms proces-to-process, 6059ms node-to-node, 3hops, 1versions (12 first, 13 discovered)
leader L2 of team T1 discovered at 31981.000000 that M37 is in danger (after 9049ms proces-to-process, 6981ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L2 of team T1 discovered at 25851.000000 that M31 is in danger (after 8190ms proces-to-process, 6962ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L2 of team T1 discovered at 32655.000000 that M19 is in danger (after 3494ms proces-to-process, 1796ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L2 of team T1 never discovered that M18 is in danger from 16252.
leader L2 of team T1 discovered at 31981.000000 that M30 is in danger (after 3601ms proces-to-process, 2309ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L2 of team T1 discovered at 38635.000000 that M35 is in danger (after 10760ms proces-to-process, 6650ms node-to-node, 8hops, 0versions (14 first, 14 discovered)
leader L3 of team T1 discovered at 34281.000000 that M33 is in danger (after 6625ms proces-to-process, 4587ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L3 of team T1 discovered at 47034.000000 that M34 is in danger (after 16710ms proces-to-process, 15807ms node-to-node, 12hops, 4versions (14 first, 18 discovered)
leader L3 of team T1 discovered at 31084.000000 that M28 is in danger (after 6269ms proces-to-process, 3862ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L3 of team T1 discovered at 30058.000000 that M29 is in danger (after 5986ms proces-to-process, 5418ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L3 of team T1 discovered at 40408.000000 that M39 is in danger (after 16815ms proces-to-process, 14567ms node-to-node, 7hops, 4versions (12 first, 16 discovered)
