Config: 
--------------------------------------------
leader L12 of team T6 discovered at 40445.000000 that M124 is in danger (after 14441ms proces-to-process, 12529ms node-to-node, 6hops, 3versions (13 first, 16 discovered)
leader L12 of team T6 discovered at 26476.000000 that M125 is in danger (after 2842ms proces-to-process, 820ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L12 of team T6 discovered at 26476.000000 that M116 is in danger (after 8548ms proces-to-process, 7151ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 43648.000000 that M119 is in danger (after 17602ms proces-to-process, 14216ms node-to-node, 8hops, 2versions (13 first, 15 discovered)
leader L12 of team T6 discovered at 43648.000000 that M118 is in danger (after 16358ms proces-to-process, 13730ms node-to-node, 8hops, 1versions (14 first, 15 discovered)
leader L12 of team T6 discovered at 27028.000000 that M122 is in danger (after 10981ms proces-to-process, 9296ms node-to-node, 4hops, 2versions (7 first, 9 discovered)
leader L12 of team T6 discovered at 48546.000000 that M123 is in danger (after 25292ms proces-to-process, 23054ms node-to-node, 5hops, 5versions (11 first, 16 discovered)
leader L12 of team T6 discovered at 43648.000000 that M115 is in danger (after 13616ms proces-to-process, 13005ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 29947.000000 that M114 is in danger (after 12603ms proces-to-process, 11311ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 46236.000000 that M117 is in danger (after 21687ms proces-to-process, 18323ms node-to-node, 9hops, 4versions (13 first, 17 discovered)
leader L12 of team T6 discovered at 47296.000000 that M109 is in danger (after 30957ms proces-to-process, 29277ms node-to-node, 10hops, 8versions (7 first, 15 discovered)
leader L12 of team T6 discovered at 30757.000000 that M111 is in danger (after 11193ms proces-to-process, 8259ms node-to-node, 8hops, 0versions (10 first, 10 discovered)
leader L12 of team T6 discovered at 40445.000000 that M113 is in danger (after 11290ms proces-to-process, 9489ms node-to-node, 9hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 45263.000000 that M112 is in danger (after 22920ms proces-to-process, 20363ms node-to-node, 9hops, 6versions (11 first, 17 discovered)
leader L12 of team T6 discovered at 38417.000000 that M120 is in danger (after 14306ms proces-to-process, 11243ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
leader L12 of team T6 discovered at 46735.000000 that M121 is in danger (after 18090ms proces-to-process, 17546ms node-to-node, 9hops, 2versions (13 first, 15 discovered)
leader L13 of team T6 discovered at 35740.000000 that M124 is in danger (after 9736ms proces-to-process, 8436ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 39998.000000 that M125 is in danger (after 16364ms proces-to-process, 14459ms node-to-node, 8hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 discovered at 22988.000000 that M116 is in danger (after 5060ms proces-to-process, 4076ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 41557.000000 that M119 is in danger (after 15511ms proces-to-process, 12183ms node-to-node, 3hops, 3versions (13 first, 16 discovered)
