Config: 
--------------------------------------------
leader L12 of team T6 discovered at 31925.000000 that M124 is in danger (after 5921ms proces-to-process, 4541ms node-to-node, 8hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 36306.000000 that M125 is in danger (after 12672ms proces-to-process, 10638ms node-to-node, 9hops, 2versions (11 first, 13 discovered)
leader L12 of team T6 discovered at 34961.000000 that M126 is in danger (after 8552ms proces-to-process, 7029ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 23014.000000 that M116 is in danger (after 5086ms proces-to-process, 4056ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 31925.000000 that M119 is in danger (after 5879ms proces-to-process, 2523ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 40445.000000 that M118 is in danger (after 13155ms proces-to-process, 10074ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L12 of team T6 discovered at 21133.000000 that M122 is in danger (after 5086ms proces-to-process, 3714ms node-to-node, 3hops, 1versions (7 first, 8 discovered)
leader L12 of team T6 discovered at 48068.000000 that M123 is in danger (after 24814ms proces-to-process, 22213ms node-to-node, 4hops, 5versions (11 first, 16 discovered)
leader L12 of team T6 discovered at 40993.000000 that M115 is in danger (after 10961ms proces-to-process, 10473ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 20628.000000 that M114 is in danger (after 3284ms proces-to-process, 1988ms node-to-node, 3hops, 1versions (8 first, 9 discovered)
leader L12 of team T6 discovered at 28987.000000 that M108 is in danger (after 10393ms proces-to-process, 8051ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L12 of team T6 discovered at 32739.000000 that M109 is in danger (after 16400ms proces-to-process, 14882ms node-to-node, 11hops, 2versions (7 first, 9 discovered)
leader L12 of team T6 discovered at 29947.000000 that M128 is in danger (after 8917ms proces-to-process, 7600ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L12 of team T6 discovered at 26476.000000 that M129 is in danger (after 7010ms proces-to-process, 5713ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 43648.000000 that M113 is in danger (after 14493ms proces-to-process, 12563ms node-to-node, 6hops, 5versions (14 first, 19 discovered)
leader L12 of team T6 discovered at 27028.000000 that M112 is in danger (after 4685ms proces-to-process, 1943ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L12 of team T6 discovered at 28738.000000 that M120 is in danger (after 4627ms proces-to-process, 2003ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L12 of team T6 discovered at 34552.000000 that M130 is in danger (after 16195ms proces-to-process, 15680ms node-to-node, 6hops, 4versions (8 first, 12 discovered)
leader L12 of team T6 discovered at 31011.000000 that M117 is in danger (after 6462ms proces-to-process, 3181ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 28987.000000 that M121 is in danger (after 342ms proces-to-process, 65ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 31164.000000 that M124 is in danger (after 5160ms proces-to-process, 3560ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 30061.000000 that M125 is in danger (after 6427ms proces-to-process, 4084ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 discovered at 28048.000000 that M126 is in danger (after 1639ms proces-to-process, 7ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 37358.000000 that M116 is in danger (after 19430ms proces-to-process, 18136ms node-to-node, 7hops, 3versions (8 first, 11 discovered)
leader L13 of team T6 discovered at 37358.000000 that M119 is in danger (after 11312ms proces-to-process, 7790ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 50367.000000 that M118 is in danger (after 23077ms proces-to-process, 19935ms node-to-node, 6hops, 6versions (14 first, 20 discovered)
leader L13 of team T6 discovered at 26944.000000 that M122 is in danger (after 10897ms proces-to-process, 9427ms node-to-node, 8hops, 0versions (7 first, 7 discovered)
leader L13 of team T6 discovered at 49361.000000 that M123 is in danger (after 26107ms proces-to-process, 23828ms node-to-node, 3hops, 5versions (11 first, 16 discovered)
leader L13 of team T6 discovered at 47061.000000 that M115 is in danger (after 17029ms proces-to-process, 16040ms node-to-node, 7hops, 2versions (13 first, 15 discovered)
leader L13 of team T6 discovered at 29273.000000 that M114 is in danger (after 11929ms proces-to-process, 10223ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L13 of team T6 discovered at 34515.000000 that M108 is in danger (after 15921ms proces-to-process, 13486ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L13 of team T6 discovered at 30655.000000 that M109 is in danger (after 14316ms proces-to-process, 12565ms node-to-node, 7hops, 0versions (7 first, 7 discovered)
leader L13 of team T6 discovered at 41090.000000 that M128 is in danger (after 20060ms proces-to-process, 18886ms node-to-node, 9hops, 4versions (10 first, 14 discovered)
leader L13 of team T6 discovered at 31893.000000 that M129 is in danger (after 12427ms proces-to-process, 11645ms node-to-node, 10hops, 2versions (8 first, 10 discovered)
leader L13 of team T6 never discovered that M113 is in danger from 29155.
leader L13 of team T6 discovered at 35740.000000 that M112 is in danger (after 13397ms proces-to-process, 10712ms node-to-node, 5hops, 3versions (11 first, 14 discovered)
leader L13 of team T6 discovered at 34515.000000 that M120 is in danger (after 10404ms proces-to-process, 7060ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L13 of team T6 discovered at 21547.000000 that M130 is in danger (after 3190ms proces-to-process, 2724ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 36629.000000 that M117 is in danger (after 12080ms proces-to-process, 8858ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 39508.000000 that M121 is in danger (after 10863ms proces-to-process, 10255ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 50871.000000 that M137 is in danger (after 22992ms proces-to-process, 22041ms node-to-node, 11hops, 3versions (13 first, 16 discovered)
leader L14 of team T7 discovered at 29729.000000 that M136 is in danger (after 8685ms proces-to-process, 7878ms node-to-node, 9hops, 0versions (10 first, 10 discovered)
leader L14 of team T7 discovered at 25076.000000 that M135 is in danger (after 7181ms proces-to-process, 5062ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 29729.000000 that M134 is in danger (after 9309ms proces-to-process, 6630ms node-to-node, 5hops, 1versions (10 first, 11 discovered)
leader L14 of team T7 discovered at 39568.000000 that M133 is in danger (after 22055ms proces-to-process, 20075ms node-to-node, 13hops, 3versions (9 first, 12 discovered)
