Config: 
--------------------------------------------
leader L4 of team T2 discovered at 28514.000000 that M52 is in danger (after 4801ms proces-to-process, 3464ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 25449.000000 that M48 is in danger (after 5656ms proces-to-process, 4083ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L4 of team T2 discovered at 23657.000000 that M49 is in danger (after 5058ms proces-to-process, 1369ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L4 of team T2 discovered at 29734.000000 that M51 is in danger (after 9065ms proces-to-process, 6753ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
leader L4 of team T2 discovered at 20587.000000 that M50 is in danger (after 3586ms proces-to-process, 2039ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 29734.000000 that M39 is in danger (after 6141ms proces-to-process, 4058ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 27042.000000 that M38 is in danger (after 1286ms proces-to-process, 965ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 29734.000000 that M37 is in danger (after 6802ms proces-to-process, 4941ms node-to-node, 5hops, 2versions (11 first, 13 discovered)
leader L4 of team T2 discovered at 20587.000000 that M36 is in danger (after 4942ms proces-to-process, 2636ms node-to-node, 3hops, 2versions (7 first, 9 discovered)
leader L4 of team T2 discovered at 28514.000000 that M40 is in danger (after 5249ms proces-to-process, 2209ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 30535.000000 that M41 is in danger (after 3308ms proces-to-process, 1930ms node-to-node, 2hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 31665.000000 that M46 is in danger (after 6162ms proces-to-process, 5674ms node-to-node, 4hops, 2versions (12 first, 14 discovered)
leader L4 of team T2 discovered at 22673.000000 that M47 is in danger (after 5250ms proces-to-process, 3484ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 26687.000000 that M44 is in danger (after 2272ms proces-to-process, 588ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 23657.000000 that M45 is in danger (after 1269ms proces-to-process, 804ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 31665.000000 that M42 is in danger (after 1814ms proces-to-process, 671ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L4 of team T2 discovered at 34474.000000 that M57 is in danger (after 8592ms proces-to-process, 8078ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 18610.000000 that M53 is in danger (after 2936ms proces-to-process, 1664ms node-to-node, 3hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 41303.000000 that M43 is in danger (after 20168ms proces-to-process, 17231ms node-to-node, 1hops, 5versions (11 first, 16 discovered)
leader L5 of team T2 discovered at 28733.000000 that M52 is in danger (after 5020ms proces-to-process, 4177ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L5 of team T2 discovered at 33065.000000 that M48 is in danger (after 13272ms proces-to-process, 11742ms node-to-node, 7hops, 5versions (9 first, 14 discovered)
leader L5 of team T2 discovered at 33065.000000 that M49 is in danger (after 14466ms proces-to-process, 11079ms node-to-node, 3hops, 5versions (9 first, 14 discovered)
leader L5 of team T2 discovered at 27315.000000 that M51 is in danger (after 6646ms proces-to-process, 4341ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L5 of team T2 discovered at 18935.000000 that M50 is in danger (after 1934ms proces-to-process, 132ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 32174.000000 that M39 is in danger (after 8581ms proces-to-process, 5840ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 28202.000000 that M38 is in danger (after 2446ms proces-to-process, 1894ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 28733.000000 that M37 is in danger (after 5801ms proces-to-process, 4375ms node-to-node, 4hops, 2versions (11 first, 13 discovered)
leader L5 of team T2 discovered at 27315.000000 that M36 is in danger (after 11670ms proces-to-process, 9411ms node-to-node, 9hops, 2versions (7 first, 9 discovered)
leader L5 of team T2 discovered at 32174.000000 that M40 is in danger (after 8909ms proces-to-process, 5526ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L5 of team T2 discovered at 29081.000000 that M41 is in danger (after 1854ms proces-to-process, 666ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 30069.000000 that M46 is in danger (after 4566ms proces-to-process, 3995ms node-to-node, 2hops, 2versions (12 first, 14 discovered)
leader L5 of team T2 discovered at 22678.000000 that M47 is in danger (after 5255ms proces-to-process, 2706ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 27136.000000 that M44 is in danger (after 2721ms proces-to-process, 949ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 28202.000000 that M45 is in danger (after 5814ms proces-to-process, 4807ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L5 of team T2 discovered at 33604.000000 that M42 is in danger (after 3753ms proces-to-process, 2621ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L5 of team T2 discovered at 39040.000000 that M57 is in danger (after 13158ms proces-to-process, 12738ms node-to-node, 3hops, 3versions (12 first, 15 discovered)
leader L5 of team T2 discovered at 23149.000000 that M53 is in danger (after 7475ms proces-to-process, 6342ms node-to-node, 3hops, 2versions (7 first, 9 discovered)
leader L5 of team T2 discovered at 44693.000000 that M43 is in danger (after 23558ms proces-to-process, 20268ms node-to-node, 4hops, 7versions (11 first, 18 discovered)
leader L6 of team T3 discovered at 22178.000000 that M55 is in danger (after 5923ms proces-to-process, 5057ms node-to-node, 7hops, 1versions (7 first, 8 discovered)
leader L6 of team T3 discovered at 22178.000000 that M54 is in danger (after 3665ms proces-to-process, 2512ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L6 of team T3 discovered at 30839.000000 that M71 is in danger (after 3766ms proces-to-process, 1409ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
