Config: 
--------------------------------------------
leader L16 of team T8 discovered at 34900.000000 that M151 is in danger (after 9087ms proces-to-process, 8543ms node-to-node, 1hops, 2versions (11 first, 13 discovered)
leader L16 of team T8 discovered at 47046.000000 that M152 is in danger (after 18558ms proces-to-process, 17950ms node-to-node, 8hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 22739.000000 that M160 is in danger (after 7091ms proces-to-process, 4371ms node-to-node, 1hops, 2versions (7 first, 9 discovered)
leader L16 of team T8 discovered at 34317.000000 that M161 is in danger (after 14597ms proces-to-process, 12708ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 20199.000000 that M164 is in danger (after 3260ms proces-to-process, 2019ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 43770.000000 that M146 is in danger (after 13967ms proces-to-process, 11575ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L16 of team T8 discovered at 26200.000000 that M150 is in danger (after 5011ms proces-to-process, 4831ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 31784.000000 that M153 is in danger (after 11379ms proces-to-process, 11193ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 36318.000000 that M145 is in danger (after 9195ms proces-to-process, 6582ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L16 of team T8 discovered at 21937.000000 that M155 is in danger (after 702ms proces-to-process, 49ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 29690.000000 that M154 is in danger (after 6801ms proces-to-process, 4958ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 26200.000000 that M156 is in danger (after 2593ms proces-to-process, 1233ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 36318.000000 that M159 is in danger (after 19589ms proces-to-process, 17169ms node-to-node, 9hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 39413.000000 that M158 is in danger (after 20793ms proces-to-process, 19721ms node-to-node, 3hops, 3versions (9 first, 12 discovered)
leader L16 of team T8 discovered at 27369.000000 that M149 is in danger (after 4338ms proces-to-process, 3808ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 49241.000000 that M151 is in danger (after 23428ms proces-to-process, 23056ms node-to-node, 8hops, 2versions (11 first, 13 discovered)
leader L17 of team T8 discovered at 54503.000000 that M152 is in danger (after 26015ms proces-to-process, 24911ms node-to-node, 12hops, 0versions (13 first, 13 discovered)
leader L17 of team T8 discovered at 33234.000000 that M160 is in danger (after 17586ms proces-to-process, 14710ms node-to-node, 5hops, 5versions (7 first, 12 discovered)
leader L17 of team T8 discovered at 38745.000000 that M161 is in danger (after 19025ms proces-to-process, 16943ms node-to-node, 8hops, 2versions (10 first, 12 discovered)
leader L17 of team T8 discovered at 56066.000000 that M164 is in danger (after 39127ms proces-to-process, 37851ms node-to-node, 15hops, 8versions (8 first, 16 discovered)
leader L17 of team T8 discovered at 51755.000000 that M146 is in danger (after 21952ms proces-to-process, 19880ms node-to-node, 5hops, 6versions (14 first, 20 discovered)
leader L17 of team T8 discovered at 34167.000000 that M150 is in danger (after 12978ms proces-to-process, 11944ms node-to-node, 3hops, 3versions (10 first, 13 discovered)
leader L17 of team T8 discovered at 46748.000000 that M153 is in danger (after 26343ms proces-to-process, 25809ms node-to-node, 12hops, 3versions (9 first, 12 discovered)
leader L17 of team T8 discovered at 31150.000000 that M145 is in danger (after 4027ms proces-to-process, 1782ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L17 of team T8 discovered at 34167.000000 that M155 is in danger (after 12932ms proces-to-process, 11796ms node-to-node, 4hops, 2versions (10 first, 12 discovered)
leader L17 of team T8 discovered at 24890.000000 that M154 is in danger (after 2001ms proces-to-process, 93ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 31150.000000 that M156 is in danger (after 7543ms proces-to-process, 6604ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 31667.000000 that M159 is in danger (after 14938ms proces-to-process, 12392ms node-to-node, 9hops, 0versions (8 first, 8 discovered)
leader L17 of team T8 discovered at 36738.000000 that M158 is in danger (after 18118ms proces-to-process, 16763ms node-to-node, 5hops, 4versions (9 first, 13 discovered)
leader L17 of team T8 discovered at 24890.000000 that M149 is in danger (after 1859ms proces-to-process, 1539ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L18 of team T9 discovered at 40015.000000 that M168 is in danger (after 12253ms proces-to-process, 10867ms node-to-node, 4hops, 2versions (14 first, 16 discovered)
leader L18 of team T9 discovered at 27015.000000 that M169 is in danger (after 1329ms proces-to-process, 956ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L18 of team T9 discovered at 39149.000000 that M179 is in danger (after 16197ms proces-to-process, 14298ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L18 of team T9 discovered at 32967.000000 that M170 is in danger (after 5441ms proces-to-process, 3210ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L18 of team T9 discovered at 34921.000000 that M173 is in danger (after 8550ms proces-to-process, 6779ms node-to-node, 3hops, 2versions (12 first, 14 discovered)
leader L18 of team T9 discovered at 44522.000000 that M172 is in danger (after 25537ms proces-to-process, 24117ms node-to-node, 8hops, 6versions (8 first, 14 discovered)
leader L18 of team T9 discovered at 34051.000000 that M162 is in danger (after 12008ms proces-to-process, 11393ms node-to-node, 9hops, 2versions (10 first, 12 discovered)
leader L18 of team T9 discovered at 47530.000000 that M163 is in danger (after 18378ms proces-to-process, 17147ms node-to-node, 4hops, 6versions (14 first, 20 discovered)
leader L18 of team T9 discovered at 54572.000000 that M177 is in danger (after 32769ms proces-to-process, 31419ms node-to-node, 5hops, 12versions (10 first, 22 discovered)
leader L18 of team T9 discovered at 35224.000000 that M165 is in danger (after 4802ms proces-to-process, 2621ms node-to-node, 1hops, 1versions (14 first, 15 discovered)
leader L18 of team T9 discovered at 24784.000000 that M166 is in danger (after 6818ms proces-to-process, 5185ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L18 of team T9 discovered at 37205.000000 that M167 is in danger (after 12015ms proces-to-process, 10449ms node-to-node, 5hops, 3versions (12 first, 15 discovered)
leader L18 of team T9 discovered at 52746.000000 that M178 is in danger (after 28709ms proces-to-process, 28210ms node-to-node, 5hops, 7versions (11 first, 18 discovered)
leader L18 of team T9 discovered at 55794.000000 that M175 is in danger (after 28727ms proces-to-process, 25041ms node-to-node, 2hops, 11versions (14 first, 25 discovered)
leader L18 of team T9 never discovered that M176 is in danger from 29833.
leader L18 of team T9 discovered at 42950.000000 that M180 is in danger (after 21592ms proces-to-process, 21036ms node-to-node, 13hops, 2versions (9 first, 11 discovered)
leader L18 of team T9 discovered at 42015.000000 that M174 is in danger (after 13269ms proces-to-process, 12364ms node-to-node, 3hops, 3versions (13 first, 16 discovered)
leader L18 of team T9 discovered at 25788.000000 that M171 is in danger (after 9129ms proces-to-process, 8040ms node-to-node, 8hops, 0versions (8 first, 8 discovered)
