Config: 
--------------------------------------------
leader L16 of team T8 discovered at 41388.000000 that M152 is in danger (after 12900ms proces-to-process, 12236ms node-to-node, 7hops, 2versions (13 first, 15 discovered)
leader L16 of team T8 discovered at 34317.000000 that M160 is in danger (after 18669ms proces-to-process, 15938ms node-to-node, 7hops, 1versions (7 first, 8 discovered)
leader L16 of team T8 discovered at 28599.000000 that M161 is in danger (after 8879ms proces-to-process, 6905ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 42065.000000 that M162 is in danger (after 20022ms proces-to-process, 19733ms node-to-node, 6hops, 5versions (10 first, 15 discovered)
leader L16 of team T8 discovered at 58276.000000 that M163 is in danger (after 29000ms proces-to-process, 27678ms node-to-node, 3hops, 7versions (14 first, 21 discovered)
leader L16 of team T8 discovered at 50117.000000 that M165 is in danger (after 19695ms proces-to-process, 17523ms node-to-node, 4hops, 5versions (14 first, 19 discovered)
leader L16 of team T8 discovered at 36318.000000 that M166 is in danger (after 18352ms proces-to-process, 16415ms node-to-node, 4hops, 3versions (8 first, 11 discovered)
leader L16 of team T8 discovered at 35430.000000 that M151 is in danger (after 9557ms proces-to-process, 9494ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 31784.000000 that M150 is in danger (after 10595ms proces-to-process, 10292ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 42065.000000 that M153 is in danger (after 21660ms proces-to-process, 21601ms node-to-node, 5hops, 5versions (9 first, 14 discovered)
leader L16 of team T8 discovered at 40229.000000 that M145 is in danger (after 13106ms proces-to-process, 10879ms node-to-node, 1hops, 2versions (13 first, 15 discovered)
leader L16 of team T8 discovered at 43770.000000 that M155 is in danger (after 22535ms proces-to-process, 21940ms node-to-node, 3hops, 5versions (10 first, 15 discovered)
leader L16 of team T8 discovered at 42897.000000 that M154 is in danger (after 20008ms proces-to-process, 18006ms node-to-node, 6hops, 3versions (11 first, 14 discovered)
leader L16 of team T8 discovered at 40795.000000 that M156 is in danger (after 17188ms proces-to-process, 15811ms node-to-node, 6hops, 3versions (11 first, 14 discovered)
leader L16 of team T8 discovered at 57656.000000 that M159 is in danger (after 40927ms proces-to-process, 38305ms node-to-node, 5hops, 9versions (8 first, 17 discovered)
leader L16 of team T8 discovered at 45322.000000 that M158 is in danger (after 26702ms proces-to-process, 25469ms node-to-node, 3hops, 7versions (9 first, 16 discovered)
leader L16 of team T8 discovered at 49328.000000 that M148 is in danger (after 24986ms proces-to-process, 24430ms node-to-node, 4hops, 8versions (11 first, 19 discovered)
leader L16 of team T8 discovered at 40795.000000 that M149 is in danger (after 17764ms proces-to-process, 17113ms node-to-node, 3hops, 4versions (11 first, 15 discovered)
leader L17 of team T8 discovered at 42216.000000 that M152 is in danger (after 13728ms proces-to-process, 13017ms node-to-node, 6hops, 2versions (13 first, 15 discovered)
leader L17 of team T8 discovered at 20637.000000 that M160 is in danger (after 4989ms proces-to-process, 2426ms node-to-node, 2hops, 1versions (7 first, 8 discovered)
leader L17 of team T8 discovered at 29094.000000 that M161 is in danger (after 9374ms proces-to-process, 7296ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 25602.000000 that M162 is in danger (after 3559ms proces-to-process, 2861ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 43224.000000 that M163 is in danger (after 13948ms proces-to-process, 12298ms node-to-node, 6hops, 2versions (14 first, 16 discovered)
leader L17 of team T8 discovered at 44125.000000 that M165 is in danger (after 13703ms proces-to-process, 11022ms node-to-node, 7hops, 2versions (14 first, 16 discovered)
leader L17 of team T8 discovered at 26606.000000 that M166 is in danger (after 8640ms proces-to-process, 6467ms node-to-node, 1hops, 1versions (8 first, 9 discovered)
leader L17 of team T8 never discovered that M151 is in danger from 25873.
leader L17 of team T8 discovered at 38745.000000 that M150 is in danger (after 17556ms proces-to-process, 17345ms node-to-node, 5hops, 5versions (10 first, 15 discovered)
leader L17 of team T8 discovered at 53670.000000 that M153 is in danger (after 33265ms proces-to-process, 32997ms node-to-node, 5hops, 10versions (9 first, 19 discovered)
leader L17 of team T8 discovered at 48463.000000 that M145 is in danger (after 21340ms proces-to-process, 18926ms node-to-node, 7hops, 2versions (13 first, 15 discovered)
leader L17 of team T8 discovered at 30518.000000 that M155 is in danger (after 9283ms proces-to-process, 8727ms node-to-node, 6hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 52034.000000 that M154 is in danger (after 29145ms proces-to-process, 27187ms node-to-node, 5hops, 7versions (11 first, 18 discovered)
leader L17 of team T8 discovered at 40618.000000 that M156 is in danger (after 17011ms proces-to-process, 15997ms node-to-node, 10hops, 3versions (11 first, 14 discovered)
leader L17 of team T8 discovered at 50428.000000 that M159 is in danger (after 33699ms proces-to-process, 30820ms node-to-node, 6hops, 8versions (8 first, 16 discovered)
leader L17 of team T8 discovered at 50428.000000 that M158 is in danger (after 31808ms proces-to-process, 30622ms node-to-node, 5hops, 9versions (9 first, 18 discovered)
leader L17 of team T8 discovered at 42216.000000 that M148 is in danger (after 17874ms proces-to-process, 16974ms node-to-node, 4hops, 5versions (11 first, 16 discovered)
