Config: 
--------------------------------------------
leader L12 of team T6 discovered at 32397.000000 that M124 is in danger (after 6393ms proces-to-process, 4787ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 32739.000000 that M125 is in danger (after 9105ms proces-to-process, 7280ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L12 of team T6 discovered at 32397.000000 that M130 is in danger (after 14040ms proces-to-process, 13499ms node-to-node, 8hops, 1versions (8 first, 9 discovered)
leader L12 of team T6 discovered at 31925.000000 that M127 is in danger (after 12757ms proces-to-process, 11165ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L12 of team T6 discovered at 34077.000000 that M119 is in danger (after 8031ms proces-to-process, 4241ms node-to-node, 1hops, 2versions (13 first, 15 discovered)
leader L12 of team T6 discovered at 34961.000000 that M118 is in danger (after 7671ms proces-to-process, 4875ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 26476.000000 that M122 is in danger (after 10429ms proces-to-process, 8471ms node-to-node, 6hops, 1versions (7 first, 8 discovered)
leader L12 of team T6 discovered at 28987.000000 that M123 is in danger (after 5733ms proces-to-process, 3671ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L12 of team T6 discovered at 36306.000000 that M115 is in danger (after 6274ms proces-to-process, 5958ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 19352.000000 that M114 is in danger (after 2008ms proces-to-process, 834ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 26476.000000 that M108 is in danger (after 7882ms proces-to-process, 4962ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L12 of team T6 discovered at 25148.000000 that M116 is in danger (after 7220ms proces-to-process, 5900ms node-to-node, 2hops, 1versions (8 first, 9 discovered)
leader L12 of team T6 discovered at 29947.000000 that M111 is in danger (after 10383ms proces-to-process, 7651ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L12 of team T6 discovered at 40445.000000 that M110 is in danger (after 9869ms proces-to-process, 9037ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L12 of team T6 discovered at 41368.000000 that M113 is in danger (after 12213ms proces-to-process, 10476ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L12 of team T6 discovered at 32739.000000 that M128 is in danger (after 11709ms proces-to-process, 10758ms node-to-node, 4hops, 1versions (10 first, 11 discovered)
leader L12 of team T6 discovered at 34961.000000 that M120 is in danger (after 10850ms proces-to-process, 7986ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L12 of team T6 discovered at 43107.000000 that M117 is in danger (after 18558ms proces-to-process, 15188ms node-to-node, 5hops, 4versions (13 first, 17 discovered)
leader L12 of team T6 discovered at 36306.000000 that M121 is in danger (after 7661ms proces-to-process, 7093ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L13 of team T6 discovered at 41090.000000 that M124 is in danger (after 15086ms proces-to-process, 13271ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 33043.000000 that M125 is in danger (after 9409ms proces-to-process, 7280ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 discovered at 32376.000000 that M130 is in danger (after 14019ms proces-to-process, 13499ms node-to-node, 8hops, 1versions (8 first, 9 discovered)
leader L13 of team T6 discovered at 32376.000000 that M127 is in danger (after 13208ms proces-to-process, 12038ms node-to-node, 3hops, 3versions (9 first, 12 discovered)
leader L13 of team T6 discovered at 41939.000000 that M119 is in danger (after 15893ms proces-to-process, 12677ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L13 of team T6 discovered at 35740.000000 that M118 is in danger (after 8450ms proces-to-process, 5321ms node-to-node, 1hops, 1versions (14 first, 15 discovered)
leader L13 of team T6 discovered at 21547.000000 that M122 is in danger (after 5500ms proces-to-process, 3920ms node-to-node, 2hops, 1versions (7 first, 8 discovered)
leader L13 of team T6 discovered at 38895.000000 that M123 is in danger (after 15641ms proces-to-process, 13551ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L13 of team T6 discovered at 36629.000000 that M115 is in danger (after 6597ms proces-to-process, 6379ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 20050.000000 that M114 is in danger (after 2706ms proces-to-process, 1450ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 22988.000000 that M108 is in danger (after 4394ms proces-to-process, 1991ms node-to-node, 1hops, 1versions (9 first, 10 discovered)
leader L13 of team T6 discovered at 43346.000000 that M116 is in danger (after 25418ms proces-to-process, 24013ms node-to-node, 7hops, 7versions (8 first, 15 discovered)
leader L13 of team T6 discovered at 30061.000000 that M111 is in danger (after 10497ms proces-to-process, 7651ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L13 of team T6 discovered at 50367.000000 that M110 is in danger (after 19791ms proces-to-process, 19415ms node-to-node, 3hops, 6versions (14 first, 20 discovered)
leader L13 of team T6 discovered at 33043.000000 that M113 is in danger (after 3888ms proces-to-process, 1639ms node-to-node, 1hops, 1versions (14 first, 15 discovered)
