Config: 
--------------------------------------------
leader L16 of team T8 discovered at 30694.000000 that M152 is in danger (after 2206ms proces-to-process, 1345ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 25269.000000 that M150 is in danger (after 4080ms proces-to-process, 3768ms node-to-node, 1hops, 1versions (10 first, 11 discovered)
leader L16 of team T8 discovered at 31784.000000 that M160 is in danger (after 16136ms proces-to-process, 13028ms node-to-node, 2hops, 3versions (7 first, 10 discovered)
leader L16 of team T8 discovered at 47537.000000 that M161 is in danger (after 27817ms proces-to-process, 26094ms node-to-node, 8hops, 5versions (10 first, 15 discovered)
leader L16 of team T8 discovered at 38753.000000 that M162 is in danger (after 16710ms proces-to-process, 15863ms node-to-node, 10hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 51550.000000 that M165 is in danger (after 21128ms proces-to-process, 18808ms node-to-node, 3hops, 3versions (14 first, 17 discovered)
leader L16 of team T8 discovered at 47046.000000 that M151 is in danger (after 21233ms proces-to-process, 20644ms node-to-node, 7hops, 5versions (11 first, 16 discovered)
leader L16 of team T8 discovered at 34900.000000 that M147 is in danger (after 12905ms proces-to-process, 9708ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 28079.000000 that M153 is in danger (after 7674ms proces-to-process, 7005ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L16 of team T8 discovered at 37030.000000 that M145 is in danger (after 9907ms proces-to-process, 7780ms node-to-node, 2hops, 4versions (13 first, 17 discovered)
leader L16 of team T8 discovered at 31784.000000 that M155 is in danger (after 10549ms proces-to-process, 9302ms node-to-node, 1hops, 3versions (10 first, 13 discovered)
leader L16 of team T8 discovered at 34900.000000 that M154 is in danger (after 12011ms proces-to-process, 10074ms node-to-node, 2hops, 5versions (11 first, 16 discovered)
leader L16 of team T8 discovered at 36318.000000 that M156 is in danger (after 12711ms proces-to-process, 11066ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 26200.000000 that M159 is in danger (after 9471ms proces-to-process, 6840ms node-to-node, 1hops, 1versions (8 first, 9 discovered)
leader L16 of team T8 discovered at 45322.000000 that M158 is in danger (after 26702ms proces-to-process, 25417ms node-to-node, 7hops, 6versions (9 first, 15 discovered)
leader L16 of team T8 discovered at 42065.000000 that M148 is in danger (after 17723ms proces-to-process, 17416ms node-to-node, 7hops, 9versions (11 first, 20 discovered)
leader L16 of team T8 discovered at 24016.000000 that M149 is in danger (after 985ms proces-to-process, 159ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 34167.000000 that M152 is in danger (after 5679ms proces-to-process, 4330ms node-to-node, 8hops, 0versions (13 first, 13 discovered)
leader L17 of team T8 discovered at 33234.000000 that M150 is in danger (after 12045ms proces-to-process, 11837ms node-to-node, 5hops, 5versions (10 first, 15 discovered)
leader L17 of team T8 discovered at 25602.000000 that M160 is in danger (after 9954ms proces-to-process, 7089ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L17 of team T8 discovered at 24509.000000 that M161 is in danger (after 4789ms proces-to-process, 2612ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 25952.000000 that M162 is in danger (after 3909ms proces-to-process, 3817ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 38745.000000 that M165 is in danger (after 8323ms proces-to-process, 5650ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L17 of team T8 discovered at 29618.000000 that M151 is in danger (after 3805ms proces-to-process, 3493ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L17 of team T8 discovered at 34167.000000 that M147 is in danger (after 12172ms proces-to-process, 8902ms node-to-node, 5hops, 4versions (11 first, 15 discovered)
leader L17 of team T8 discovered at 26606.000000 that M153 is in danger (after 6201ms proces-to-process, 6138ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L17 of team T8 discovered at 34604.000000 that M145 is in danger (after 7481ms proces-to-process, 5159ms node-to-node, 10hops, 1versions (13 first, 14 discovered)
leader L17 of team T8 discovered at 41386.000000 that M155 is in danger (after 20151ms proces-to-process, 19477ms node-to-node, 5hops, 7versions (10 first, 17 discovered)
leader L17 of team T8 discovered at 29897.000000 that M154 is in danger (after 7008ms proces-to-process, 4998ms node-to-node, 9hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 32568.000000 that M156 is in danger (after 8961ms proces-to-process, 7772ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L17 of team T8 discovered at 27484.000000 that M159 is in danger (after 10755ms proces-to-process, 8044ms node-to-node, 3hops, 1versions (8 first, 9 discovered)
leader L17 of team T8 discovered at 22461.000000 that M158 is in danger (after 3841ms proces-to-process, 2612ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L17 of team T8 discovered at 31150.000000 that M148 is in danger (after 6808ms proces-to-process, 6094ms node-to-node, 6hops, 2versions (11 first, 13 discovered)
leader L17 of team T8 discovered at 32568.000000 that M149 is in danger (after 9537ms proces-to-process, 9159ms node-to-node, 9hops, 2versions (11 first, 13 discovered)
leader L18 of team T9 discovered at 43805.000000 that M168 is in danger (after 16043ms proces-to-process, 15190ms node-to-node, 8hops, 1versions (14 first, 15 discovered)
leader L18 of team T9 discovered at 34051.000000 that M169 is in danger (after 8365ms proces-to-process, 8035ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L18 of team T9 discovered at 25788.000000 that M179 is in danger (after 2836ms proces-to-process, 635ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
