Config: 
--------------------------------------------
leader L12 of team T6 discovered at 41501.000000 that M124 is in danger (after 15497ms proces-to-process, 14250ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 59601.000000 that M125 is in danger (after 35967ms proces-to-process, 34099ms node-to-node, 8hops, 9versions (11 first, 20 discovered)
leader L12 of team T6 discovered at 34077.000000 that M127 is in danger (after 14909ms proces-to-process, 13718ms node-to-node, 5hops, 1versions (9 first, 10 discovered)
leader L12 of team T6 discovered at 32739.000000 that M119 is in danger (after 6693ms proces-to-process, 3289ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 38417.000000 that M118 is in danger (after 11127ms proces-to-process, 8427ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 27496.000000 that M122 is in danger (after 11449ms proces-to-process, 9894ms node-to-node, 2hops, 0versions (7 first, 7 discovered)
leader L12 of team T6 discovered at 36987.000000 that M123 is in danger (after 13733ms proces-to-process, 11583ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L12 of team T6 discovered at 36987.000000 that M115 is in danger (after 6955ms proces-to-process, 6494ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 21996.000000 that M114 is in danger (after 4652ms proces-to-process, 3157ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 24491.000000 that M108 is in danger (after 5897ms proces-to-process, 3066ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L12 of team T6 discovered at 36987.000000 that M116 is in danger (after 19059ms proces-to-process, 17663ms node-to-node, 6hops, 3versions (8 first, 11 discovered)
leader L12 of team T6 discovered at 36987.000000 that M111 is in danger (after 17423ms proces-to-process, 14799ms node-to-node, 6hops, 3versions (10 first, 13 discovered)
leader L12 of team T6 discovered at 46236.000000 that M110 is in danger (after 15660ms proces-to-process, 14515ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L12 of team T6 discovered at 42061.000000 that M113 is in danger (after 12906ms proces-to-process, 11142ms node-to-node, 1hops, 3versions (14 first, 17 discovered)
leader L12 of team T6 discovered at 31925.000000 that M128 is in danger (after 10895ms proces-to-process, 9452ms node-to-node, 6hops, 0versions (10 first, 10 discovered)
leader L12 of team T6 discovered at 44626.000000 that M120 is in danger (after 20515ms proces-to-process, 17274ms node-to-node, 9hops, 2versions (12 first, 14 discovered)
leader L12 of team T6 discovered at 35666.000000 that M117 is in danger (after 11117ms proces-to-process, 7622ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 41501.000000 that M121 is in danger (after 12856ms proces-to-process, 12561ms node-to-node, 4hops, 3versions (13 first, 16 discovered)
leader L13 of team T6 discovered at 34962.000000 that M124 is in danger (after 8958ms proces-to-process, 7542ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
