Config: 
--------------------------------------------
leader L16 of team T8 discovered at 23458.000000 that M150 is in danger (after 2269ms proces-to-process, 2013ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 26459.000000 that M160 is in danger (after 10811ms proces-to-process, 8168ms node-to-node, 6hops, 1versions (7 first, 8 discovered)
leader L16 of team T8 discovered at 22739.000000 that M161 is in danger (after 3019ms proces-to-process, 807ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 23458.000000 that M164 is in danger (after 6519ms proces-to-process, 5508ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 31784.000000 that M151 is in danger (after 5911ms proces-to-process, 5517ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 31784.000000 that M147 is in danger (after 9789ms proces-to-process, 6200ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 26757.000000 that M153 is in danger (after 6352ms proces-to-process, 6271ms node-to-node, 8hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 35430.000000 that M152 is in danger (after 6942ms proces-to-process, 6302ms node-to-node, 8hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 29377.000000 that M155 is in danger (after 8142ms proces-to-process, 7442ms node-to-node, 5hops, 1versions (10 first, 11 discovered)
leader L16 of team T8 discovered at 30694.000000 that M154 is in danger (after 7805ms proces-to-process, 5777ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 33638.000000 that M156 is in danger (after 10031ms proces-to-process, 9060ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 28599.000000 that M159 is in danger (after 11870ms proces-to-process, 9188ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L16 of team T8 discovered at 29690.000000 that M158 is in danger (after 11070ms proces-to-process, 10222ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L16 of team T8 discovered at 34317.000000 that M148 is in danger (after 9975ms proces-to-process, 9546ms node-to-node, 9hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 29377.000000 that M149 is in danger (after 6346ms proces-to-process, 5472ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L17 of team T8 discovered at 44125.000000 that M150 is in danger (after 22936ms proces-to-process, 22767ms node-to-node, 4hops, 7versions (10 first, 17 discovered)
leader L17 of team T8 discovered at 29618.000000 that M160 is in danger (after 13970ms proces-to-process, 11267ms node-to-node, 6hops, 1versions (7 first, 8 discovered)
leader L17 of team T8 discovered at 27484.000000 that M161 is in danger (after 7764ms proces-to-process, 5988ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 32568.000000 that M164 is in danger (after 15629ms proces-to-process, 14528ms node-to-node, 3hops, 4versions (8 first, 12 discovered)
leader L17 of team T8 discovered at 52729.000000 that M151 is in danger (after 26856ms proces-to-process, 26373ms node-to-node, 8hops, 8versions (11 first, 19 discovered)
