Config: 
--------------------------------------------
leader L4 of team T2 discovered at 23975.000000 that M48 is in danger (after 4182ms proces-to-process, 2940ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L4 of team T2 discovered at 25449.000000 that M49 is in danger (after 6850ms proces-to-process, 3540ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L4 of team T2 discovered at 25449.000000 that M51 is in danger (after 4780ms proces-to-process, 2478ms node-to-node, 1hops, 2versions (10 first, 12 discovered)
leader L4 of team T2 discovered at 19629.000000 that M50 is in danger (after 2628ms proces-to-process, 482ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 17532.000000 that M53 is in danger (after 1858ms proces-to-process, 835ms node-to-node, 2hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 26013.000000 that M52 is in danger (after 2654ms proces-to-process, 623ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 51682.000000 that M42 is in danger (after 21831ms proces-to-process, 20119ms node-to-node, 10hops, 5versions (14 first, 19 discovered)
leader L4 of team T2 discovered at 21132.000000 that M36 is in danger (after 5487ms proces-to-process, 2817ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L4 of team T2 discovered at 30535.000000 that M40 is in danger (after 7270ms proces-to-process, 4404ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 30535.000000 that M41 is in danger (after 3308ms proces-to-process, 2032ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 26013.000000 that M46 is in danger (after 510ms proces-to-process, 115ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 22673.000000 that M47 is in danger (after 5250ms proces-to-process, 3067ms node-to-node, 1hops, 1versions (8 first, 9 discovered)
leader L4 of team T2 discovered at 28514.000000 that M44 is in danger (after 4099ms proces-to-process, 2567ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 31665.000000 that M45 is in danger (after 9277ms proces-to-process, 8931ms node-to-node, 3hops, 4versions (11 first, 15 discovered)
leader L4 of team T2 discovered at 31665.000000 that M57 is in danger (after 5783ms proces-to-process, 5344ms node-to-node, 2hops, 2versions (12 first, 14 discovered)
leader L4 of team T2 discovered at 23975.000000 that M56 is in danger (after 4853ms proces-to-process, 3120ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L4 of team T2 discovered at 33332.000000 that M43 is in danger (after 12197ms proces-to-process, 9208ms node-to-node, 9hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 32727.000000 that M58 is in danger (after 3766ms proces-to-process, 3503ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L5 of team T2 discovered at 22678.000000 that M48 is in danger (after 2885ms proces-to-process, 969ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
