Config: 
--------------------------------------------
leader L12 of team T6 discovered at 35666.000000 that M124 is in danger (after 9662ms proces-to-process, 8247ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 36306.000000 that M125 is in danger (after 12672ms proces-to-process, 10687ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L12 of team T6 discovered at 40445.000000 that M126 is in danger (after 14036ms proces-to-process, 12092ms node-to-node, 6hops, 2versions (13 first, 15 discovered)
leader L12 of team T6 discovered at 20253.000000 that M127 is in danger (after 1085ms proces-to-process, 153ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L12 of team T6 discovered at 38417.000000 that M119 is in danger (after 12371ms proces-to-process, 8789ms node-to-node, 1hops, 2versions (13 first, 15 discovered)
leader L12 of team T6 discovered at 38741.000000 that M118 is in danger (after 11451ms proces-to-process, 8891ms node-to-node, 1hops, 2versions (14 first, 16 discovered)
leader L12 of team T6 discovered at 18632.000000 that M122 is in danger (after 2585ms proces-to-process, 805ms node-to-node, 2hops, 0versions (7 first, 7 discovered)
leader L12 of team T6 discovered at 31925.000000 that M123 is in danger (after 8671ms proces-to-process, 6716ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L12 of team T6 discovered at 36987.000000 that M115 is in danger (after 6955ms proces-to-process, 6663ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 24491.000000 that M114 is in danger (after 7147ms proces-to-process, 5452ms node-to-node, 2hops, 2versions (8 first, 10 discovered)
leader L12 of team T6 discovered at 23014.000000 that M108 is in danger (after 4420ms proces-to-process, 1834ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L12 of team T6 discovered at 40993.000000 that M116 is in danger (after 23065ms proces-to-process, 22085ms node-to-node, 8hops, 7versions (8 first, 15 discovered)
leader L12 of team T6 discovered at 30369.000000 that M111 is in danger (after 10805ms proces-to-process, 8240ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L12 of team T6 discovered at 44881.000000 that M110 is in danger (after 14305ms proces-to-process, 14097ms node-to-node, 4hops, 4versions (14 first, 18 discovered)
leader L12 of team T6 discovered at 37524.000000 that M113 is in danger (after 8369ms proces-to-process, 6490ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L12 of team T6 discovered at 34552.000000 that M112 is in danger (after 12209ms proces-to-process, 9647ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L12 of team T6 discovered at 29947.000000 that M120 is in danger (after 5836ms proces-to-process, 2888ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L12 of team T6 discovered at 23692.000000 that M130 is in danger (after 5335ms proces-to-process, 4620ms node-to-node, 4hops, 2versions (8 first, 10 discovered)
leader L12 of team T6 discovered at 34077.000000 that M117 is in danger (after 9528ms proces-to-process, 5759ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 31925.000000 that M121 is in danger (after 3280ms proces-to-process, 3051ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 33043.000000 that M124 is in danger (after 7039ms proces-to-process, 5293ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 49361.000000 that M125 is in danger (after 25727ms proces-to-process, 23375ms node-to-node, 2hops, 7versions (11 first, 18 discovered)
leader L13 of team T6 discovered at 47495.000000 that M126 is in danger (after 21086ms proces-to-process, 19366ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 30655.000000 that M127 is in danger (after 11487ms proces-to-process, 10590ms node-to-node, 2hops, 2versions (9 first, 11 discovered)
leader L13 of team T6 discovered at 55555.000000 that M119 is in danger (after 29509ms proces-to-process, 26257ms node-to-node, 3hops, 4versions (13 first, 17 discovered)
leader L13 of team T6 discovered at 45239.000000 that M118 is in danger (after 17949ms proces-to-process, 15272ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L13 of team T6 discovered at 31893.000000 that M122 is in danger (after 15846ms proces-to-process, 14452ms node-to-node, 6hops, 2versions (7 first, 9 discovered)
leader L13 of team T6 discovered at 39998.000000 that M123 is in danger (after 16744ms proces-to-process, 14430ms node-to-node, 2hops, 3versions (11 first, 14 discovered)
leader L13 of team T6 discovered at 45648.000000 that M115 is in danger (after 15616ms proces-to-process, 15155ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 44819.000000 that M114 is in danger (after 27475ms proces-to-process, 26357ms node-to-node, 11hops, 4versions (8 first, 12 discovered)
leader L13 of team T6 discovered at 33043.000000 that M108 is in danger (after 14449ms proces-to-process, 11636ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L13 of team T6 discovered at 45648.000000 that M116 is in danger (after 27720ms proces-to-process, 26678ms node-to-node, 9hops, 7versions (8 first, 15 discovered)
leader L13 of team T6 discovered at 41090.000000 that M111 is in danger (after 21526ms proces-to-process, 18718ms node-to-node, 8hops, 0versions (10 first, 10 discovered)
leader L13 of team T6 discovered at 58505.000000 that M110 is in danger (after 27929ms proces-to-process, 27662ms node-to-node, 10hops, 4versions (14 first, 18 discovered)
leader L13 of team T6 discovered at 45648.000000 that M113 is in danger (after 16493ms proces-to-process, 14483ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L13 of team T6 discovered at 53194.000000 that M112 is in danger (after 30851ms proces-to-process, 28364ms node-to-node, 12hops, 5versions (11 first, 16 discovered)
leader L13 of team T6 discovered at 41557.000000 that M120 is in danger (after 17446ms proces-to-process, 14487ms node-to-node, 5hops, 4versions (12 first, 16 discovered)
leader L13 of team T6 discovered at 43779.000000 that M130 is in danger (after 25422ms proces-to-process, 25025ms node-to-node, 11hops, 7versions (8 first, 15 discovered)
leader L13 of team T6 discovered at 43346.000000 that M117 is in danger (after 18797ms proces-to-process, 15344ms node-to-node, 11hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 37358.000000 that M121 is in danger (after 8713ms proces-to-process, 7857ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 40669.000000 that M137 is in danger (after 12790ms proces-to-process, 11895ms node-to-node, 9hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 25076.000000 that M136 is in danger (after 4032ms proces-to-process, 2980ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
leader L14 of team T7 discovered at 21749.000000 that M135 is in danger (after 3854ms proces-to-process, 2190ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 27600.000000 that M134 is in danger (after 7180ms proces-to-process, 4431ms node-to-node, 4hops, 2versions (10 first, 12 discovered)
leader L14 of team T7 discovered at 29089.000000 that M133 is in danger (after 11576ms proces-to-process, 9297ms node-to-node, 7hops, 1versions (9 first, 10 discovered)
leader L14 of team T7 discovered at 39568.000000 that M132 is in danger (after 14324ms proces-to-process, 12130ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
leader L14 of team T7 discovered at 37352.000000 that M131 is in danger (after 15117ms proces-to-process, 13482ms node-to-node, 5hops, 4versions (10 first, 14 discovered)
leader L14 of team T7 discovered at 32262.000000 that M128 is in danger (after 11232ms proces-to-process, 10263ms node-to-node, 5hops, 1versions (10 first, 11 discovered)
leader L14 of team T7 discovered at 24082.000000 that M129 is in danger (after 4616ms proces-to-process, 3836ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L14 of team T7 discovered at 34961.000000 that M139 is in danger (after 6455ms proces-to-process, 5444ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 32821.000000 that M138 is in danger (after 2504ms proces-to-process, 2415ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L14 of team T7 discovered at 38530.000000 that M146 is in danger (after 8727ms proces-to-process, 6635ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L14 of team T7 discovered at 29729.000000 that M147 is in danger (after 7734ms proces-to-process, 4551ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L14 of team T7 discovered at 32821.000000 that M144 is in danger (after 4247ms proces-to-process, 1663ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L14 of team T7 discovered at 32262.000000 that M145 is in danger (after 5139ms proces-to-process, 2850ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 29729.000000 that M142 is in danger (after 10121ms proces-to-process, 8140ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 33173.000000 that M143 is in danger (after 6895ms proces-to-process, 5072ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L14 of team T7 discovered at 33173.000000 that M140 is in danger (after 5734ms proces-to-process, 5577ms node-to-node, 2hops, 2versions (13 first, 15 discovered)
leader L14 of team T7 discovered at 26585.000000 that M141 is in danger (after 10065ms proces-to-process, 9234ms node-to-node, 2hops, 1versions (7 first, 8 discovered)
leader L14 of team T7 discovered at 26585.000000 that M148 is in danger (after 2243ms proces-to-process, 1654ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L15 of team T7 discovered at 29465.000000 that M137 is in danger (after 1586ms proces-to-process, 188ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 26979.000000 that M136 is in danger (after 5935ms proces-to-process, 4911ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 27680.000000 that M135 is in danger (after 9785ms proces-to-process, 7708ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 30966.000000 that M134 is in danger (after 10546ms proces-to-process, 8091ms node-to-node, 7hops, 2versions (10 first, 12 discovered)
leader L15 of team T7 discovered at 24871.000000 that M133 is in danger (after 7358ms proces-to-process, 5679ms node-to-node, 1hops, 1versions (9 first, 10 discovered)
leader L15 of team T7 discovered at 35175.000000 that M132 is in danger (after 9931ms proces-to-process, 8166ms node-to-node, 2hops, 2versions (12 first, 14 discovered)
leader L15 of team T7 discovered at 24363.000000 that M131 is in danger (after 2128ms proces-to-process, 189ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 36678.000000 that M128 is in danger (after 15648ms proces-to-process, 14003ms node-to-node, 3hops, 2versions (10 first, 12 discovered)
