Config: 
--------------------------------------------
leader L12 of team T6 discovered at 28738.000000 that M124 is in danger (after 2734ms proces-to-process, 1407ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 30757.000000 that M125 is in danger (after 7123ms proces-to-process, 5136ms node-to-node, 4hops, 2versions (11 first, 13 discovered)
leader L12 of team T6 discovered at 31011.000000 that M126 is in danger (after 4602ms proces-to-process, 3036ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 22542.000000 that M127 is in danger (after 3374ms proces-to-process, 2441ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L12 of team T6 discovered at 32397.000000 that M119 is in danger (after 6351ms proces-to-process, 2832ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 31925.000000 that M118 is in danger (after 4635ms proces-to-process, 1326ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L12 of team T6 discovered at 31925.000000 that M122 is in danger (after 15878ms proces-to-process, 14137ms node-to-node, 1hops, 3versions (7 first, 10 discovered)
leader L12 of team T6 discovered at 29947.000000 that M123 is in danger (after 6693ms proces-to-process, 4542ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L12 of team T6 discovered at 34077.000000 that M115 is in danger (after 4045ms proces-to-process, 3696ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 18929.000000 that M114 is in danger (after 1585ms proces-to-process, 216ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 31011.000000 that M117 is in danger (after 6462ms proces-to-process, 3063ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 24491.000000 that M116 is in danger (after 6563ms proces-to-process, 5616ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 24491.000000 that M111 is in danger (after 4927ms proces-to-process, 2017ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L12 of team T6 discovered at 32739.000000 that M110 is in danger (after 2163ms proces-to-process, 1407ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 31925.000000 that M113 is in danger (after 2770ms proces-to-process, 590ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 28381.000000 that M112 is in danger (after 6038ms proces-to-process, 2919ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L12 of team T6 discovered at 23014.000000 that M128 is in danger (after 1984ms proces-to-process, 806ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L12 of team T6 discovered at 31925.000000 that M120 is in danger (after 7814ms proces-to-process, 5116ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L12 of team T6 discovered at 25749.000000 that M129 is in danger (after 6283ms proces-to-process, 5179ms node-to-node, 6hops, 2versions (8 first, 10 discovered)
leader L12 of team T6 discovered at 31925.000000 that M121 is in danger (after 3280ms proces-to-process, 3042ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 41090.000000 that M124 is in danger (after 15086ms proces-to-process, 13585ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 36484.000000 that M125 is in danger (after 12850ms proces-to-process, 10499ms node-to-node, 4hops, 2versions (11 first, 13 discovered)
leader L13 of team T6 discovered at 38957.000000 that M126 is in danger (after 12548ms proces-to-process, 11040ms node-to-node, 9hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 28048.000000 that M127 is in danger (after 8880ms proces-to-process, 7895ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L13 of team T6 discovered at 33440.000000 that M119 is in danger (after 7394ms proces-to-process, 4230ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 37358.000000 that M118 is in danger (after 10068ms proces-to-process, 7210ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L13 of team T6 discovered at 39508.000000 that M122 is in danger (after 23461ms proces-to-process, 21580ms node-to-node, 5hops, 3versions (7 first, 10 discovered)
leader L13 of team T6 discovered at 36629.000000 that M123 is in danger (after 13375ms proces-to-process, 11375ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 discovered at 43346.000000 that M115 is in danger (after 13314ms proces-to-process, 12849ms node-to-node, 6hops, 2versions (13 first, 15 discovered)
leader L13 of team T6 discovered at 41557.000000 that M114 is in danger (after 24213ms proces-to-process, 22980ms node-to-node, 6hops, 8versions (8 first, 16 discovered)
leader L13 of team T6 discovered at 43779.000000 that M117 is in danger (after 19230ms proces-to-process, 15802ms node-to-node, 8hops, 3versions (13 first, 16 discovered)
leader L13 of team T6 discovered at 22669.000000 that M116 is in danger (after 4741ms proces-to-process, 3808ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 22988.000000 that M111 is in danger (after 3424ms proces-to-process, 844ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L13 of team T6 discovered at 49361.000000 that M110 is in danger (after 18785ms proces-to-process, 17930ms node-to-node, 7hops, 5versions (14 first, 19 discovered)
leader L13 of team T6 discovered at 45239.000000 that M113 is in danger (after 16084ms proces-to-process, 14122ms node-to-node, 6hops, 2versions (14 first, 16 discovered)
leader L13 of team T6 discovered at 26791.000000 that M112 is in danger (after 4448ms proces-to-process, 1617ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 discovered at 33043.000000 that M128 is in danger (after 12013ms proces-to-process, 10621ms node-to-node, 5hops, 1versions (10 first, 11 discovered)
leader L13 of team T6 discovered at 36484.000000 that M120 is in danger (after 12373ms proces-to-process, 9260ms node-to-node, 3hops, 1versions (12 first, 13 discovered)
leader L13 of team T6 discovered at 31893.000000 that M129 is in danger (after 12427ms proces-to-process, 11583ms node-to-node, 5hops, 2versions (8 first, 10 discovered)
leader L13 of team T6 discovered at 37691.000000 that M121 is in danger (after 9046ms proces-to-process, 8752ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 36607.000000 that M137 is in danger (after 8728ms proces-to-process, 7482ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 30553.000000 that M136 is in danger (after 9509ms proces-to-process, 8437ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L14 of team T7 discovered at 32821.000000 that M135 is in danger (after 14926ms proces-to-process, 13024ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 30553.000000 that M134 is in danger (after 10133ms proces-to-process, 7156ms node-to-node, 1hops, 1versions (10 first, 11 discovered)
leader L14 of team T7 discovered at 34961.000000 that M133 is in danger (after 17448ms proces-to-process, 15935ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 44154.000000 that M132 is in danger (after 18910ms proces-to-process, 16450ms node-to-node, 2hops, 4versions (12 first, 16 discovered)
leader L14 of team T7 discovered at 32821.000000 that M131 is in danger (after 10586ms proces-to-process, 8853ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L14 of team T7 discovered at 31550.000000 that M130 is in danger (after 13193ms proces-to-process, 12631ms node-to-node, 7hops, 1versions (8 first, 9 discovered)
leader L14 of team T7 discovered at 39568.000000 that M139 is in danger (after 11062ms proces-to-process, 9902ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 34145.000000 that M138 is in danger (after 3828ms proces-to-process, 3322ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L14 of team T7 discovered at 33173.000000 that M146 is in danger (after 3370ms proces-to-process, 1212ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L14 of team T7 discovered at 27600.000000 that M147 is in danger (after 5605ms proces-to-process, 2226ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L14 of team T7 discovered at 40963.000000 that M144 is in danger (after 12389ms proces-to-process, 10117ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L14 of team T7 discovered at 41245.000000 that M145 is in danger (after 14122ms proces-to-process, 11835ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 34173.000000 that M142 is in danger (after 14565ms proces-to-process, 13023ms node-to-node, 6hops, 3versions (9 first, 12 discovered)
leader L14 of team T7 discovered at 37352.000000 that M143 is in danger (after 11074ms proces-to-process, 8896ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L14 of team T7 discovered at 37352.000000 that M140 is in danger (after 9913ms proces-to-process, 9152ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 19279.000000 that M141 is in danger (after 2759ms proces-to-process, 1855ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L14 of team T7 discovered at 34145.000000 that M148 is in danger (after 9803ms proces-to-process, 9393ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L15 of team T7 discovered at 29813.000000 that M137 is in danger (after 1934ms proces-to-process, 805ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 23688.000000 that M136 is in danger (after 2644ms proces-to-process, 1815ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 24871.000000 that M135 is in danger (after 6976ms proces-to-process, 5204ms node-to-node, 3hops, 2versions (9 first, 11 discovered)
leader L15 of team T7 discovered at 32598.000000 that M134 is in danger (after 12178ms proces-to-process, 9756ms node-to-node, 6hops, 1versions (10 first, 11 discovered)
leader L15 of team T7 discovered at 24363.000000 that M133 is in danger (after 6850ms proces-to-process, 4919ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L15 of team T7 discovered at 36678.000000 that M132 is in danger (after 11434ms proces-to-process, 9441ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L15 of team T7 discovered at 26033.000000 that M131 is in danger (after 3798ms proces-to-process, 1997ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L15 of team T7 discovered at 21899.000000 that M130 is in danger (after 3542ms proces-to-process, 2466ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L15 of team T7 discovered at 35175.000000 that M139 is in danger (after 6669ms proces-to-process, 6259ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L15 of team T7 discovered at 36678.000000 that M138 is in danger (after 6361ms proces-to-process, 5730ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L15 of team T7 discovered at 38554.000000 that M146 is in danger (after 8751ms proces-to-process, 6819ms node-to-node, 4hops, 2versions (14 first, 16 discovered)
leader L15 of team T7 discovered at 27680.000000 that M147 is in danger (after 5685ms proces-to-process, 2418ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L15 of team T7 discovered at 32598.000000 that M144 is in danger (after 4024ms proces-to-process, 1383ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
