Config: 
--------------------------------------------
leader L4 of team T2 discovered at 27042.000000 that M52 is in danger (after 3683ms proces-to-process, 1715ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 30535.000000 that M48 is in danger (after 10742ms proces-to-process, 9003ms node-to-node, 11hops, 2versions (9 first, 11 discovered)
leader L4 of team T2 discovered at 32520.000000 that M49 is in danger (after 13921ms proces-to-process, 10754ms node-to-node, 6hops, 5versions (9 first, 14 discovered)
leader L4 of team T2 discovered at 26013.000000 that M51 is in danger (after 5344ms proces-to-process, 3075ms node-to-node, 2hops, 2versions (10 first, 12 discovered)
leader L4 of team T2 discovered at 30535.000000 that M50 is in danger (after 13534ms proces-to-process, 11797ms node-to-node, 11hops, 3versions (8 first, 11 discovered)
leader L4 of team T2 discovered at 18235.000000 that M53 is in danger (after 2561ms proces-to-process, 1291ms node-to-node, 3hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 28514.000000 that M38 is in danger (after 2758ms proces-to-process, 1956ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 25449.000000 that M37 is in danger (after 2517ms proces-to-process, 563ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 36683.000000 that M43 is in danger (after 15548ms proces-to-process, 12190ms node-to-node, 4hops, 4versions (11 first, 15 discovered)
leader L4 of team T2 discovered at 30535.000000 that M40 is in danger (after 7270ms proces-to-process, 4492ms node-to-node, 8hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 29734.000000 that M41 is in danger (after 2507ms proces-to-process, 1278ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 26013.000000 that M46 is in danger (after 510ms proces-to-process, 65ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 20587.000000 that M47 is in danger (after 3164ms proces-to-process, 950ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 37098.000000 that M44 is in danger (after 12683ms proces-to-process, 11172ms node-to-node, 7hops, 4versions (11 first, 15 discovered)
leader L4 of team T2 discovered at 26013.000000 that M45 is in danger (after 3625ms proces-to-process, 3146ms node-to-node, 8hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 31665.000000 that M42 is in danger (after 1814ms proces-to-process, 666ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L4 of team T2 discovered at 31665.000000 that M57 is in danger (after 5783ms proces-to-process, 5026ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 31665.000000 that M54 is in danger (after 13152ms proces-to-process, 11381ms node-to-node, 9hops, 5versions (8 first, 13 discovered)
leader L4 of team T2 discovered at 32520.000000 that M58 is in danger (after 3559ms proces-to-process, 3328ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L5 of team T2 discovered at 27136.000000 that M52 is in danger (after 3777ms proces-to-process, 1732ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L5 of team T2 discovered at 30069.000000 that M48 is in danger (after 10276ms proces-to-process, 9003ms node-to-node, 11hops, 2versions (9 first, 11 discovered)
leader L5 of team T2 discovered at 33604.000000 that M49 is in danger (after 15005ms proces-to-process, 12109ms node-to-node, 7hops, 5versions (9 first, 14 discovered)
leader L5 of team T2 discovered at 26267.000000 that M51 is in danger (after 5598ms proces-to-process, 3075ms node-to-node, 2hops, 2versions (10 first, 12 discovered)
leader L5 of team T2 discovered at 32174.000000 that M50 is in danger (after 15173ms proces-to-process, 13526ms node-to-node, 12hops, 3versions (8 first, 11 discovered)
leader L5 of team T2 discovered at 18935.000000 that M53 is in danger (after 3261ms proces-to-process, 1582ms node-to-node, 5hops, 0versions (7 first, 7 discovered)
leader L5 of team T2 discovered at 28733.000000 that M38 is in danger (after 2977ms proces-to-process, 2499ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 25174.000000 that M37 is in danger (after 2242ms proces-to-process, 776ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 36590.000000 that M43 is in danger (after 15455ms proces-to-process, 12384ms node-to-node, 5hops, 4versions (11 first, 15 discovered)
leader L5 of team T2 discovered at 32174.000000 that M40 is in danger (after 8909ms proces-to-process, 6296ms node-to-node, 9hops, 1versions (12 first, 13 discovered)
leader L5 of team T2 discovered at 31057.000000 that M41 is in danger (after 3830ms proces-to-process, 2366ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 25789.000000 that M46 is in danger (after 286ms proces-to-process, 65ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 20627.000000 that M47 is in danger (after 3204ms proces-to-process, 1317ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 37235.000000 that M44 is in danger (after 12820ms proces-to-process, 11288ms node-to-node, 8hops, 4versions (11 first, 15 discovered)
leader L5 of team T2 discovered at 26267.000000 that M45 is in danger (after 3879ms proces-to-process, 3146ms node-to-node, 8hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 33065.000000 that M42 is in danger (after 3214ms proces-to-process, 2159ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L5 of team T2 discovered at 33065.000000 that M57 is in danger (after 7183ms proces-to-process, 6796ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 32174.000000 that M54 is in danger (after 13661ms proces-to-process, 12498ms node-to-node, 10hops, 5versions (8 first, 13 discovered)
leader L5 of team T2 discovered at 34577.000000 that M58 is in danger (after 5616ms proces-to-process, 4733ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L6 of team T3 discovered at 23399.000000 that M55 is in danger (after 7144ms proces-to-process, 6532ms node-to-node, 5hops, 1versions (7 first, 8 discovered)
leader L6 of team T3 discovered at 32794.000000 that M60 is in danger (after 7358ms proces-to-process, 7068ms node-to-node, 4hops, 2versions (12 first, 14 discovered)
leader L6 of team T3 discovered at 25257.000000 that M62 is in danger (after 7176ms proces-to-process, 4855ms node-to-node, 5hops, 2versions (8 first, 10 discovered)
leader L6 of team T3 discovered at 26297.000000 that M56 is in danger (after 7175ms proces-to-process, 5542ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L6 of team T3 discovered at 30135.000000 that M64 is in danger (after 3125ms proces-to-process, 2720ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L6 of team T3 discovered at 28525.000000 that M65 is in danger (after 3217ms proces-to-process, 2385ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 31234.000000 that M66 is in danger (after 3016ms proces-to-process, 1292ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L6 of team T3 discovered at 37358.000000 that M61 is in danger (after 7356ms proces-to-process, 5934ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L6 of team T3 discovered at 25257.000000 that M68 is in danger (after 2533ms proces-to-process, 2100ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L6 of team T3 discovered at 23903.000000 that M69 is in danger (after 3410ms proces-to-process, 482ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L6 of team T3 discovered at 29275.000000 that M67 is in danger (after 9673ms proces-to-process, 8740ms node-to-node, 4hops, 4versions (8 first, 12 discovered)
leader L6 of team T3 discovered at 30839.000000 that M59 is in danger (after 3789ms proces-to-process, 1502ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L6 of team T3 discovered at 29589.000000 that M71 is in danger (after 2516ms proces-to-process, 690ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L6 of team T3 discovered at 34830.000000 that M72 is in danger (after 5246ms proces-to-process, 2754ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L6 of team T3 discovered at 23903.000000 that M73 is in danger (after 1999ms proces-to-process, 186ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L6 of team T3 discovered at 28027.000000 that M63 is in danger (after 3524ms proces-to-process, 2174ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 23903.000000 that M70 is in danger (after 1592ms proces-to-process, 245ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L6 of team T3 discovered at 38232.000000 that M75 is in danger (after 16264ms proces-to-process, 13944ms node-to-node, 5hops, 4versions (11 first, 15 discovered)
leader L6 of team T3 discovered at 27688.000000 that M74 is in danger (after 4041ms proces-to-process, 2207ms node-to-node, 1hops, 1versions (12 first, 13 discovered)
leader L6 of team T3 discovered at 34830.000000 that M76 is in danger (after 9550ms proces-to-process, 5433ms node-to-node, 7hops, 1versions (13 first, 14 discovered)
leader L7 of team T3 discovered at 21724.000000 that M55 is in danger (after 5469ms proces-to-process, 4545ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L7 of team T3 discovered at 31240.000000 that M60 is in danger (after 5804ms proces-to-process, 5568ms node-to-node, 7hops, 0versions (12 first, 12 discovered)
leader L7 of team T3 discovered at 20710.000000 that M62 is in danger (after 2629ms proces-to-process, 409ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L7 of team T3 discovered at 26262.000000 that M56 is in danger (after 7140ms proces-to-process, 5450ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L7 of team T3 discovered at 30055.000000 that M64 is in danger (after 3045ms proces-to-process, 2751ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L7 of team T3 discovered at 26736.000000 that M65 is in danger (after 1428ms proces-to-process, 606ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L7 of team T3 discovered at 31240.000000 that M66 is in danger (after 3022ms proces-to-process, 729ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L7 of team T3 discovered at 34351.000000 that M61 is in danger (after 4349ms proces-to-process, 3111ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L7 of team T3 discovered at 23612.000000 that M68 is in danger (after 888ms proces-to-process, 604ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L7 of team T3 discovered at 25198.000000 that M69 is in danger (after 4705ms proces-to-process, 1540ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L7 of team T3 discovered at 20710.000000 that M67 is in danger (after 1108ms proces-to-process, 203ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L7 of team T3 discovered at 31240.000000 that M59 is in danger (after 4190ms proces-to-process, 1548ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L7 of team T3 discovered at 30351.000000 that M71 is in danger (after 3278ms proces-to-process, 1381ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L7 of team T3 discovered at 32446.000000 that M72 is in danger (after 2862ms proces-to-process, 211ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L7 of team T3 discovered at 30055.000000 that M73 is in danger (after 8151ms proces-to-process, 6618ms node-to-node, 6hops, 3versions (10 first, 13 discovered)
leader L7 of team T3 discovered at 26736.000000 that M63 is in danger (after 2233ms proces-to-process, 861ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L7 of team T3 discovered at 25198.000000 that M70 is in danger (after 2887ms proces-to-process, 1563ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
