Config: 
--------------------------------------------
leader L16 of team T8 discovered at 26757.000000 that M160 is in danger (after 11109ms proces-to-process, 8442ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L16 of team T8 discovered at 37801.000000 that M161 is in danger (after 18081ms proces-to-process, 15950ms node-to-node, 4hops, 4versions (10 first, 14 discovered)
leader L16 of team T8 discovered at 33638.000000 that M162 is in danger (after 11595ms proces-to-process, 10800ms node-to-node, 8hops, 2versions (10 first, 12 discovered)
leader L16 of team T8 discovered at 33638.000000 that M153 is in danger (after 13233ms proces-to-process, 13125ms node-to-node, 9hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 24790.000000 that M166 is in danger (after 6824ms proces-to-process, 4759ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 37030.000000 that M165 is in danger (after 6608ms proces-to-process, 4102ms node-to-node, 5hops, 2versions (14 first, 16 discovered)
leader L16 of team T8 discovered at 32313.000000 that M151 is in danger (after 6440ms proces-to-process, 6339ms node-to-node, 9hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 27369.000000 that M150 is in danger (after 6180ms proces-to-process, 5951ms node-to-node, 5hops, 1versions (10 first, 11 discovered)
leader L16 of team T8 discovered at 33694.000000 that M144 is in danger (after 5120ms proces-to-process, 2954ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L16 of team T8 discovered at 32745.000000 that M152 is in danger (after 4257ms proces-to-process, 3757ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 30694.000000 that M155 is in danger (after 9459ms proces-to-process, 8858ms node-to-node, 7hops, 1versions (10 first, 11 discovered)
leader L16 of team T8 discovered at 34900.000000 that M154 is in danger (after 12011ms proces-to-process, 9988ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 30694.000000 that M156 is in danger (after 7087ms proces-to-process, 5909ms node-to-node, 1hops, 3versions (11 first, 14 discovered)
leader L16 of team T8 discovered at 21730.000000 that M159 is in danger (after 5001ms proces-to-process, 2010ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 23093.000000 that M158 is in danger (after 4473ms proces-to-process, 3541ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 30203.000000 that M148 is in danger (after 5861ms proces-to-process, 5734ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 29377.000000 that M149 is in danger (after 6346ms proces-to-process, 5608ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 29094.000000 that M160 is in danger (after 13446ms proces-to-process, 10249ms node-to-node, 7hops, 1versions (7 first, 8 discovered)
leader L17 of team T8 discovered at 37977.000000 that M161 is in danger (after 18257ms proces-to-process, 16554ms node-to-node, 5hops, 4versions (10 first, 14 discovered)
leader L17 of team T8 discovered at 46748.000000 that M162 is in danger (after 24705ms proces-to-process, 23959ms node-to-node, 13hops, 2versions (10 first, 12 discovered)
leader L17 of team T8 discovered at 24509.000000 that M153 is in danger (after 4104ms proces-to-process, 3753ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L17 of team T8 discovered at 29094.000000 that M166 is in danger (after 11128ms proces-to-process, 8939ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L17 of team T8 discovered at 34167.000000 that M165 is in danger (after 3745ms proces-to-process, 1722ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L17 of team T8 discovered at 31150.000000 that M151 is in danger (after 5277ms proces-to-process, 5133ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 28137.000000 that M150 is in danger (after 6948ms proces-to-process, 6553ms node-to-node, 6hops, 1versions (10 first, 11 discovered)
leader L17 of team T8 discovered at 34604.000000 that M144 is in danger (after 6030ms proces-to-process, 3558ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L17 of team T8 discovered at 29618.000000 that M152 is in danger (after 1130ms proces-to-process, 140ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L17 of team T8 discovered at 26606.000000 that M155 is in danger (after 5371ms proces-to-process, 4597ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 33234.000000 that M154 is in danger (after 10345ms proces-to-process, 8208ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 27484.000000 that M156 is in danger (after 3877ms proces-to-process, 2613ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 21807.000000 that M159 is in danger (after 5078ms proces-to-process, 2614ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L17 of team T8 discovered at 25952.000000 that M158 is in danger (after 7332ms proces-to-process, 6336ms node-to-node, 4hops, 2versions (9 first, 11 discovered)
leader L17 of team T8 discovered at 29618.000000 that M148 is in danger (after 5276ms proces-to-process, 5131ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L17 of team T8 discovered at 39984.000000 that M149 is in danger (after 16953ms proces-to-process, 16588ms node-to-node, 7hops, 4versions (11 first, 15 discovered)
leader L18 of team T9 discovered at 45454.000000 that M168 is in danger (after 17692ms proces-to-process, 16063ms node-to-node, 3hops, 2versions (14 first, 16 discovered)
leader L18 of team T9 discovered at 40767.000000 that M169 is in danger (after 15081ms proces-to-process, 14739ms node-to-node, 3hops, 2versions (12 first, 14 discovered)
leader L18 of team T9 discovered at 26434.000000 that M179 is in danger (after 3482ms proces-to-process, 1733ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L18 of team T9 discovered at 38108.000000 that M170 is in danger (after 10582ms proces-to-process, 8001ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L18 of team T9 discovered at 28095.000000 that M173 is in danger (after 1724ms proces-to-process, 27ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L18 of team T9 discovered at 29108.000000 that M172 is in danger (after 10123ms proces-to-process, 8669ms node-to-node, 1hops, 3versions (8 first, 11 discovered)
leader L18 of team T9 discovered at 45454.000000 that M171 is in danger (after 28795ms proces-to-process, 27118ms node-to-node, 4hops, 10versions (8 first, 18 discovered)
leader L18 of team T9 discovered at 38108.000000 that M163 is in danger (after 8956ms proces-to-process, 7696ms node-to-node, 7hops, 0versions (14 first, 14 discovered)
leader L18 of team T9 discovered at 42346.000000 that M164 is in danger (after 25407ms proces-to-process, 24448ms node-to-node, 6hops, 2versions (8 first, 10 discovered)
leader L18 of team T9 discovered at 47530.000000 that M176 is in danger (after 17697ms proces-to-process, 16650ms node-to-node, 6hops, 4versions (14 first, 18 discovered)
leader L18 of team T9 discovered at 40767.000000 that M175 is in danger (after 13700ms proces-to-process, 9811ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L18 of team T9 discovered at 46482.000000 that M167 is in danger (after 21292ms proces-to-process, 19381ms node-to-node, 4hops, 8versions (12 first, 20 discovered)
leader L18 of team T9 discovered at 25788.000000 that M178 is in danger (after 1751ms proces-to-process, 1304ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L18 of team T9 discovered at 44522.000000 that M181 is in danger (after 19185ms proces-to-process, 17031ms node-to-node, 8hops, 1versions (13 first, 14 discovered)
leader L18 of team T9 discovered at 38108.000000 that M182 is in danger (after 10134ms proces-to-process, 9183ms node-to-node, 3hops, 2versions (13 first, 15 discovered)
leader L18 of team T9 discovered at 29933.000000 that M183 is in danger (after 9535ms proces-to-process, 8546ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L18 of team T9 discovered at 29108.000000 that M177 is in danger (after 7305ms proces-to-process, 6311ms node-to-node, 2hops, 1versions (10 first, 11 discovered)
leader L18 of team T9 discovered at 49584.000000 that M174 is in danger (after 20838ms proces-to-process, 19183ms node-to-node, 2hops, 5versions (13 first, 18 discovered)
leader L19 of team T9 discovered at 33677.000000 that M168 is in danger (after 5915ms proces-to-process, 4766ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L19 of team T9 discovered at 37321.000000 that M169 is in danger (after 11635ms proces-to-process, 11262ms node-to-node, 1hops, 4versions (12 first, 16 discovered)
leader L19 of team T9 never discovered that M179 is in danger from 22952.
leader L19 of team T9 discovered at 39437.000000 that M170 is in danger (after 11911ms proces-to-process, 9678ms node-to-node, 2hops, 3versions (13 first, 16 discovered)
leader L19 of team T9 discovered at 42166.000000 that M173 is in danger (after 15795ms proces-to-process, 13649ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L19 of team T9 discovered at 36613.000000 that M172 is in danger (after 17628ms proces-to-process, 16096ms node-to-node, 4hops, 5versions (8 first, 13 discovered)
leader L19 of team T9 discovered at 29303.000000 that M171 is in danger (after 12644ms proces-to-process, 11204ms node-to-node, 5hops, 2versions (8 first, 10 discovered)
leader L19 of team T9 discovered at 38310.000000 that M163 is in danger (after 9158ms proces-to-process, 7527ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L19 of team T9 discovered at 30836.000000 that M164 is in danger (after 13897ms proces-to-process, 12656ms node-to-node, 1hops, 2versions (8 first, 10 discovered)
leader L19 of team T9 discovered at 37321.000000 that M176 is in danger (after 7488ms proces-to-process, 6402ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L19 of team T9 discovered at 33677.000000 that M175 is in danger (after 6610ms proces-to-process, 2831ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L19 of team T9 discovered at 37470.000000 that M167 is in danger (after 12280ms proces-to-process, 10686ms node-to-node, 8hops, 1versions (12 first, 13 discovered)
leader L19 of team T9 discovered at 38813.000000 that M178 is in danger (after 14776ms proces-to-process, 14456ms node-to-node, 3hops, 2versions (11 first, 13 discovered)
leader L19 of team T9 discovered at 45382.000000 that M181 is in danger (after 20045ms proces-to-process, 18308ms node-to-node, 8hops, 1versions (13 first, 14 discovered)
leader L19 of team T9 discovered at 40282.000000 that M182 is in danger (after 12308ms proces-to-process, 11291ms node-to-node, 6hops, 2versions (13 first, 15 discovered)
leader L19 of team T9 discovered at 35257.000000 that M183 is in danger (after 14859ms proces-to-process, 14386ms node-to-node, 3hops, 5versions (9 first, 14 discovered)
leader L19 of team T9 discovered at 32227.000000 that M177 is in danger (after 10424ms proces-to-process, 9329ms node-to-node, 8hops, 0versions (10 first, 10 discovered)
leader L19 of team T9 discovered at 40698.000000 that M174 is in danger (after 11952ms proces-to-process, 10905ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 41501.000000 that M124 is in danger (after 15497ms proces-to-process, 14252ms node-to-node, 9hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 40445.000000 that M125 is in danger (after 16811ms proces-to-process, 14243ms node-to-node, 4hops, 4versions (11 first, 15 discovered)
leader L12 of team T6 discovered at 52519.000000 that M127 is in danger (after 33351ms proces-to-process, 32214ms node-to-node, 3hops, 11versions (9 first, 20 discovered)
leader L12 of team T6 discovered at 48068.000000 that M119 is in danger (after 22022ms proces-to-process, 18579ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 50020.000000 that M118 is in danger (after 22730ms proces-to-process, 19346ms node-to-node, 1hops, 7versions (14 first, 21 discovered)
leader L12 of team T6 discovered at 28381.000000 that M122 is in danger (after 12334ms proces-to-process, 10131ms node-to-node, 3hops, 0versions (7 first, 7 discovered)
leader L12 of team T6 discovered at 40445.000000 that M123 is in danger (after 17191ms proces-to-process, 15168ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L12 of team T6 discovered at 46236.000000 that M115 is in danger (after 16204ms proces-to-process, 15966ms node-to-node, 2hops, 2versions (13 first, 15 discovered)
leader L12 of team T6 discovered at 32739.000000 that M114 is in danger (after 15395ms proces-to-process, 13958ms node-to-node, 1hops, 6versions (8 first, 14 discovered)
leader L12 of team T6 discovered at 27028.000000 that M108 is in danger (after 8434ms proces-to-process, 5965ms node-to-node, 2hops, 2versions (9 first, 11 discovered)
leader L12 of team T6 discovered at 27028.000000 that M116 is in danger (after 9100ms proces-to-process, 8152ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 26476.000000 that M128 is in danger (after 5446ms proces-to-process, 4545ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L12 of team T6 discovered at 40445.000000 that M110 is in danger (after 9869ms proces-to-process, 9187ms node-to-node, 9hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 36306.000000 that M113 is in danger (after 7151ms proces-to-process, 4905ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 31011.000000 that M112 is in danger (after 8668ms proces-to-process, 6196ms node-to-node, 3hops, 2versions (11 first, 13 discovered)
leader L12 of team T6 never discovered that M120 is in danger from 24111.
leader L12 of team T6 discovered at 39033.000000 that M117 is in danger (after 14484ms proces-to-process, 11066ms node-to-node, 11hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 44626.000000 that M121 is in danger (after 15981ms proces-to-process, 15162ms node-to-node, 2hops, 3versions (13 first, 16 discovered)
leader L13 of team T6 discovered at 27770.000000 that M124 is in danger (after 1766ms proces-to-process, 377ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 29273.000000 that M125 is in danger (after 5639ms proces-to-process, 3800ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 never discovered that M127 is in danger from 19168.
leader L13 of team T6 discovered at 41939.000000 that M119 is in danger (after 15893ms proces-to-process, 12478ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 52064.000000 that M118 is in danger (after 24774ms proces-to-process, 22138ms node-to-node, 2hops, 3versions (14 first, 17 discovered)
leader L13 of team T6 discovered at 34515.000000 that M122 is in danger (after 18468ms proces-to-process, 17020ms node-to-node, 3hops, 1versions (7 first, 8 discovered)
leader L13 of team T6 discovered at 40463.000000 that M123 is in danger (after 17209ms proces-to-process, 15168ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 discovered at 35740.000000 that M115 is in danger (after 5708ms proces-to-process, 5113ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 37691.000000 that M114 is in danger (after 20347ms proces-to-process, 19140ms node-to-node, 2hops, 6versions (8 first, 14 discovered)
leader L13 of team T6 discovered at 44570.000000 that M108 is in danger (after 25976ms proces-to-process, 23600ms node-to-node, 11hops, 6versions (9 first, 15 discovered)
leader L13 of team T6 discovered at 37691.000000 that M116 is in danger (after 19763ms proces-to-process, 18819ms node-to-node, 2hops, 4versions (8 first, 12 discovered)
leader L13 of team T6 discovered at 34515.000000 that M128 is in danger (after 13485ms proces-to-process, 12367ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L13 of team T6 discovered at 47061.000000 that M110 is in danger (after 16485ms proces-to-process, 15538ms node-to-node, 12hops, 0versions (14 first, 14 discovered)
leader L13 of team T6 discovered at 45648.000000 that M113 is in danger (after 16493ms proces-to-process, 14706ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L13 of team T6 discovered at 38895.000000 that M112 is in danger (after 16552ms proces-to-process, 14001ms node-to-node, 3hops, 2versions (11 first, 13 discovered)
leader L13 of team T6 never discovered that M120 is in danger from 24111.
leader L13 of team T6 discovered at 45648.000000 that M117 is in danger (after 21099ms proces-to-process, 17909ms node-to-node, 12hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 53194.000000 that M121 is in danger (after 24549ms proces-to-process, 23844ms node-to-node, 5hops, 7versions (13 first, 20 discovered)
leader L14 of team T7 discovered at 51837.000000 that M137 is in danger (after 23958ms proces-to-process, 22949ms node-to-node, 7hops, 4versions (13 first, 17 discovered)
leader L14 of team T7 discovered at 41960.000000 that M136 is in danger (after 20916ms proces-to-process, 20058ms node-to-node, 6hops, 4versions (10 first, 14 discovered)
leader L14 of team T7 discovered at 36607.000000 that M126 is in danger (after 10198ms proces-to-process, 7891ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 never discovered that M134 is in danger from 20420.
leader L14 of team T7 discovered at 22322.000000 that M133 is in danger (after 4809ms proces-to-process, 2852ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 36607.000000 that M132 is in danger (after 11363ms proces-to-process, 9594ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L14 of team T7 discovered at 40963.000000 that M131 is in danger (after 18728ms proces-to-process, 17239ms node-to-node, 8hops, 2versions (10 first, 12 discovered)
leader L14 of team T7 discovered at 44154.000000 that M130 is in danger (after 25797ms proces-to-process, 24993ms node-to-node, 7hops, 5versions (8 first, 13 discovered)
leader L14 of team T7 never discovered that M129 is in danger from 19466.
leader L14 of team T7 discovered at 38145.000000 that M139 is in danger (after 9639ms proces-to-process, 8511ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 37352.000000 that M138 is in danger (after 7035ms proces-to-process, 6745ms node-to-node, 3hops, 2versions (14 first, 16 discovered)
leader L14 of team T7 discovered at 48631.000000 that M146 is in danger (after 18828ms proces-to-process, 16630ms node-to-node, 7hops, 3versions (14 first, 17 discovered)
leader L14 of team T7 discovered at 39568.000000 that M147 is in danger (after 17573ms proces-to-process, 14478ms node-to-node, 4hops, 3versions (11 first, 14 discovered)
leader L14 of team T7 discovered at 38530.000000 that M145 is in danger (after 11407ms proces-to-process, 9194ms node-to-node, 8hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 54407.000000 that M135 is in danger (after 36512ms proces-to-process, 34486ms node-to-node, 8hops, 11versions (9 first, 20 discovered)
